category_id,parent_id,name,breadcrumb
6526901,0,Auto & Motorrad: Teile,Auto & Motorrad: Teile
6526937,6526901,Anleitungen & Handbücher,Auto & Motorrad: Teile > Anleitungen & Handbücher
6527451,6526937,Bedienungsanleitungen,Auto & Motorrad: Teile > Anleitungen & Handbücher > Bedienungsanleitungen
6527452,6526937,Berichte & Zeitschriften,Auto & Motorrad: Teile > Anleitungen & Handbücher > Berichte & Zeitschriften
6527453,6526937,Ersatzteile Kataloge,Auto & Motorrad: Teile > Anleitungen & Handbücher > Ersatzteile Kataloge
6527454,6526937,Pressemappen & CDs,Auto & Motorrad: Teile > Anleitungen & Handbücher > Pressemappen & CDs
6527455,6526937,Prospekte,Auto & Motorrad: Teile > Anleitungen & Handbücher > Prospekte
6527458,6526937,Service & Reparaturanleitungen,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Reparaturanleitungen
6527459,6526937,Service & Scheckhefte,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Scheckhefte
6527460,6526937,Sonstige,Auto & Motorrad: Teile > Anleitungen & Handbücher > Sonstige
6527462,6526937,US-Car-Teile,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile
6531310,6527462,Sonstige,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile > Sonstige
6526939,6526901,Auto-Anbau- & -Zubehörteile,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile
6527464,6526939,Autopflege & Aufbereitung,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung
6531311,6527464,Bürste & Ansätze,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Bürste & Ansätze
6531312,6527464,Eiskratzer & Schneebürste,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste
6531313,6527464,"Handschuhe, Mützen & Schwämme","Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Handschuhe, Mützen & Schwämme"
6531314,6527464,Innenreinigung & -pflege,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Innenreinigung & -pflege
6531316,6527464,Lackschutzfolien,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lackschutzfolien
6531317,6527464,Lufterfrischer,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer
6531318,6527464,Poliermaschine,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Poliermaschine
6531319,6527464,Polituren & Wachse,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Polituren & Wachse
