productId,sku,manufacturer,missingFields,gpsrScore
0198303486543,SKU-7255766247,Abercrombie & Fitch,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-4820097368,SKU-4820097368,Aboutbags NV,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,6
7332543822751,SKU-2670059438,AEG,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
SKU-2638568297,SKU-2638568297,Altra,email,12
SKU-5740515403,SKU-5740515403,Altra,email,12
ac5a1129-af86-4956-9a3b-ad732f8788bf,SKU-7123124767,AMERICAN NIKE S.A.,email,13
4251665310447,SKU-1198160025,AMORELIE,entity_country|manufacturer_name|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,0
f19c6d73-628b-424c-9d89-d950ebafb74b,SKU-6536943755,ANYCUBIC,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,6
8088208802015,SKU-6543182729,AR HOME,entity_country|manufacturer_name|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,0
SKU-0808524453,SKU-0808524453,ASICS,manufacturer_address|email,10
7c4d3bb6-e7a1-4fa0-aa88-3da9b25134d8,SKU-3324867175,Auledio,entity_country|manufacturer_name|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,0
4262405220148,SKU-2431535372,AZANO DESIGNS,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-9428729031,SKU-9428729031,Azmüsebat Celik Sanayi ve Ticaret A.S.,manufacturer_address|manufacturer_postalcode,10
4058213275186,SKU-4269501540,BasicNet,email,13
4260532290669,SKU-7226847075,BBQ-Toro,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-4990478200,SKU-4990478200,BBQ-Toro,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-5582443660,SKU-5582443660,Biologika,manufacturer_address|manufacturer_postalcode|email,7
395730b7-67d0-4880-a770-f85086b71052,SKU-8932764822,Blue Tomato,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,6
9368205000005,SKU-0457243849,Blue Tomato,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,6
2452014202112,SKU-6761538665,BMW,manufacturer_address|email,11
1852315181124,SKU-8073301246,BRUT Clothing,manufacturer_postalcode|email,10
45005591930000,SKU-6587967689,Calvin Klein,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
8719114322466,SKU-4961159565,Calvin Klein,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
8719115000028,SKU-8798489036,Calvin Klein,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
e8f548b0-5b46-488a-8ea9-b525f6381ab2,SKU-1000000010,Calvin Klein,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
8033805473085,SKU-1000000008,Calzedonia Germany GmbH,email,13
182c0593-5b66-4304-80fa-d1a56eb08210,SKU-0533124796,CAPAS,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
5902811100663,SKU-3663111562,Carmat,manufacturer_address|manufacturer_city|manufacturer_postalcode,8
SKU-5633394973,SKU-5633394973,Classic Flyer,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
76a7cc4f-9aa4-4149-ad6b-9cc4ef1dc1df,SKU-7200941317,ClimAir PLAVA Kunststoffe GmbH,email,13
SKU-4919757592,SKU-4919757592,Clockhouse Fashion,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-7543211550,SKU-7543211550,CMP,email,13
14006633314036,SKU-7591395419,Continental,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
4006633310222,SKU-4616386559,Continental Aftermarket & Services GmbH,manufacturer_city|manufacturer_postalcode|email,8
SKU-7473377331,SKU-7473377331,CORSAIR,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
00442039661193,SKU-7225351886,COSII,entity_country|manufacturer_address|manufacturer_city|manufacturer_postalcode|email,3
SKU-2019125675,SKU-2019125675,Derma Pen Germany,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
SKU-8112287411,SKU-8112287411,Desigual,manufacturer_address|manufacturer_postalcode|email,8
8051385880857,SKU-2552797972,Diesel,manufacturer_address|manufacturer_city|manufacturer_postalcode|email,5
6954850111741,SKU-0735099796,Dong Fang Hong,manufacturer_address|manufacturer_postalcode|email,9
