id;auftrag_id;marktplatz;status;grund;erstattung;erstellt_am;aktualisiert_am
1fNwzuIVnhS9lDjvehiO;32158592;ebay;eingegangen;meinungsaenderung;15,00;2026-02-26T11:59:51.000Z;
1z4nnBydwcmyTAz8rxim;;ebay;eingegangen;meinungsaenderung;32,95;2026-01-06T10:00:54.000Z;
2o9YRZO5NUtmhFSjWLn6;;ebay;eingegangen;sonstiges;44,00;2026-01-05T19:48:55.000Z;
3Lp91NTlPuo9VTWD47G0;30897156;ebay;eingegangen;sonstiges;34,52;2026-02-09T16:55:00.000Z;
3diGPEPqLy2rqztLhXni;29005322;ebay;eingegangen;meinungsaenderung;89,90;2026-01-13T13:06:46.000Z;
3gNq4hoq0FBxGwSMwpYB;29687464;ebay;eingegangen;sonstiges;90,29;2026-01-23T11:50:09.000Z;
3qxztQMIf9hHwhaUmF73;32699643;ebay;eingegangen;sonstiges;47,90;2026-03-04T22:07:26.000Z;
5uxYU12x5y7O2B8ObeKd;;ebay;eingegangen;meinungsaenderung;17,49;2025-12-30T14:53:54.000Z;
7lqBc6Zt9nsIuF29P6ac;;ebay;eingegangen;sonstiges;59,99;2026-01-06T03:38:21.000Z;
9WDAkmjiQsLsgf0Kc44z;;kaufland;eingegangen;sonstiges;74,98;2025-12-19T17:25:17Z;
AQkQ0gsAB5Ln0g0Jwlw7;;kaufland;eingegangen;nicht_wie_beschrieben;159,99;2025-12-27T12:15:23Z;
BE1wPTbh9D3QJ9gvZcO4;31828904;ebay;eingegangen;meinungsaenderung;8,04;2026-02-22T12:52:45.000Z;
Cd2bYjLa2A9CXLtfRL46;31324629;ebay;eingegangen;meinungsaenderung;15,99;2026-02-15T12:16:28.000Z;
E8vR7aoXCSH2NApQVw69;;ebay;eingegangen;sonstiges;150,00;2025-12-20T13:35:12.000Z;
EAHTD41tSRSwIaIrT2Cf;33496692;kaufland;eingegangen;nicht_wie_beschrieben;105,60;2026-03-19T20:13:55Z;
IGuIpfuJvCQ0wA8WTV1m;31837921;kaufland;eingegangen;sonstiges;60,00;2026-02-25T14:12:17Z;
Id3uv57B9JltoqTj690r;;kaufland;eingegangen;nicht_wie_beschrieben;24,35;2026-01-15T10:18:18Z;
JcdO9CUhdirqIUaGIsyu;;kaufland;eingegangen;sonstiges;17,99;2026-01-01T14:38:09Z;
KZ7Oto04UZ6YBjjzYQNn;30614950;ebay;eingegangen;meinungsaenderung;101,11;2026-02-05T16:43:38.000Z;
LqKe7BMTzOIzp9iDTTQo;g5SKIfrgJqg8AnRCeh45;ebay;eingegangen;meinungsaenderung;15,27;2026-03-15T12:36:18.000Z;
M6DW9T8csOCEVcH3nORC;30683558;ebay;eingegangen;sonstiges;17,95;2026-02-06T16:18:20.000Z;
NP58MYfBrnw9gHCdt7gH;30735500;kaufland;eingegangen;sonstiges;54,99;2026-02-24T10:37:09Z;
OAPfBRm8UWzVREeudSBC;30749410;ebay;eingegangen;meinungsaenderung;7,00;2026-02-07T18:48:47.000Z;
OvKTcLL1sJetYSJ2upMK;30608634;ebay;eingegangen;meinungsaenderung;69,99;2026-02-05T15:03:39.000Z;
RjnfUYbyoCNzImXB3OaW;;ebay;eingegangen;meinungsaenderung;89,13;2026-01-05T20:50:24.000Z;
SKQq5qSFU6P4adWp4LIJ;31545597;ebay;eingegangen;meinungsaenderung;29,95;2026-02-18T08:03:37.000Z;
SXOKXmcC5m5BCJh1tIx1;;ebay;eingegangen;meinungsaenderung;199,99;2026-01-05T22:25:29.000Z;
T5EuDN9VADMLXdILRcB5;32243715;ebay;eingegangen;sonstiges;130,78;2026-02-27T14:16:17.000Z;
TSGTOqIX4W73BxlkP5Cp;30796054;ebay;eingegangen;meinungsaenderung;10,00;2026-02-08T14:42:44.000Z;
