id;auftrag_id;carrier;tracking;status;erstellt_am
018nzNsiLTNldakPOGI3;kaufland__M4G9W55;dp;A0062B01C50000000353;ausstehend;2026-04-27T10:06:17.075Z
04J6O3EIbIurhY2VR8pc;ebay__20-14666-38753;dpd;01596814722284;Delivered;2026-05-26T08:23:50.255Z
04TQeqcF3fUGrAZVptmJ;ebay__19-14610-74026;dp;A0062B01C500000008B1;Delivered;2026-05-12T10:12:19.628Z
06Z1FonQlbaUHe2s6s2L;30248494;dpd;01596818444792;Delivered;2026-03-10T01:06:00.031Z
08NlkUVDZyAhz6Dtf4cS;ebay__07-14622-46378;dp;A0062B01C50000000884;Delivered;2026-05-11T11:48:04.831Z
09LMVepqEBNU88jBQgAe;31709575;dpd;01596819520146;Delivered;2026-03-10T01:04:02.798Z
0BaVDcIkUcb20FWQY4kc;ebay__23-14441-81606;dpd;01596811942020;Delivered;2026-04-05T15:16:42.925Z
0CEs9GJeKUteTdHFOOOr;ebay__11-14642-42084;dpd;01596814238728;Delivered;2026-05-16T14:55:57.124Z
0EVrz90JKVuvJofsqORd;kaufland__MK175T5;dhl_de;00340434887954500882;Delivered;2026-05-21T16:00:26.610Z
0Eem6D6Vfoav3bL590pi;ebay__14-14724-05697;dpd;01596815336008;Delivered;2026-06-05T12:09:14.535Z
0GHcZlQEoIlGuIANPzRK;29761161;dpd;01596818080821;Delivered;2026-03-10T01:06:25.939Z
0HWdcScKWJMfP3bTmDrU;ebay__15-14701-39194;dhl_de;00340434887954500967;Delivered;2026-06-01T12:09:10.933Z
0KJJVwZhUjwG40QyTrUL;ebay__25-14679-83612;dpd;01596815007517;Delivered;2026-05-31T12:51:43.141Z
0R29D01H4T7sLEWDrcHt;30222927;dpd;01596818348798;Ready to send;2026-03-10T01:06:03.497Z
0SHMhcd7JA7NJ0VRXorL;kaufland__MXD4G95;dpd;01596811925235;Delivered;2026-04-03T11:07:08.970Z
0YKkzpicaLS3qOwIIXZh;30236867;dpd;01596818349886;Delivered;2026-03-10T01:06:03.292Z
0e2z95xUBlboaeMDTgFW;31871693;dhl_de;00340434887954500097;Delivered;2026-03-10T01:04:01.514Z
0gjZpwVd6OtE3RHwP2kt;kaufland__M1WQCT5;dpd;01596814586694;Delivered;2026-05-21T16:10:44.831Z
0grGwr7afYz2eoiRpywc;30657751;dpd;01596818729817;Delivered;2026-03-10T01:05:37.633Z
0hzFMMH81b7lRtsNEntH;ebay__23-14776-71304;dpd;01596816182361;Delivered;2026-06-22T08:03:52.277Z
0rY8lY4AdWRUFscx6KRR;ebay__20-14530-14723;dhl_de;00340433917162400115;Delivered;2026-04-27T10:23:24.938Z
