SKU	Title	Abteilung	Anlass	Besonderheiten	Erscheinungsjahr	EU-Schuhgröße	Farbe	Futtermaterial	Gewebeart	Herstellernummer	Herstellungsjahr	Innensohlenmaterial	Jahreszeit	Laufsohlenmaterial	Marke	Maßeinheit	Modell	Obermaterial	Produktart	Produktlinie	Schuhweite	Stil	Thema	UK-Schuhgröße	US-Schuhgröße	Verschluss
SKU-2391228513	adidas Handball Spezial W Damen Sneaker Hellgrau / Hellblau Retro NEU OVP Gr. 38	Damen	Sport			38	Grau								adidas		adidas Handball	Unbekannt		adidas Handball	W	Sneaker	Klassisch		3	
SKU-9146759920	adidas Samba LT W Damen Sneaker Schwarz Weiß Leder Retro NEU OVP Gr. 44	Unisex Erwachsene				44	Weiß	Leder				Leder		Leder	adidas		adidas Samba	Leder		adidas Samba	W	Sneaker		10	11,5	Schnürung
SKU-9804667250	adidas Samba OG J Damen Sneaker Cloud White / Collegiate Green NEU OVP Gr. 38	Damen	Sport			38 2/3	Grün	Leder				Leder		Leder	adidas		adidas Samba	Leder		adidas Samba		Sneaker	Sport	2	3	
SKU-0989494543	adidas SL 72 OG W Damen Sneaker Semi Pink / Red Glow Pink NEU OVP Gr. 38	Damen				38 2/3	Semi Pink/Red Glow Pink								adidas		adidas SL	Unbekannt		adidas SL	W	Sneaker		7	7	
SKU-0110888325	ARKK Copenhagen Visuklass Leather Damen Sneaker White Pacific NEU OVP Gr. 37	Damen		Komfort		37	Weiß	Leder				Leder		Leder	ARKK Copenhagen			Leder				Sneaker		6	6	
SKU-8742112863	New Balance IZ740WM Kinder-Sneaker Silber NEU OVP Gr. 26	Kinder		Komfort		26	Silber		Mesh						New Balance		New Balance	Mesh				Sneaker				
SKU-3992211748	Nike Defy All Day Damen Sneaker Weiß, Schwarz, Rot Gr. 39 (DJ1196-101)	Damen		Komfort		39	Weiß	Leder				Leder		Leder	Nike			Leder				Sneaker		6	6	Schnürung
SKU-9988960743	Pepe Jeans London W Albal Damen Sneaker Elegant Gold / Beige NEU OVP Gr. 40	Damen				40	Beige	Synthetik				Synthetik		Synthetik	Pepe Jeans			Synthetik			W	Sneaker	London			Schnürung
SKU-3368481451	Puma Clyde Palais Artisan Unisex Sneaker Chocotart-Frosted Ivory NEU OVP Gr. 38	Unisex				38,5	Braun								PUMA		PUMA Clyde	Unbekannt				Sneaker		5,5	6,5	
SKU-6673544963	Puma Court Classico Damen Sneaker für Komfort - Weiß / Navy Leder NEU OVP Gr. 38	Damen				38	Weiß	Leder				Leder		Leder	PUMA			Leder				Sneaker				
SKU-8462375603	Puma Smash V2 L Damen Sneaker für Komfort - Schwarz / Weiß NEU OVP Gr. 40	Damen		Komfort	2023	40	Schwarz			365208 02	2023	Gummi		Gummi	PUMA	L	PUMA Smash	Gummi	Sportschuh	PUMA Smash		Sneaker				Schnürung


