ID,Name,Kategorie,EAN,SKU,Bestand,Preis,Location,
449821041,Villa Grinario Jersey-Spannbettuch 100/200 Rot,Spannbettlaken,–,SKU-8133187753,2,14.99 EUR,XGA0201C,
449821071,"lululemon The Workout Mat 6mm – rutschfeste Trainings- & Yogamatte, 180 x 66 cm",Yogamatte / Trainingsmatte,144351296,SKU-0172791378,1,98.00 EUR,XGA0202C,
449821110,d-c-fix Energiespar Fensterfolie 90x200cm für optimales Raumklima,Fensterfolien,4007386251480,SKU-9627368343,18,29.99 EUR,XGA0203C,
449821152,Topeak Ratchet Rocket Essential Fahrradwerkzeugset für präzise Reparaturen,Werkzeuge & Tools,4710069708958,SKU-3588671475,1,29.99 EUR,XGA0102C,
449821192,Ninja Plancha-Grillplatte XL – schonendes Garen empfindlicher Speisen,Grillzubehör,–,SKU-7499091535,0,29.99 EUR,–,
449821228,RAVENOL Sägekettenöl S-85 5 l,Sägekettenöl,4014835742154,SKU-9073986145,3,29.95 EUR,XGA0101C,
449821266,Topeak Weatherproof DynaWedge Strap Mount - Large (0.6 L),Satteltasche / Fahrrad-Zubehör,4710069709269,SKU-4996518676,6,25.95 EUR,XGA0102C,
449821333,tillvex Poolschlauch 38mm für klares Poolwasser und effiziente Zirkulation,Schläuche,4260613494504,SKU-4930006198,1,24.79 EUR,XGA0203B,
449821382,Universal Tablet-Bodenständer mit Schwenkarm & Höhenverstellung für alle Tablets,Halter,–,SKU-9603350817,0,20.98 EUR,–,
449821438,"Topeak Bento Pack, Oberrohrtasche 0,85 L (TC2333B)",Fahrradtasche / Oberrohrtasche,–,SKU-0651722148,4,19.99 EUR,XGA0102C,
449821480,"TAN.TOMI Rolltop Rucksack – Flexibel, wasserabweisend & Laptopfach",Rucksäcke & Taschen,4255700108594,SKU-4820097368,19,19.99 EUR,XQGA0101A,
449821521,Blumtal Doppelrollo Klemmfix Lila 85x155cm,Accessoires,4251897512916,SKU-6558668236,2,19.99 EUR,XGA0202D,
449821560,"MSV Handtuchhalter 3-stufig Schwarz, bohrfrei & platzsparend",Badzubehör & -textilien,3700703935148,SKU-9834509499,1,0.00 EUR,XGA0202B,
449821605,Pistolenkoffer mit Schaumstoffeinlage “GLOCK”,Werkzeugkoffer,–,SKU-4561934561,0,15.90 EUR,–,
449821653,Homerella Badewanneneinlage rutschfest sicherer Stand 88x39 cm,Badewannen,–,SKU-5687802687,25,17.99 EUR,XGA0102C,
449821704,Villa Grinario Jersey-Spannbettlaken – Faltenfreier Sitz & optimaler Schlafkomfort,"Bettwaren, -wäsche & Matratzen",2060004998275,SKU-0310087435,3,14.99 EUR,XGA0201C,
449821746,"LEONARDO Swing Krug – Wasserkaraffe aus Glas – 1,2 L",Karaffen & Dekanter,–,SKU-6614383452,0,15.95 EUR,–,
449821792,NEOLYMP Yogamatte 183×61 cm Lime,Yogamatten,4260623660043,SKU-7627745924,0,14.99 EUR,–,
449821837,Villa Grinario Jersey-Spannbettuch 100×200 cm Blau,Bettlaken,–,SKU-4204090012,3,14.99 EUR,XGA0201C,
449821878,Villa Grinario Jersey-Spannbettlaken 100×200 Grau Kiesel,Bettlaken,–,SKU-1230781227,2,14.99 EUR,XGA0201C,
449821915,"WOLTU Sitzhocker mit Stauraum, faltbar, dunkelgrau",Sitzmöbel,–,SKU-6847456474,1,17.95 EUR,XGA0202D,
449821953,bremermann Nudelmaschine Manuell,Haushalt & Küche,4057993570030,SKU-9787450821,1,25.99 EUR,XGA0101C,
449821992,Villa Grinario Spannbettlaken – Fester Sitz & weiche Baumwolle,Bettwäsche,–,SKU-6928779778,1,14.99 EUR,XGA0201C,
449822031,Villa Grinario Jersey-Spannbettlaken 100×200 cm Grün,Bettlaken,–,SKU-8640590578,1,14.99 EUR,XGA0201C,
449822072,Terry Regenschutz Small – Fahrradsattel wasserdicht schützen,Fahrradzubehör,4260012351552,SKU-6603765179,1,7.90 EUR,XGA0102C,—
449822125,Terry Fahrradsattel Exera Gel Herren,Fahrrad,4260477074874,SKU-0785869755,1,75.90 EUR,XGA0102C,
449822177,Philips LED Hallenleuchte 200 W 35 000 lm,Hallenleuchte,8720707001286,SKU-5799111421,3,64.90 EUR,XGA0201E,
449822230,Nidec Sankyo Motorisierter Kartenleser,Automaten,–,SKU-3149269291,1,299.00 EUR,XGA0204B,
449822267,WMF Topf-Set Provence Plus,Gastronomie-Kochgeschirr & Zubehör,4000530650139,SKU-4349960147,0,107.49 EUR,–,
449822362,"FIREFIX Ofenrohr DN 180, 1000 mm, Schwarz",Heimwerker,4017537302565,SKU-6830410442,1,31.90 EUR,XGA0102D,
449822440,Topeak JoeBlow Urban EX Standpumpe,Fahrradzubehör,4710069708088,SKU-7237772440,1,43.85 EUR,XGA0104B,
449822551,IKEA Pendelleuchte mit blendfreiem Licht,Pendel,–,SKU-8310896573,1,104.05 EUR,XGA0201C,
449822625,Handpan – warmer Klang für Meditation & Yoga,Schlaginstrumente,–,SKU-4212491486,0,179.00 EUR,–,
449822721,PROGARDEN Gartenbank wetterfest 2-Sitzer,Gartenbank,–,SKU-2609353370,0,39.99 EUR,–,
449822798,Bellabino Kinderregal Towy Mobil,Kinder,–,SKU-2638580995,1,44.99 EUR,XGA0203E,
449822902,UBRAVOO Kindersitzerhöhung Booster,Kindersitze,–,SKU-0362404564,1,35.99 EUR,XGA0101C,
449822976,Tesvor S7 Pro AES Saug- & Wischroboter,Roboter,6973104880356,SKU-0619911931,0,127.00 EUR,–,
449823072,"BBQ-Toro Gusseisen Wok Ø35,5 cm",Kochen & Backen,4260532291215,SKU-4990478200,0,39.95 EUR,–,
449823156,GUSSKÖNIG Dutch Oven 9 L,Dutch Oven / Feuertopf,4270003118781,SKU-1887574140,0,92.99 EUR,–,
449823262,LLIVEKIT Dual-Zone Heißluftfritteuse 9 L,Heißluftfritteuse,20001500,SKU-3093460977,1,109.99 EUR,XGA0202A,
449823357,Woltu Standregal Weiß,Regale & Aufbewahrung,4063425163489,SKU-3226209432,0,36.99 EUR,–,
449823462,Classic Flyer Hörnerschlitten Davos 110 cm,Schlitten & Bobs,4011739058220,SKU-5633394973,1,89.90 EUR,XGA0204E,
449823557,ADVENTURE Pop-Up Strandmuschel UV 50+,Strandmuscheln,–,SKU-5795572847,1,34.99 EUR,XGA0202B,
449823623,Walser Perma Protect Hagelschutzplane S,Autoabdeckung,1778309730,SKU-2633108165,1,92.95 EUR,XGA0201E,
449823701,Lululemon Yogamatte – Maximaler Halt,Yogamatten,153151148,SKU-4433223955,0,98.00 EUR,–,
449823796,Walser Hagelschutzplane Gr. M,Hagelschutzplane,9001778309747,SKU-9142845763,2,92.95 EUR,XGA0201E,
