Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sku-7225351886,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust","<p>Der COZII Hundepool bietet Ihrem Vierbeiner an heißen Tagen eine willkommene Abkühlung und sicheren Badespaß im eigenen Garten. Seine robuste Konstruktion aus hochwertigem PVC und PP ist speziell für den Einsatz mit Hunden konzipiert und widersteht auch intensiver Nutzung und Krallen. Dank der innovativen Faltfunktion lässt sich der Pool werkzeuglos in wenigen Sekunden aufbauen und ebenso schnell wieder zusammenlegen. Dies ermöglicht nicht nur einen mühelosen Transport, sondern auch eine äußerst platzsparende Lagerung außerhalb der Badesaison. Die Reinigung des Hundepools gestaltet sich denkbar einfach, da das Material leicht abwaschbar ist und ein praktisches Ablassventil eine schnelle Entleerung ermöglicht. Mit seinen Maßen von 120x30cm bietet er ausreichend Platz für mittelgroße bis große Hunde und die EN71-Zertifizierung gewährleistet ein sicheres Badevergnügen.</p>",COZII,Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets,Hundepool,"Hundepool, Blau, 120x30cm",TRUE,Title,Default Title,,,,,SKU-7225351886,,,1,deny,manual,22.99,,TRUE,TRUE,4262479341886,https://storage.googleapis.com/prodsandjobs/products/00442039661193/studio_front_671e987d0a2541131b0711c1c5c89be2.png,1,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",FALSE,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",Der COZII Hundepool bietet Ihrem Vierbeiner an heißen Tagen eine willkommene Abkühlung und sicheren Badespaß im eigenen Garten. Seine robuste Konstruktion au...,,,,,new,TRUE,,g,,,,,,,,,active
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/studio_detail_eb4c660a57f869fb8f41949e0763e946.png,2,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/studio_topdown_ce5440da00b849c02dacb7fc0965631b.png,3,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/studio_angle_5255a5d1dab3c14c236fa6e46d4afe6e.png,4,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/lifestyle_front_385552ef95ed5bd48af14a3e17c583c5.png,5,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/lifestyle_closeup_0c6e0f0e07a0eb3d517eb0f95ec76161.png,6,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/lifestyle_inuse_fa6e36bc3dff086c0434b0744700b3c3.png,7,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-7225351886,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00442039661193/lifestyle_angle_0498083ad996277761b09f46e51f489f.png,8,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust",,,,,,,,,,,,,,,,,,,,
sku-1844691476,Thule Rucksack 3205317 Darkest Blue NEU,"<p>Dieser Thule Rucksack in Darkest Blue ist Ihr idealer Begleiter für tägliche Abenteuer und Reisen, da er herausragende Qualität mit durchdachter Funktionalität vereint. Sein modernes, zeitloses Design fügt sich nahtlos in jeden aktiven Lebensstil ein und bietet vielseitige Einsatzmöglichkeiten.Die robuste Konstruktion wurde im Thule Approved Test Program streng geprüft, um höchste Anforderungen zu erfüllen und außergewöhnliche Langlebigkeit zu garantieren. Gefertigt nach strengen bluesign-Standards, steht dieses Produkt für eine umweltfreundliche und sozial verantwortliche Produktion.Der Lieferumfang umfasst den Rucksack selbst, bereit für den sofortigen Einsatz. Dieses langlebige Produkt bewahrt seine Qualität durch unkomplizierte Pflege und wird durch die umfassende Thule Garantie für langfristige Zufriedenheit abgesichert.</p>",Thule,Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke,Rucksack,"Rucksack, Darkest Blue",TRUE,Title,Default Title,,,,,SKU-1844691476,,,1,deny,manual,144.45,,TRUE,TRUE,0085854258548,https://storage.googleapis.com/prodsandjobs/products/0060cdec-9193-411b-af64-4754ca0226bd/studio_front_7bcb2359b5075d50166a2db4b5229b66.png,1,Thule Rucksack 3205317 Darkest Blue NEU,FALSE,Thule Rucksack 3205317 Darkest Blue NEU,"Dieser Thule Rucksack in Darkest Blue ist Ihr idealer Begleiter für tägliche Abenteuer und Reisen, da er herausragende Qualität mit durchdachter Funktionalit...",,,,,new,TRUE,,g,,,,,,,,,active
sku-1844691476,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/0060cdec-9193-411b-af64-4754ca0226bd/studio_detail_ef84b052a350e71687b0fcc188139cef.png,2,Thule Rucksack 3205317 Darkest Blue NEU,,,,,,,,,,,,,,,,,,,,
sku-1844691476,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/0060cdec-9193-411b-af64-4754ca0226bd/lifestyle_front_dc048666b8bd58aa19bf251a75dbfa68.png,3,Thule Rucksack 3205317 Darkest Blue NEU,,,,,,,,,,,,,,,,,,,,
sku-1844691476,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/0060cdec-9193-411b-af64-4754ca0226bd/lifestyle_closeup_c77735c4300de0fc13c851c601853977.png,4,Thule Rucksack 3205317 Darkest Blue NEU,,,,,,,,,,,,,,,,,,,,
sku-1844691476,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/0060cdec-9193-411b-af64-4754ca0226bd/lifestyle_inuse_1dd407f743e513a819b76e5b16afc6b5.png,5,Thule Rucksack 3205317 Darkest Blue NEU,,,,,,,,,,,,,,,,,,,,
sku-9129624671,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,"<p>Erweitern Sie Ihren Thule Doppel-Kinderanhänger mit dem Thule Chariot Cargo Rack 2 um wertvollen zusätzlichen Stauraum. Dieses Zubehörteil schafft mühelos Platz für Utensilien und ist ideal für Ausflüge oder den täglichen Einkauf. Das Cargo Rack ermöglicht eine sichere Zuladung von bis zu 2,3 kg, wodurch Sie problemlos zusätzliche Ausrüstung transportieren können. Eine integrierte Reißverschlusstasche bietet dabei sicheren und schnell zugänglichen Stauraum für kleinere Essentials. Die Montage des Thule Chariot Cargo Rack 2 gestaltet sich äußerst einfach und schnell, sodass es ohne großen Aufwand angebracht werden kann. Diese robuste und langlebige Lösung erweitert die Funktionalität Ihres Thule Doppel-Kinderanhängers erheblich und bietet mehr Flexibilität im Familienalltag.</p>",Thule,Baby > Kinderwagen & Zubehör > Kinderwagen-Zubehör,Gepäckträger,"Gepäckträger, Schwarz",TRUE,Title,Default Title,,,,,SKU-9129624671,,,1,deny,manual,84.96,,TRUE,TRUE,0872299043330,https://storage.googleapis.com/prodsandjobs/products/00872299043330/studio_front_b4ef123cae4e6c19022fbc15acea3972.png,1,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,FALSE,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,Erweitern Sie Ihren Thule Doppel-Kinderanhänger mit dem Thule Chariot Cargo Rack 2 um wertvollen zusätzlichen Stauraum. Dieses Zubehörteil schafft mühelos Pl...,,,,,new,TRUE,,g,,,,,,,,,active
sku-9129624671,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00872299043330/studio_detail_8a5d179ee958b3987789dc390c1a5874.png,2,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,,,,,,,,,,,,,,,,,,,,
sku-9129624671,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00872299043330/studio_angle_90edc4f0fd505b5f1c5a1d9adfd274f7.png,3,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,,,,,,,,,,,,,,,,,,,,
sku-9129624671,,,,,,,,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/prodsandjobs/products/00872299043330/lifestyle_front_d9b752325aec6ddeb78476e606e2551b.png,4,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast,,,,,,,,,,,,,,,,,,,,
