bl_product_id;bl_sku;bl_name;bl_manufacturer;avy_product_id;avy_sku;avy_name;avy_brand;match_source;title_match;brand_match
449821041;SKU-8133187753;VILLA GRINARIO Spannbettlaken Gr. 100x200cm Baumwolle Rot;Villa Grinario;SKU-8133187753;SKU-8133187753;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot;GULNABIO;ops.product_id;no;no
449821071;SKU-0172791378;Lululemon Yogamatte LU9AVOS BLK;lululemon;SKU-0172791378;SKU-0172791378;Lululemon Yogamatte LU9AVOS BLK;Lululemon;ops.product_id;yes;yes
449821110;SKU-9627368343;D-C-Fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff;d-c-fix;SKU-9627368343;SKU-9627368343;D-C-Fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff;D-C-Fix;ops.product_id;yes;yes
449821152;SKU-3588671475;Ratschen-Werkzeug Multi-Tool (Ratchet TT2628;Topeak;SKU-3588671475;SKU-3588671475;Ratschen-Werkzeug Multi-Tool (Ratchet TT2628;Topeak;ops.product_id;yes;yes
449821192;SKU-7499091535;Plancha-GrillplattexL Metall nicht angegeben;Ninja;SKU-7499091535;SKU-7499091535;Plancha-GrillplattexL Metall nicht angegeben;Ninja;ops.product_id;yes;yes
449821228;SKU-9073986145;Sägekettenöl;Ravenol;SKU-9073986145;SKU-9073986145;Sägekettenöl;RAVENOL;ops.product_id;yes;yes
449821266;SKU-4996518676;Radsport Satteltasche BAG29601;Topeak;SKU-4996518676;SKU-4996518676;Radsport Satteltasche BAG29601;Topeak;ops.product_id;yes;yes
449821333;SKU-4930006198;Tillvex Poolschlauch;tillvex;SKU-4930006198;SKU-4930006198;Tillvex Poolschlauch;Tillvex;ops.product_id;yes;yes
449821382;SKU-9603350817;Füllfederhalter Universal;;SKU-9603350817;SKU-9603350817;Füllfederhalter Universal;;ops.product_id;yes;no
449821438;SKU-0651722148;Oberrohrtasche TC2333B;Topeak;SKU-0651722148;SKU-0651722148;Oberrohrtasche TC2333B;Topeak;ops.product_id;yes;yes
449821480;SKU-4820097368;CRBTUMI Rolltop Rucksack;CRBTUMI;SKU-4820097368;SKU-4820097368;CRBTUMI Rolltop Rucksack;CRBTUMI;ops.product_id;yes;yes
449821521;SKU-6558668236;Blumtal Doppelrollo Lila 100% Polyester SKU-6558668236;Blumtal;SKU-6558668236;SKU-6558668236;Blumtal Doppelrollo Lila 100% Polyester SKU-6558668236;Blumtal;ops.product_id;yes;yes
