sku;normSku;avy_product_id;bl_product_id;avy_title;bl_title;avy_category;bl_category;bl_category_id
SKU-5496567952;5496567952;;;;;;;
SKU-1186485817;1186485817;;;;;;;
SKU-8709444914;8709444914;;;;;;;
SKU-4324829129;4324829129;;;;;;;
SKU-3186173398;3186173398;;;;;;;
SKU-7199945280;7199945280;;;;;;;
SKU-6810770905;6810770905;;;;;;;
SKU-6803336223;6803336223;;;;;;;
SKU-0000524938;0000524938;;;;;;;
SKU-2135446963;2135446963;;;;;;;
SKU-4304000683;4304000683;;;;;;;
SKU-5403685857;5403685857;;;;;;;
SKU-9458628509;9458628509;;;;;;;
SKU-9912977908;9912977908;;;;;;;
SKU-5500133555;5500133555;;;;;;;
SKU-1292060664;1292060664;;;;;;;
SKU-3442148631;3442148631;;;;;;;
SKU-3473800757;3473800757;;;;;;;
