canonical_category_id,canonical_breadcrumb,depth,merged_count,merged_category_ids,source_roots
6406743,Auto & Motorrad,1,1,6406743,Auto & Motorrad
6488175,Auto & Motorrad > Abdeckplanen,2,1,6488175,Auto & Motorrad
6488178,Auto & Motorrad > Auto-Anbau- & -Zubehörteile,2,1,6488178,Auto & Motorrad
6488179,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,3,1,6488179,Auto & Motorrad
6488230,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,4,1,6488230,Auto & Motorrad
6488231,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,4,1,6488231,Auto & Motorrad
6488232,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,3,1,6488232,Auto & Motorrad
6488233,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,4,1,6488233,Auto & Motorrad
6488234,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile,2,1,6488234,Auto & Motorrad
6488235,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,3,1,6488235,Auto & Motorrad
6488236,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,4,1,6488236,Auto & Motorrad
6488237,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung,3,1,6488237,Auto & Motorrad
6488238,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel,4,1,6488238,Auto & Motorrad
6488239,Auto & Motorrad > Auto-Tuning & -Styling,2,1,6488239,Auto & Motorrad
6488240,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe,3,1,6488240,Auto & Motorrad
6488241,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,4,1,6488241,Auto & Motorrad
6488242,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung,3,1,6488242,Auto & Motorrad
6488243,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager,4,1,6488243,Auto & Motorrad
6488244,"Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik",2,1,6488244,Auto & Motorrad
