category_id,breadcrumb,canonical_breadcrumb,canonical_category_id,action
6406743,Auto & Motorrad,Auto & Motorrad,6406743,keep
6488175,Auto & Motorrad > Abdeckplanen,Auto & Motorrad > Abdeckplanen,6488175,keep
6488178,Auto & Motorrad > Auto-Anbau- & -Zubehörteile,Auto & Motorrad > Auto-Anbau- & -Zubehörteile,6488178,keep
6488179,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,6488179,keep
6488230,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,6488230,keep
6488231,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,6488231,keep
6488232,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,6488232,keep
6488233,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,6488233,keep
6488234,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile,6488234,keep
6488235,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,6488235,keep
6488236,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,6488236,keep
6488237,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung,6488237,keep
