root,leaf,group_count,max_parent_similarity,category_id,breadcrumb,parent_context
Kleidung & Accessoires,Poloshirts,6,0.833,6488313,Kleidung & Accessoires > Herren > Hemden & Oberteile > Poloshirts,Kleidung & Accessoires > Herren > Hemden & Oberteile
Kleidung & Accessoires,Poloshirts,6,0.833,6407532,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Poloshirts,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden
Kleidung & Accessoires,Poloshirts,6,0.833,6488215,Kleidung & Accessoires > Herren > Poloshirts,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Poloshirts,6,0.833,6488218,Kleidung & Accessoires > Herren-T-Shirts & Hemden > Poloshirts,Kleidung & Accessoires > Herren-T-Shirts & Hemden
Kleidung & Accessoires,Poloshirts,6,0.833,6488317,Kleidung & Accessoires > Herrenmode > Shirts & Hemden > Poloshirts,Kleidung & Accessoires > Herrenmode > Shirts & Hemden
Kleidung & Accessoires,Poloshirts,6,0.833,6488442,Kleidung & Accessoires > Shirts > Poloshirts,Kleidung & Accessoires > Shirts
Kleidung & Accessoires,Hosen,6,0.667,6488224,Kleidung & Accessoires > Damenbekleidung > Hosen,Kleidung & Accessoires > Damenbekleidung
Kleidung & Accessoires,Hosen,6,0.667,6406949,Kleidung & Accessoires > Damenmode > Hosen,Kleidung & Accessoires > Damenmode
Kleidung & Accessoires,Hosen,6,0.667,6488214,Kleidung & Accessoires > Herren > Hosen,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Hosen,6,0.667,6406955,Kleidung & Accessoires > Herrenmode > Hosen,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,Hosen,6,0.667,6488168,Kleidung & Accessoires > Hosen,Kleidung & Accessoires
Kleidung & Accessoires,Hosen,6,0.667,6488220,Kleidung & Accessoires > Kinder > Hosen,Kleidung & Accessoires > Kinder
Kleidung & Accessoires,Unterwäsche,5,0.75,6407296,Kleidung & Accessoires > Damen > Unterwäsche,Kleidung & Accessoires > Damen
Kleidung & Accessoires,Unterwäsche,5,0.75,6407528,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche > Unterwäsche,Kleidung & Accessoires > Damenmode > Unterwäsche & Nachtwäsche
Kleidung & Accessoires,Unterwäsche,5,0.75,6407311,Kleidung & Accessoires > Herren > Herrenmode > Unterwäsche,Kleidung & Accessoires > Herren > Herrenmode
Kleidung & Accessoires,Unterwäsche,5,0.75,6407317,Kleidung & Accessoires > Herren > Unterwäsche,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Unterwäsche,5,0.75,6407322,Kleidung & Accessoires > Herrenmode > Unterwäsche,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,Jacken & Mäntel,4,0.667,6407302,Kleidung & Accessoires > Damenmode > Jacken & Mäntel,Kleidung & Accessoires > Damenmode
Kleidung & Accessoires,Jacken & Mäntel,4,0.667,6488305,Kleidung & Accessoires > Herren > Jacken & Mäntel,Kleidung & Accessoires > Herren
Kleidung & Accessoires,Jacken & Mäntel,4,0.667,6488366,Kleidung & Accessoires > Herrenmode > Jacken & Mäntel,Kleidung & Accessoires > Herrenmode
Kleidung & Accessoires,Jacken & Mäntel,4,0.667,6488170,Kleidung & Accessoires > Jacken & Mäntel,Kleidung & Accessoires
Kleidung & Accessoires,Leggings,4,0.6,6467277,Kleidung & Accessoires > Damen > Damenmode > Leggings,Kleidung & Accessoires > Damen > Damenmode
Kleidung & Accessoires,Leggings,4,0.6,6488370,Kleidung & Accessoires > Damenbekleidung > Leggings,Kleidung & Accessoires > Damenbekleidung
Kleidung & Accessoires,Leggings,4,0.6,6418460,Kleidung & Accessoires > Damenmode > Hosen & Leggings > Leggings,Kleidung & Accessoires > Damenmode > Hosen & Leggings
Kleidung & Accessoires,Leggings,4,0.6,6488394,Kleidung & Accessoires > Hosen > Leggings,Kleidung & Accessoires > Hosen
