sku,productId,qty,bin,eligible,baselinker_linked,last_saved_source,title
SKU-7538503265,00174600185032,0,,no,no,ui,COM40 Limited sp Ersatz-Sitzkissen C22/S02 C001746 Möbelzubehör Textil NEU
SKU-7225351886,00442039661193,1,XGA0102D,yes,yes,ui,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust"
SKU-1844691476,0060cdec-9193-411b-af64-4754ca0226bd,1,XGA0201B,yes,yes,title-normalize-v2,Thule Rucksack 3205317 Darkest Blue NEU
SKU-9129624671,00872299043330,1,XGA0301C,yes,no,script-condition-normalize,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast
SKU-2250869990,0099557e-b9f0-45a4-9c7c-d6418e7daac5,1,XGA0105B,yes,yes,job-improve,HENMI Fahrradständer Universal Seitenständer HMF-B03 verstellbar Schwarz NEU
SKU-4310621602,0196214105119,0,,no,yes,category-review-csv,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch
SKU-7255766247,0198303486543,1,XGA0404A,yes,yes,title-normalize-v2,Abercrombie Fitch T-Shirt 661581842 Herren Gr. L 100% Baumwolle Mehrfarbig
SKU-9947386415,03142017000003,1,XGA0203E,yes,yes,barcode-rollback,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU
SKU-9400450055,0402019292922,1,XGA0403C,yes,no,ui,ALKAR Außenspiegel 9202922 NEU elektrisch 5-polig diverse Fahrzeuge Auto
SKU-4641833225,04052938000016,1,XGA0106B,yes,yes,title-normalize,Pierburg Luftmassenmesser 7.22184.39.0 Schwarz Kunststoff NEU Nein Heimwerker
SKU-2014012963,0700153955478,0,,no,yes,,"3rd Avenue Akustikgitarre STX10ASBPK2, Fichtenholz Decke, Lindenholz, Sunburst"
SKU-2097206690,07901010300000,0,,no,yes,script-condition-normalize,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN Bluetooth
SKU-1890172110,0810123671069,0,,no,yes,title-normalize-v2,Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU
SKU-0279594894,0814914026519,1,XGA0403A,yes,yes,title-normalize-v2,Patriot Solid State Drive P300P256GM28 256GB m.2 pcie NEU
SKU-4747629782,0840353901100,1,XGA0404A,yes,yes,title-normalize-v2,Fitbit Fitness-Tracker GA05184-EU gps Coral Champagne Gold NEU
SKU-3671103995,09be7756-7b4f-4dda-bda0-799754052fff,1,XGA0106B,yes,yes,title-normalize-v2,SACHS Reparatursatz Federbeinstützlager 802 472 019
SKU-4955195373,1004200304684,2,XGA0106D,yes,yes,job-improve,LIQUI MOLY Motoröl 3046 Motorbike 4T 10W-40 Mineralisch 4-Takt Motorrad NEU
SKU-3023625088,1011190149611,1,XGA0105B,yes,yes,title-normalize-v2,Unbekannt Gewindereparaturset 15-tlg NEU
