docId,lastSource,brand_before,brand_after,title_before,title_after
20221705000003,title-normalize-v2,intelamp,Intelamp,intelamp Solar-Straßenleuchte X0020KCWST NEU,Intelamp Solar-Straßenleuchte X0020KCWST NEU
2312388888888,job-improve,kecoolke,Kecoolke,"kecoolke Ultraschallreiniger KZ-F3 3,0L 120W Ultraschall 150W Heizung Silber Neu",Kecoolke Ultraschallreiniger KZ-F3 3.0 Liter 3.0L 120W 150W Silber NEU
4013556577007,title-normalize-v2,acamp,Acamp,acamp Schutzhülle 57700 110cm Polyester 110x200cm Anthrazit NEU,Acamp Schutzhülle 57700 110cm Polyester 110x200cm Anthrazit NEU
4013556577076,category-review-csv,acamp,Acamp,acamp Schutzhülle 57707 Anthrazit Polyestergewebe NEU Gr. 160 cm Cappa,Acamp Schutzhülle 57707 160cm Polyestergewebe Anthrazit NEU
4013556577120,title-normalize-v2,acamp,Acamp,acamp Schutzhülle 57712 200cm Polyestergewebe Anthrazit NEU,Acamp Schutzhülle 57712 200cm Polyestergewebe Anthrazit NEU
4013556577144,job-improve,acamp,Acamp,acamp Schutzhülle 57714 Anthrazit Polyester NEU Ampelschirm Cappa wetterfest,Acamp Schutzhülle 57714 Polyester Anthrazit NEU
4013556592796,category-review-csv,acamp,Acamp,acamp Schutzhülle 59279 Anthrazit Polyester NEU Strandkorb Cappa Optimaler,Acamp Schutzhülle 59279 Polyester Anthrazit NEU
4013594537810,title-normalize-v2,goki,Goki,goki Murmelbahn Unisex Holz Mehrfarbig NEU,Goki Murmelbahn Unisex Holz Mehrfarbig NEU
4025457166471,title-normalize-v2,kela,Kela,kela Heißer Stein 16647 24cm 24x16cm NEU,Kela Heißer Stein 16647 24cm 24x16cm NEU
4027816273868,title-normalize,febi bilstein,Febi Bilstein,"febi bilstein Radlagersatz 27386 für Opel PKW, Vorderachse beidseitig NEU",febi bilstein Radlagersatz 27386 für Opel PKW Vorderachse beidseitig NEU
4027816321033,title-normalize,febi bilstein,Febi Bilstein,febi bilstein Ölfilter 32103 NEU PSA-Motoren 9818914980 Auto Motorrad Teile,Febi Bilstein Ölfilter 32103 NEU
4043962306996,title-normalize-v2,fischer,Fischer,fischer Hammerbohrer Quattric II 24/450/400 24mm Hartmetall 450mm NEU,Fischer Hammerbohrer Quattric II 24/450/400 24mm Hartmetall 450mm NEU
4047059413104,title-normalize-v2,europet bernina,Europet Bernina,europet bernina Trinkbrunnen 603-413104 25x20x18cm 2.1L 4W Kunststoff,Europet Bernina Trinkbrunnen 603-413104 25x20x18cm 2.1L 4W Kunststoff
4262427090057,title-normalize-v2,purahelp,Purahelp,purahelp Warnwesten Set PH-WW-SET+1 Kinder Erwachsene Gelb NEU,Purahelp Warnwesten Set PH-WW-SET+1 Kinder Erwachsene Gelb NEU
54c1a366-798b-42bf-9014-95729468c623,title-normalize-v2,purehelp,Purehelp,purehelp Schuhüberzieher PH-SC-SET100 Unisex Gr. Einheitsgröße CPE Blau NEU,Purehelp Schuhüberzieher PH-SC-SET100 Unisex Gr. Einheitsgröße CPE Blau NEU
59151383083624,title-normalize-v2,home24,Home24,home24 Beistelltisch JI-05510-50 31cm 31x63x63cm NEU,Home24 Beistelltisch JI-05510-50 31cm 31x63x63cm NEU
81717285233178,title-normalize-v2,good morning,Good Morning,good morning Bettwäsche-Set 20104-F 100% Baumwolle 155x220cm Sand NEU,Good Morning Bettwäsche-Set 20104-F 100% Baumwolle 155x220cm Sand NEU
SKU-0172791378,title-normalize-v2,lululemon,Lululemon,lululemon Yogamatte LU9AVOS BLK 180cm Polyvinylbutyral TPE Schwarz NEU,Lululemon Yogamatte LU9AVOS BLK 180cm Polyvinylbutyral TPE Schwarz NEU
SKU-0974179694,title-normalize-v2,wolfcraft,Wolfcraft,wolfcraft Eckzwinge 3051000 Kunststoff Metall Gelb Schwarz NEU,Wolfcraft Eckzwinge 3051000 Kunststoff Metall Gelb Schwarz NEU
SKU-0989494543,title-normalize-v2,adidas,Adidas,adidas Sneaker JS0254 Damen Gr. 38 2/3 Textil mit Wildleder-Overlays NEU,Adidas Sneaker JS0254 Damen Gr. 38 2/3 Textil mit Wildleder-Overlays NEU
