SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-0945605804,4040074122754,MEYLE ATF DCG II Getriebeöl 277026 für Doppelkupplungsgetriebe DCT NEU,MEYLE,Getriebeöl,,"Auto & Motorrad: Teile > Öle, Flüssigkeiten & Additive > Getriebeöle",Auto & Motorrad: Teile,,,category_id_missing
SKU-5748131128,ad08f46f-d233-4c4f-b5c5-bc803ce5018e,FRANKBERG Querlenkersatz CA03211Z-FC für PKW Fahrwerk Stabilität Austausch Neu,FRANKBERG,Querlenkersatz,,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Federung & Lenkung > Querlenker & Teile,Auto & Motorrad: Teile,,,category_id_missing
SKU-9078406333,4040074137246,"MEYLE Filter-Satz 112 330 0003/S für Audi, Seat, Skoda, VW 1.6/2.0 TDI Neu",MEYLE,Filter-Satz,,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Filter > Filter-Sets,Auto & Motorrad: Teile,,,category_id_missing
SKU-3938831828,81715585302754,PandaEar Silikon Baby Esslernset 2er Set Teller Becher Besteck Beige Taupe,PandaEar,Esslernset,,Baby & Kind > Essen & Trinken > Geschirr & Besteck > Esslernbesteck,Baby & Kind,,,category_id_missing
SKU-7447779999,f8fc404d-90b9-408f-a0a5-53038fdbd793,ONLINE Calli.Brush Lettering & Aquareell Set 'Das Leben ist Schön' DIN A5,ONLINE,Kalligrafie-Set,,Basteln & Handarbeiten > Malen & Zeichnen > Kalligrafie & Lettering > Kalligrafie-Sets,Basteln & Handarbeiten,,,category_id_missing
SKU-9003235487,6957303824717,"UGREEN Vertikaler Laptop Ständer LP258 Aluminium für Notebooks bis 15,6 Zoll",UGREEN,Vertikaler Laptop Ständer,,"Computer, Tablets & Netzwerk > Laptop- & Desktop-Zubehör > Laptop-Ständer & -Halter","Computer, Tablets & Netzwerk",,,category_id_missing
SKU-7333529126,8717475102703,TYC Außenspiegel Rechts beheizbar Ford Transit VI (ab 2013) 310-0237 Schwarz,TYC,Außenspiegel,,Fahrzeugteile > Karosserie & Exterieur > Spiegel & Zubehör > Außenspiegel,Fahrzeugteile,,,category_id_missing
SKU-3350934915,b82f2e03-f4e9-4cef-8984-364a6a8cfc8e,"Kibek Gartenstecker Molveno 2201290005 Mattschwarz Metall, Kunststoff Neu",Kibek,Gartenstecker,,Garten & Freizeit > Gartenbeleuchtung > Solarleuchten,Garten & Freizeit,,,category_id_missing
SKU-1536365981,ea75ec18-8ebd-4623-8b72-bdc796af7bfb,Unbekannt Backform Einsatz Schwarz Silikon NEU Airfryer 2er Set Haushalt,Unbekannt,Backform Einsatz,,"Haushalt & Wohnen > Küche, Kochen & Genießen > Küchengeräte > Fritteusen & Heißluftfritteusen Zubehör",Haushalt & Wohnen,,,category_id_missing
SKU-5446097686,2312388888888,"kecoolke Ultraschallreiniger KZ-F3, 3.0L, 120W Ultraschall, 150W Heizung Silber",kecoolke,Ultraschallreiniger,,Haushalt & Wohnen > Reinigung > Ultraschallreiniger,Haushalt & Wohnen,,,category_id_missing
SKU-6469360404,9e35f9b4-5df8-4db7-9dd7-31e4491488ef,Leevitex Jersey Spannbettlaken Gelb 90-100x200-220cm Baumwolle OEKO-TEX Neu,Leevitex,Spannbettlaken,,Heimtextilien > Bettwäsche & Bettwaren > Spannbettlaken,Heimtextilien,,,category_id_missing
SKU-6543182729,8088208802015,H&M HOME Spannbettlaken 140x200 cm Beige Baumwolle Recycelt Fadendichte 144,H&M HOME,Spannbettlaken,,Heimtextilien > Bettwäsche & Bettlaken > Spannbettlaken,Heimtextilien,,,category_id_missing
SKU-5764056320,81717285233178,good morning Flanell Bettwäsche BERNARDUS Kariert Sand 155x220cm Baumwolle,good morning,Bettwäsche-Set,,Heimtextilien & Bettwaren > Bettwäsche,Heimtextilien & Bettwaren,,,category_id_missing
SKU-3050715048,247e01a5-fa99-4b01-be0a-fefbe97a145d,"HASKYY Vielzahn Steckschlüsselsatz XZN CVN-16, 1/2 Zoll, 16-tlg (8-24mm)",HASKYY,Steckschlüsselsatz,,Heimwerker > Handwerkzeuge > Werkzeugsets,Heimwerker,,,category_id_missing
SKU-4973901806,4063541990120,HUGO BOSS Zestart Herren Sweatjacke Beige Gr. 4XL Langarm Reißverschluss,HUGO BOSS,Sweatjacke,,Herrenbekleidung > Sweatshirts & Hoodies,Herrenbekleidung,,,category_id_missing
SKU-8798489036,8719115000028,Calvin Klein Herren Low Rise Trunks Baumwoll-Stretch Mehrfarbig Gr. L U2664-4KU,Calvin Klein,Boxershorts,,Herrenmode > Unterwäsche > Boxershorts,Herrenmode,,,category_id_missing
SKU-6587967689,45005591930000,Calvin Klein Herren Trunks 3er Pack Baumwoll-Stretch Classic Fit Low Rise Gr. L,Calvin Klein,Trunks,,Kleidung & Accessoires > Herrenmode > Unterwäsche > Boxershorts & Trunks,Kleidung & Accessoires,,,category_id_missing
SKU-0716100821,c02f6527-8651-429c-8022-31eb90f6aaaa,"SOMAN Integralhelm A154956/202401/03705 NEU Pink, Schwarz, Lila Gr. S -Zubehör",SOMAN,Integralhelm,,Motorrad-Teile & -Zubehör > Helme & Kopfbedeckungen > Helme,Motorrad-Teile & -Zubehör,,,category_id_missing
SKU-2204782559,f2028097-7287-47f8-b694-d663960758ec,Eternity Commerce LTD Magnetspielzeug Pixel-Stil 150 Teile ab 3 Jahre 2024-1,Eternity Commerce LTD,Magnetspielzeug,,Spielzeug > Baukästen & Konstruktion > Magnetspielzeug,Spielzeug,,,category_id_missing
SKU-9014992269,61cb13b8-ef09-4959-821e-c2d63fcd8038,Anqiyou Fahrrad Rücklicht AQY-0117 LED 400 mAh Akku Universal für Radsport NEU,Anqiyou,Rücklicht,,Sport > Radsport > Fahrradteile & -komponenten > Beleuchtung > Rücklichter,Sport,,,category_id_missing
SKU-3756924465,48fe16c6-bdc6-42f6-862e-fc9eb4962c93,FEDOUR Heizstab HP-608 50W mit Temperaturregler für Süß- & Meerwasser 20-34°C,FEDOUR,Heizstab,,Tierbedarf > Aquaristik > Aquarienheizungen,Tierbedarf,,,category_id_missing
SKU-7225351886,00442039661193,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Tierbedarf",COZII,Hundepool,,Tierbedarf > Hunde > Betten & Möbel > Hundepools,Tierbedarf,,,category_id_missing
SKU-7753504850,30c418b6-000b-47e9-8252-3478b4693cda,PerformaNat Calcium Bolus für Milchkühe | Milchfieber-Prophylaxe | 8x110g | Neu,PerformaNat,Calcium Bolus,,Tierbedarf > Nutztiere > Rinderzubehör > Futterergänzungsmittel,Tierbedarf,,,category_id_missing
SKU-1316800430,8004815313234,"Fiamma Level Up Auffahrkeile 3-stufig rutschfest 5,0t für Wohnmobil Wohnwagen",Fiamma,Nivellierkeil,,Wohnmobil- & Wohnwagenzubehör > Nivellierkeile,Wohnmobil- & Wohnwagenzubehör,,,category_id_missing
SKU-4519918204,5010996282880,Hasbro Marvel X-Men Wolverine Actionfigur Marvel Legends Marvel's Nemesis BAF,Hasbro,Actionfigur,,Actionfigur,Actionfigur,,,category_id_missing|category_text_not_breadcrumb
SKU-7417485934,5055350248140,FOX Edges Kwik Change Pop-Up Gewichte für Karpfenangeln VS-XL Blei NEU CAC518,FOX,Pop-Up Gewichte,,Angeln,Angeln,,,category_id_missing|category_text_not_breadcrumb
SKU-3097738026,4034144003036,EMUK Anhängerspiegel 2-Punkt-Bügel Aluminium für Renault Kadjar Espace Scénic,EMUK,Anhängerspiegel,,Anhängerspiegel,Anhängerspiegel,,,category_id_missing|category_text_not_breadcrumb
SKU-6074840029,4040074266946,"MEYLE Gelenksatz Antriebswelle 100 498 0057, radseitig, ABS-Ring, Schwarz",MEYLE,Gelenksatz,,Antriebswellen & Gelenke,Antriebswellen & Gelenke,,,category_id_missing|category_text_not_breadcrumb
SKU-4603086544,20240129000072,URVOLAX CarPlay Display UR73C 10.26 Zoll NEU Schwarz Drahtloses Auto-Monitore,URVOLAX,CarPlay Display,,Auto-Monitore,Auto-Monitore,,,category_id_missing|category_text_not_breadcrumb
