SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-0780623565,8c326f7a-d1df-447c-ab0c-c39d136ac565,TAN.TOMI Hartschalenkoffer BOD17R89GL 44cm 65 Liter Unisex Gr. L ABS 65L,TAN.TOMI,Hartschalenkoffer,,,,,,category_id_missing
SKU-1523043917,4007066810273,SCHIESSER Boxershorts 180194-919 Herren Gr. M 95% Bio-Baumwolle 5% Elasthan,SCHIESSER,Boxershorts,,,,,,category_id_missing
SKU-2054351224,4061462474781,AMBIANO Wärmesitzkissen GT-HPR-03 Textil Wasserabweisend 5000mAh 3.7V 5V,AMBIANO,Wärmesitzkissen,,,,,,category_id_missing
SKU-2424861616,43422328612861,RAGNARÖK Gartenmöbel-Set S42 Polyrattan,RAGNARÖK,Gartenmöbel-Set,,,,,,category_id_missing
SKU-2574433036,992c90f7-4b46-4306-8849-68b584459a4d,SUNLU 3D Drucker Filament PLA Multicolor Polylactide 1.75mm 1kg 75mm 02mm,SUNLU,3D Drucker Filament,,,,,,category_id_missing
SKU-2748406604,4008177077142,Castrol Motoröl P0186F9-00 5W,Castrol,Motoröl,,,,,,category_id_missing
SKU-3055174422,8b18f8c1-5ced-4f9d-989d-35fb729415fe,Anker Powerbank A1616 93mm 5000mAh Kunststoff 93x63x15mm 5W 12W 15mm 14kg,Anker,Powerbank,,,,,,category_id_missing
SKU-3855746092,4055333068964,PARKSIDE Benzin-Rucksack-Kombigerät PBRK 700 A1 1.5kW 2 PS 42.7cm 48cm,PARKSIDE,Benzin-Rucksack-Kombigerät,,,,,,category_id_missing
SKU-3867423041,36f71981-e45d-478a-a80d-4e665f0e3352,Unbekannt BH 63189 Damen Synthetikmischung Hautfarben,Unbekannt,BH,,,,,,category_id_missing
SKU-4846246443,0250237001502,Quooker CO2-Zylinder 60.237.00V02 Metall 425g 64kg Silber,Quooker,CO2-Zylinder,,,,,,category_id_missing
SKU-4867865757,436ccc2b-8047-41a7-955c-6b4b2626a124,TEMPO Moving Head TP-BH29514R AC 100-240V Metall Kunststoff 240V 295W,TEMPO,Moving Head,,,,,,category_id_missing
SKU-4995445480,c9fb6dc8-5db9-455d-a9b6-a8cadf694909,Adidas Trainingshose JC8285 Damen Gr. L 100% Polyester Dunkelblau,Adidas,Trainingshose,,,,,,category_id_missing
SKU-5134751391,20221705000003,Intelamp Solar-Außenleuchte x0020KCWST 190mm 5V 12500mAh 85mm Schwarz,Intelamp,Solar-Außenleuchte,,,,,,category_id_missing
SKU-5207774112,4260281755686,Finori Waschbeckenunterschrank Post A1 66cm Holzwerkstoff 56cm 29cm 12kg,Finori,Waschbeckenunterschrank,,,,,,category_id_missing
SKU-5320936983,4036021163093,MANNOL 7511 5W 93kg,MANNOL,,,,,,,category_id_missing
SKU-5660339205,48093417-f9ef-497f-96a7-e17838a5280f,Enders Holzkohlegrill MasonxL Stahl 57x42cm 120cm 60cm 100cm 84cm 20kg,Enders,Holzkohlegrill,,,,,,category_id_missing
SKU-5700317364,34bb265f-a1ad-4850-a2ec-71bf44c1ad68,Hansgrohe Waschtischarmatur Vernis Blend 70 Messing 5l 93mm 59mm Chrom,Hansgrohe,Waschtischarmatur,,,,,,category_id_missing
SKU-5940997361,4059625401927,Hansgrohe Waschtischarmatur Rebris E 110 Messing 5l 121mm 109mm 177mm Chrom,Hansgrohe,Waschtischarmatur,,,,,,category_id_missing
SKU-6536943755,f19c6d73-628b-424c-9d89-d950ebafb74b,ANYCUBIC 3D Drucker Filament IPHHSBW-106 High Speed PLA 1.75mm 1kg 75mm,ANYCUBIC,3D Drucker Filament,,,,,,category_id_missing
SKU-6689911886,4061458034781,Unbekannt Allgemeiner Artikel Nicht zutreffend,Unbekannt,Allgemeiner Artikel,,,,,,category_id_missing
SKU-6703015625,c98d74fd-e1a0-42fd-ba6d-2ea526b6e643,Adidas Trainingshose JP2314 Herren Gr. M Recyceltes Polyester Grün,Adidas,Trainingshose,,,,,,category_id_missing
SKU-6986483321,5702015867535,LEGO Konstruktionsspielzeug 31058 Unisex Kunststoff Mehrfarbig,LEGO,Konstruktionsspielzeug,,,,,,category_id_missing
SKU-7538503265,00174600185032,COM40 Limited sp Sitzkissen C001746 Textil 1kg,COM40 Limited sp,Sitzkissen,,,,,,category_id_missing
SKU-7745371992,4011097314013,Hansgrohe Brauseschlauch Isiflex 125cm Kunststoff Chrom,Hansgrohe,Brauseschlauch,,,,,,category_id_missing
SKU-8192040791,3573994006336,Dexeryl Pflegecreme Babys Kinder Erwachsene 500g,Dexeryl,Pflegecreme,,,,,,category_id_missing
SKU-8261682619,f0796a2b-7a12-4f55-b343-cf8e47e35ad0,TePe Interdentalbürsten 138826 Erwachsene Gr. 0.45mm,TePe,Interdentalbürsten,,,,,,category_id_missing
SKU-4110694191,4036021157276,MANNOL AF13++ Kühlerfrostschutzkonzentrat 4115 5L Rot G13+ Lobrid-Technologie,MANNOL,Kühlerfrostschutzkonzentrat,,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile,Auto & Motorrad,,,category_id_missing
SKU-3266280359,4007126365101,"Hailo AS Tandem 15/15 Einbau-Abfallsammler für Küchenunterschrank, 2x15L",Hailo,Einbau-Abfallsammler,,Haushalt & Küche > Sonstige,Haushalt & Küche,,,category_id_missing
SKU-1000000004,5059556377703,"Bench Herren Kurzarmhemd Bowdon Button-Down Weiß – 100% Baumwolle, Regular Fit",Bench,Hemd,,Mode & Accessoires > Herren > Herren,Mode & Accessoires,,,category_id_missing
SKU-4961159565,8719114322466,Calvin Klein Herren Boxershorts Schwarz Gr. M Baumwoll-Stretch 4500572587,Calvin Klein,Boxershorts,,Mode & Accessoires > Kleidung > Unterwäsche & Dessous,Mode & Accessoires,,,category_id_missing
SKU-0026867017,9598aed7-fe7a-426e-afcc-08ca0d925270,LESBJFDM Tattoo Armlehne,LESBJFDM,Tattoo Armlehne,26395,Beauty & Gesundheit,Beauty & Gesundheit,,,category_too_broad|category_text_not_breadcrumb
SKU-7819343007,51d329b1-b104-47b9-9ce4-e0e93797b2de,KEWUZY Funktürklingel Wasserdicht IP44 Schwarz - 52 Melodien - Modell 0189-BB,KEWUZY,Funktürklingel,3187,Heimwerker,Heimwerker,,,category_too_broad|category_text_not_breadcrumb
