SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,Suggested1Id,Suggested1Breadcrumb,Suggested1Hit,Suggested2Id,Suggested2Breadcrumb,Suggested2Hit,Suggested3Id,Suggested3Breadcrumb,Suggested3Hit,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-0704619212,25004695020111,Silicon Power SSD A55 256GB 7mm sata,Silicon Power,SSD,,,,177842,Sport > Radsport > Fahrradelektronik > Power Meters,1,159955,Musikinstrumente > Pro-Audio Equipment > Power Conditioner,1,67262,"Computer, Tablets & Netzwerk > Heimnetzwerke & Zubehör > PowerLAN-Netzwerke",1,,,missing_or_broad
SKU-0780623565,8c326f7a-d1df-447c-ab0c-c39d136ac565,TAN.TOMI Hartschalenkoffer BOD17R89GL 44cm 65 Liter Unisex Gr. L ABS 65L,TAN.TOMI,Hartschalenkoffer,,,,112661,Beauty & Gesundheit > Parfums > Unisex,1,260017,Kleidung & Accessoires > Kinder > Unisex für Kinder,1,97093,Modellbau > Auto- & Verkehrsmodelle > Literatur & Kataloge,1,,,missing_or_broad
SKU-1164276787,2024010542503,VEVOR Kompressor Kühlbox Bx-YSSCZBxSH-CF55V2 69.3cm 55L 60W 12V 24V 230V,VEVOR,Kompressor Kühlbox,,,,180152,Auto & Motorrad: Teile > Werkzeuge > Pumpen & Kompressoren,1,184653,Heimwerker > Werkzeuge > Druckluftgeräte & Kompressoren > Sonstige,1,43986,Auto & Motorrad: Teile > Werkzeuge > Druckluftkompressoren,1,,,missing_or_broad
SKU-1523043917,4007066810273,SCHIESSER Boxershorts 180194-919 Herren Gr. M 95% Bio-Baumwolle 5% Elasthan,SCHIESSER,Boxershorts,,,,260012,Kleidung & Accessoires > Herren,1,10290,Uhren & Schmuck > Herrenschmuck,1,29585,Beauty & Gesundheit > Parfums > Herren,1,,,missing_or_broad
SKU-2054351224,4061462474781,AMBIANO Wärmesitzkissen GT-HPR-03 Textil Wasserabweisend 5000mAh 3.7V 5V,AMBIANO,Wärmesitzkissen,,,,71237,Möbel & Wohnen > Kochen & Genießen > Küchentextilien,1,20657,Möbel & Wohnen > Kochen & Genießen > Küchentextilien > Schürzen,1,71239,Möbel & Wohnen > Kochen & Genießen > Küchentextilien > Sonstige,1,,,missing_or_broad
SKU-2574433036,992c90f7-4b46-4306-8849-68b584459a4d,SUNLU 3D Drucker Filament PLA Multicolor Polylactide 1.75mm 1kg 75mm 02mm,SUNLU,3D Drucker Filament,,,,183062,"Computer, Tablets & Netzwerk > 3D-Drucker & Zubehör",1,1245,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Drucker",1,11205,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Scanner",1,,,missing_or_broad
SKU-2748406604,4008177077142,Castrol Motoröl P0186F9-00 5W,Castrol,Motoröl,,,,179496,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,,,,,,,missing_or_broad
SKU-3055174422,8b18f8c1-5ced-4f9d-989d-35fb729415fe,Anker Powerbank A1616 93mm 5000mAh Kunststoff 93x63x15mm 5W 12W 15mm 14kg,Anker,Powerbank,,,,181028,Garten & Terrasse > Garten- & Landschaftsbau > Erdanker,1,81645,Sport > Bootsport > Bootsteile & Zubehör > Zubehör > Anker & Ketten,1,262216,Auto & Motorrad: Teile > Autoteile & Zubehör > Transportsysteme > Verankerungen,1,,,missing_or_broad
SKU-3831935492,4067522073659,CLEANMaxx Polster- und Teppichreiniger 15177 400W Schwarz,CLEANMaxx,Polster- und Teppichreiniger,,,,156687,Baby > Auto-Kindersitze & Zubehör > Zubehör > Gurtpolster & Nackenstützen,1,113355,Bastel- & Künstlerbedarf > Kreatives Gestalten > Polstereiwerkzeug & -Zubehör,1,72228,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Sportgurte & Polster,1,,,missing_or_broad
SKU-3855746092,4055333068964,PARKSIDE Benzin-Rucksack-Kombigerät PBRK 700 A1 1.5kW 2 PS 42.7cm 48cm,PARKSIDE,Benzin-Rucksack-Kombigerät,,,,181378,Sport > Camping & Outdoor > Rucksäcke,1,16081,Reisen > Reisekoffer & -taschen > Rucksäcke,1,26154,Sport > Sporttaschen & Rucksäcke > Sonstige,1,,,missing_or_broad
SKU-3867423041,36f71981-e45d-478a-a80d-4e665f0e3352,Unbekannt BH 63189 Damen Synthetikmischung Hautfarben,Unbekannt,BH,,,,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,15724,Kleidung & Accessoires > Damen > Damenmode,1,,,missing_or_broad
SKU-4846246443,0250237001502,Quooker CO2-Zylinder 60.237.00V02 Metall 425g 64kg Silber,Quooker,CO2-Zylinder,,,,33617,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Zylinderköpfe,1,180404,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kupplungszylinder,1,33571,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Radbremszylinder,1,,,missing_or_broad
SKU-4867865757,436ccc2b-8047-41a7-955c-6b4b2626a124,TEMPO Moving Head TP-BH29514R AC 100-240V Metall Kunststoff 240V 295W,TEMPO,Moving Head,,,,171821,PC- & Videospiele > Zubehör > Headsets,1,80077,Handys & Kommunikation > Handy-Zubehör > Headsets,1,80183,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Headsets",1,,,missing_or_broad
SKU-4995445480,c9fb6dc8-5db9-455d-a9b6-a8cadf694909,Adidas Trainingshose JC8285 Damen Gr. L 100% Polyester Dunkelblau,Adidas,Trainingshose,,,,260010,Kleidung & Accessoires > Damen,1,11848,Beauty & Gesundheit > Parfums > Damen,1,15724,Kleidung & Accessoires > Damen > Damenmode,1,,,missing_or_broad
