id,ean,productId,updated_at,baseProductId,sku
ean:00155403040304,00155403040304,SKU-4802639881,2025-12-21T16:54:13.055Z,465027960,SKU-4802639881
ean:00386270002273,00386270002273,SKU-9912977908,2025-12-21T17:41:09.039Z,465098523,SKU-9912977908
ean:0042406863353,0042406863353,SKU-5427858806,2025-12-21T17:31:44.325Z,462239147,SKU-5427858806
ean:0195161166969,0195161166969,726121ea-fdad-41e5-859d-0e9e1b9c50b1,2025-12-14T23:42:29.111Z,458468043,SKU-9431798499
ean:0313030022097,0313030022097,1400a930-65f8-4363-8402-af31839e4d42,2025-12-15T00:02:18.232Z,458453028,SKU-7926913408
ean:042406071826,042406071826,SKU-1153910217,2025-12-21T17:21:46.469Z,462090779,SKU-1153910217
ean:0633585070122,0633585070122,b9682eb9-a9aa-415e-898f-7b9bf915e42f,2025-12-21T18:56:39.795Z,465217822,SKU-8203474346
ean:0663961054064,0663961054064,SKU-3622017850,2025-12-18T18:52:18.339Z,459966535,SKU-3622017850
ean:06971763600575,06971763600575,6971763600575,2025-12-16T23:06:54.280Z,459968749,SKU-5946216503
ean:07445038719723,07445038719723,SKU-2804135383,2025-12-21T17:38:52.973Z,462138578,SKU-2804135383
ean:0810123671069,0810123671069,0810123671069,2025-12-21T17:48:46.980Z,465111098,SKU-1890172110
ean:0840006667636,0840006667636,SKU-7473377331,2025-12-21T01:41:57.251Z,464488486,SKU-7473377331
ean:085854258548,085854258548,0060cdec-9193-411b-af64-4754ca0226bd,2025-12-21T17:48:46.546Z,465111088,SKU-1844691476
ean:09102026,09102026,SKU-2019125675,2025-12-18T18:21:48.626Z,462106216,SKU-2019125675
ean:1001551550102,1001551550102,SKU-8367978772,2025-12-21T19:49:41.193Z,465283094,SKU-8367978772
ean:1120227311323,1120227311323,SKU-0236764953,2025-12-19T15:23:07.950Z,463235479,SKU-0236764953
ean:11805620,11805620,d2649d99-ae7a-4b45-bca9-e6c452843d93,2025-12-21T17:48:24.700Z,465110466,SKU-3442148631
