id,productId,inventoryId,status,message,createdAt
001sddylmjh49rPjkqmk,08690885205328,,failed,Inventory ID fehlt,"{""_seconds"":1765414410,""_nanoseconds"":792000000}"
01ybJRNKaqqNLMRshCBF,4061418025265,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 22:21:56","{""_seconds"":1765401240,""_nanoseconds"":874000000}"
06H4Z2N4eABbSVsUwmri,5054142498336,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765045587,""_nanoseconds"":311000000}"
09HZ4UxnGier4drumUDs,4260012351552,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492402,""_nanoseconds"":987000000}"
0AkE4rHeCc9AICDSdtQi,02591620,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765746189,""_nanoseconds"":23000000}"
0AwM0ntdAr0Y4aaLe9aq,0000184164619,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765732433,""_nanoseconds"":931000000}"
0BYQnt7se4asotawZzXv,SKU-4541378818,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766338303,""_nanoseconds"":346000000}"
0DHpuBqJ3eKgczaey6Lb,0002592484122,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765754616,""_nanoseconds"":481000000}"
0GLUnwOytFdLPxW4Kv0X,8806090396038,85403,failed,Kategorie konnte für Inventory 85403 nicht ermittelt werden (Produkt 8806090396038),"{""_seconds"":1765641491,""_nanoseconds"":65000000}"
0HOva1ljbLvjNL89JTFb,4013556577120,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766335357,""_nanoseconds"":833000000}"
0HXsX0WDb2xJiCygq2py,DQTGD01300W-300W-LED-FLOOD-1,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765358592,""_nanoseconds"":421000000}"
0MNjPlAy1rBPYPKGiQab,195969554562,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765753930,""_nanoseconds"":77000000}"
0QNYtHk1I5uyzbLzMGTK,0000184164619,85403,failed,"ENOENT: no such file or directory, open '/app/ebay/DE_New_Structure_(May2023).csv'","{""_seconds"":1765491977,""_nanoseconds"":765000000}"
0REuw6fGRIa1UtoQ8gi5,197634001401,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 19:50:25","{""_seconds"":1765478475,""_nanoseconds"":474000000}"
0bSKETqR2RoQctzLSMSf,4007114298916,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455142,""_nanoseconds"":550000000}"
0cfGdT9F6Jg4AYRtHwDf,4013556577120,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766288927,""_nanoseconds"":502000000}"
0d7mp99BiN1Av7uotiOs,4067888237931,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765748933,""_nanoseconds"":456000000}"
0gZBwPE31LzwmPY8PKza,4260613494504,85404,failed,"ENOENT: no such file or directory, open '/app/kaufland/category_tree_int_all_languages - 📕 category_tree_all_languages.csv'","{""_seconds"":1765479647,""_nanoseconds"":644000000}"
0lGup1ntrJ7IW9tEYNoG,8445866051810,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765751315,""_nanoseconds"":763000000}"
0tss1GB8d2SCGM50wPwq,SKU-3046032177,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765939899,""_nanoseconds"":156000000}"
0u5nBtSWn5qEcGsaCJFB,paudin-santoku-n5-img-1,,failed,Inventory ID fehlt,"{""_seconds"":1765455026,""_nanoseconds"":68000000}"
0urvkXeSrnnKAgP1tphY,SKU-6369067650,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1766339040,""_nanoseconds"":409000000}"
