id,createdAt,ebene,gang,etage,zone,regal,firstStoredAt,lastStoredAt,productCount,products,lastUpdatedAt
XGA0101A,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",A,1,GA,X,1,"{""_seconds"":1763768398,""_nanoseconds"":316000000}","{""_seconds"":1765639975,""_nanoseconds"":57000000}",1,"[{""productId"":""A858-2309QFYF6PK-LOGO"",""name"":""Qingfeiyang F6 E-Scooter: Ultraleicht & faltbar für maximale Flexibilität"",""sku"":""SKU-4846525236"",""quantity"":1,""firstStoredAt"":""2025-12-13T15:32:55.057Z"",""lastUpdatedAt"":""2025-12-13T15:32:55.057Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/A858-2309QFYF6PK-LOGO/studio_front_910e6a4a391684e97ca27d530868c7c4.png""}]",
XGA0101B,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",B,1,GA,X,1,"{""_seconds"":1763766885,""_nanoseconds"":753000000}","{""_seconds"":1766587511,""_nanoseconds"":23000000}",11,"[{""productId"":""8718891015578"",""image"":""https://storage.googleapis.com/prodsandjobs/products/8718891015578/gemini_render_studio_front_1765280062014_0_b3e5598c8dae62799c9adc438cb4f4e9.png"",""name"":""Brother TN-423M kompatibel - Magenta Toner für HL/MFC Drucker | Premium Qualität"",""firstStoredAt"":""2025-12-09T17:20:32.353Z"",""sku"":""SKU-7948301538"",""quantity"":2,""lastUpdatedAt"":""2025-12-09T17:46:11.685Z""},{""quantity"":2,""sku"":""SKU-7892887285"",""firstStoredAt"":""2025-12-09T17:21:10.544Z"",""productId"":""bbb77d85-7a8f-40b4-a3e2-e8ea469fe7cb"",""name"":""Canon 057H Tonerkartusche Schwarz"",""image"":null,""lastUpdatedAt"":""2025-12-09T17:46:33.532Z""},{""sku"":""SKU-2388529978"",""name"":""Kompatibler Toner B423K Schwarz"",""lastUpdatedAt"":""2025-12-09T17:46:20.566Z"",""image"":""https://i.ebayimg.com/images/g/2d4AAOSwJmJnW~io/s-l1200.jpg"",""firstStoredAt"":""2025-12-09T17:46:20.566Z"",""quantity"":1,""productId"":""8718309101547""},{""lastUpdatedAt"":""2025-12-09T17:46:24.291Z"",""quantity"":1,""firstStoredAt"":""2025-12-09T17:46:24.291Z"",""productId"":""09158136-7837-4a23-90d6-1543b48ce027"",""sku"":""SKU-5091393302"",""name"":""B423C Toner Cyan kompatibel zu Brother TN‑423C"",""image"":null},{""name"":""Canon Cartridge 718"",""sku"":""SKU-6099130668"",""productId"":""18c83b9d-eb7b-478b-a5de-388c2f9aa63c"",""quantity"":2,""firstStoredAt"":""2025-12-12T16:52:12.287Z"",""lastUpdatedAt"":""2025-12-12T16:52:12.287Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/18c83b9d-eb7b-478b-a5de-388c2f9aa63c/studio_front_decbbfd0ca4c03b43e5e6402a77847d3.png""},{""firstStoredAt"":""2025-12-13T15:47:02.209Z"",""name"":""Success Courier Pumpensteuerung DSK-1 für konstanten Druck & Trockenlaufschutz"",""image"":""https://storage.googleapis.com/prodsandjobs/products/6431619024/other_aa7bc8ee83820a1cf39c31f03610f65d.jpeg"",""quantity"":1,""productId"":""6431619024"",""lastUpdatedAt"":""2025-12-13T15:47:02.209Z"",""sku"":""SKU-3963918245""},{""sku"":""SKU-9912977908"",""firstStoredAt"":""2025-12-18T16:05:13.647Z"",""name"":""Dexcom G7 Receiver Blutzuckermessgerät für präzise Echtzeit-Glukose"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984158029_0_eb3ab174bb504935f10dd2cfe0a20948.jpeg"",""lastUpdatedAt"":""2025-12-18T16:05:13.647Z"",""productId"":""SKU-9912977908"",""quantity"":1},{""lastUpdatedAt"":""2025-12-24T14:45:11.023Z"",""quantity"":1,""name"":""Canon Toner 716 Schwarz Original für gestochen scharfe Laser-Ausdrucke"",""sku"":""SKU-4090290612"",""productId"":""4960999610955"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766508780559_0_7b8b29cc1a5ec41e56433c67dcc3659a.jpeg"",""firstStoredAt"":""2025-12-24T14:45:11.023Z""}]",
XGA0101C,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",C,1,GA,X,1,"{""_seconds"":1763639669,""_nanoseconds"":73000000}","{""_seconds"":1766605890,""_nanoseconds"":484000000}",4,"[{""name"":""bremermann Nudelmaschine 57003 Edelstahl"",""sku"":""SKU-9787450821"",""image"":""https://m.media-amazon.com/images/I/71QSeBHPqsL._AC_SL1500_.jpg"",""quantity"":1,""productId"":""4057993570030"",""firstStoredAt"":""2025-11-23T16:54:12.801Z"",""lastUpdatedAt"":""2025-11-23T16:54:12.801Z""},{""quantity"":1,""name"":""UBRAVOO Kindersitzerhöhung Booster – mobil sicher sitzen"",""image"":""https://storage.googleapis.com/trendocean/products/uploads/identify_1764430665458_0_81994ed9fb65f606b50f059793a82ba2.jpeg"",""lastUpdatedAt"":""2025-11-29T15:43:21.389Z"",""productId"":""UBRAVOO-ACE1013-1"",""sku"":""SKU-0362404564"",""firstStoredAt"":""2025-11-29T15:43:21.389Z""},{""name"":""Unbekant Oberfräse 3709 für präzise Kanten & Nuten in Holz"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766513618090_0_952e436f8927d3d43c43f39283419a68.jpeg"",""sku"":""SKU-5952589845"",""firstStoredAt"":""2025-12-24T16:37:46.485Z"",""productId"":""85020cb2-38be-42d7-a2d1-bb5aa92d9e36"",""lastUpdatedAt"":""2025-12-24T16:37:46.485Z"",""quantity"":1},{""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766592225293_0_dcd03ef7b7b100ce448fcc7972565937.jpeg"",""firstStoredAt"":""2025-12-24T16:42:21.369Z"",""name"":""Vinz Jethelm Como ECE R22-06 | Kratzfestes Visier & UV-Schutz"",""productId"":""e29c131f-ec89-434c-b216-90f28330918d"",""lastUpdatedAt"":""2025-12-24T16:42:21.369Z"",""sku"":""SKU-6854747447""}]",
XGA0101D,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",D,1,GA,X,1,,,0,[],
XGA0101E,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",E,1,GA,X,1,"{""_seconds"":1763649823,""_nanoseconds"":362000000}","{""_seconds"":1766588011,""_nanoseconds"":58000000}",16,"[{""lastUpdatedAt"":""2025-12-12T13:22:21.679Z"",""sku"":""SKU-8747609895"",""image"":""https://storage.googleapis.com/trendocean/product_images/freepik__detail-closeup-of-the-front-part-c1b3a10eb374411b8__61925.png"",""name"":""Qkids WEISS Scooter Pink"",""quantity"":1,""firstStoredAt"":""2025-11-23T18:14:00.586Z"",""productId"":""5900495862228""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/b9682eb9-a9aa-415e-898f-7b9bf915e42f/lifestyle_closeup_4e5776f7c4e4f4b275e3cd1d6a9edab2.png"",""firstStoredAt"":""2025-12-21T16:13:59.723Z"",""productId"":""b9682eb9-a9aa-415e-898f-7b9bf915e42f"",""sku"":""SKU-8203474346"",""lastUpdatedAt"":""2025-12-21T16:13:59.723Z"",""quantity"":14,""name"":""Sabeatex Nackenstützkissen – Optimale Stütze für erholsamen Schlaf""},{""quantity"":1,""sku"":""SKU-2708761114"",""name"":""BITUXX Federspanner-Set Universal | Sicher & Präzise für Kfz-Wartung"",""lastUpdatedAt"":""2025-12-24T14:53:31.058Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/6078c5f0-fb52-4c9c-b795-12a136ba6c79/studio_front_a56fcae817d8d12d1eb3503e61fa883d.png"",""firstStoredAt"":""2025-12-24T14:53:31.058Z"",""productId"":""6078c5f0-fb52-4c9c-b795-12a136ba6c79""}]",
XGA0102A,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",A,1,GA,X,2,,,0,[],
XGA0102B,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",B,1,GA,X,2,"{""_seconds"":1763767447,""_nanoseconds"":71000000}","{""_seconds"":1766587775,""_nanoseconds"":900000000}",19,"[{""sku"":""SKU-2611077541"",""productId"":""4071003351342"",""name"":""Glossyautoparts Nockenwelle / G407-EBY-100335-1342 – Motor-Ersatzteil"",""quantity"":1,""lastUpdatedAt"":""2025-12-09T17:42:39.562Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/4071003351342/gemini_render_studio_detail_1765199182302_0_21efc66180e185286d4b170602ed09ba.png"",""firstStoredAt"":""2025-12-09T17:42:39.562Z""},{""productId"":""4733dbc5-7297-4287-92b0-051f706467d9"",""sku"":""SKU-0411747828"",""lastUpdatedAt"":""2025-12-09T17:42:48.399Z"",""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/4733dbc5-7297-4287-92b0-051f706467d9/gemini_render_studio_detail_1765277968434_0_9603be7a63ec8854b173183581274a1a.png"",""firstStoredAt"":""2025-12-09T17:42:48.399Z"",""name"":""JURID 573429J Bremsbeläge vorne - BMW 1er, 2er, 3er, 4er - M135i, M235i, M3/M4 - Scheibenbremse Bremsbelagsatz""},{""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/9900201693232/gemini_render_studio_detail_1765277962474_0_f2d2dbdc6fdd2620ae5b0118d6452081.png"",""lastUpdatedAt"":""2025-12-09T17:44:18.881Z"",""firstStoredAt"":""2025-12-09T17:44:18.881Z"",""productId"":""9900201693232"",""name"":""JURID 573602J Bremsbeläge vorne - BMW 1er, 2er, 3er, 4er - Brembo"",""sku"":""SKU-3086033338""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/4251307280879/other_97a0ca5246e69acf00149b518905704f.jpeg"",""sku"":""SKU-5842899450"",""firstStoredAt"":""2025-12-09T17:46:44.289Z"",""productId"":""4251307280879"",""name"":""Stahlia 065 Teleskopschienen"",""quantity"":1,""lastUpdatedAt"":""2025-12-09T17:46:44.289Z""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/9014400193201/studio_front_66a5eca38bcf34fdec68df908021d1a9.png"",""firstStoredAt"":""2025-12-13T15:54:06.448Z"",""quantity"":1,""name"":""Cretacolor Farbstifte Set 250 Artist Studio – Brillante Farben für Künstler"",""sku"":""SKU-5943400007"",""lastUpdatedAt"":""2025-12-13T15:54:06.448Z"",""productId"":""9014400193201""},{""productId"":""SKU-2152217706"",""name"":""WMF Elektrische Mühle Ceramill: Präzise Würze auf Knopfdruck"",""quantity"":1,""firstStoredAt"":""2025-12-18T15:51:48.336Z"",""sku"":""SKU-2152217706"",""lastUpdatedAt"":""2025-12-18T15:51:48.336Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/4000530685841/studio_front_b49b559fc7ea3d09365a8ea2a845f052.png""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984162418_0_d15978f37f5c645181a33aeda08872f3.jpeg"",""productId"":""SKU-2804135383"",""firstStoredAt"":""2025-12-18T15:52:13.054Z"",""name"":""ERZEKRIM Ferritkern Set für RFI/EMI Entstörung & klare Signale"",""quantity"":1,""sku"":""SKU-2804135383"",""lastUpdatedAt"":""2025-12-18T15:52:13.054Z""},{""lastUpdatedAt"":""2025-12-18T15:52:37.331Z"",""firstStoredAt"":""2025-12-18T15:52:37.331Z"",""name"":""Malossi Variator Multivar 2000 - Optimierte Leistung & Beschleunigung"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984111756_0_ab3172a315e189401898a4174acf5c21.jpeg"",""sku"":""SKU-0236764953"",""quantity"":1,""productId"":""SKU-0236764953""},{""sku"":""SKU-9979752242"",""firstStoredAt"":""2025-12-18T15:52:58.505Z"",""productId"":""SKU-9979752242"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984107120_0_cb1f7dfb563948b145890ba4facbd097.jpeg"",""lastUpdatedAt"":""2025-12-18T15:52:58.505Z"",""quantity"":1,""name"":""CCLIFE Lambdasonden-Steckschlüssel-Satz 3-tlg. für einfachen Sondenwechsel""},{""productId"":""SKU-4802639881"",""firstStoredAt"":""2025-12-18T15:53:48.095Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984132233_0_ed3a3f0dfa9da3aab1e758dc94b523ab.jpeg"",""name"":""FITGRIFF Gewichthebergürtel für maximale Stabilität & optimalen Rückenschutz"",""lastUpdatedAt"":""2025-12-18T15:53:48.095Z"",""sku"":""SKU-4802639881"",""quantity"":1},{""quantity"":1,""sku"":""SKU-2019125675"",""lastUpdatedAt"":""2025-12-18T15:54:09.076Z"",""productId"":""SKU-2019125675"",""firstStoredAt"":""2025-12-18T15:54:09.076Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984159721_0_823f86ff85dc5786a9279a6d1f1256ff.jpeg"",""name"":""Derma Pen Germany Microneedling Pen für professionelle Hautverjüngung""},{""quantity"":1,""productId"":""SKU-0058749943"",""firstStoredAt"":""2025-12-18T15:54:27.834Z"",""sku"":""SKU-0058749943"",""lastUpdatedAt"":""2025-12-18T15:54:27.834Z"",""name"":""WMF Kinderbesteck Knuddel 4-teilig – Fördert selbstständiges Essen"",""image"":""https://storage.googleapis.com/prodsandjobs/products/SKU-0058749943/studio_front_31b301803ea672a5b6c0724078c12f2b.png""},{""lastUpdatedAt"":""2025-12-18T15:54:45.337Z"",""quantity"":1,""productId"":""SKU-9968230318"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984169597_0_5ca20d91235b2feb6bcf38b55c432248.jpeg"",""name"":""HOLA KIT Reifenreparaturset für schnelle & sichere Pannenbehebung unterwegs"",""firstStoredAt"":""2025-12-18T15:54:45.337Z"",""sku"":""SKU-9968230318""},{""productId"":""SKU-7350795017"",""lastUpdatedAt"":""2025-12-18T15:55:09.300Z"",""sku"":""SKU-7350795017"",""firstStoredAt"":""2025-12-18T15:55:09.300Z"",""quantity"":1,""name"":""Primewire Antennenkabel 15m gewinkelt - Optimale Signalübertragung TV Radio"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984164323_0_5a709d16a8a8683a53cc12aa9dac8199.jpeg""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984159405_0_02351db206670cf3aa332f59e65fe468.jpeg"",""sku"":""SKU-3047799035"",""lastUpdatedAt"":""2025-12-18T15:55:34.938Z"",""quantity"":1,""productId"":""SKU-3047799035"",""firstStoredAt"":""2025-12-18T15:55:34.938Z"",""name"":""ABUS Kettenschloss Iven Chain 7210/110: Hoher Diebstahlschutz, lackschonend""},{""lastUpdatedAt"":""2025-12-18T16:04:05.960Z"",""sku"":""SKU-9335260557"",""productId"":""SKU-9335260557"",""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984159828_0_da655fa7e8c2a5e5ef8501802defb7d6.jpeg"",""name"":""ABUS Kettenschloss IVERA Steel-O-Flex 7200 für zuverlässigen Schutz"",""firstStoredAt"":""2025-12-18T16:04:05.960Z""},{""firstStoredAt"":""2025-12-24T14:44:53.053Z"",""name"":""ABUS Faltschloss BORDO 6000K BIG – Hohe Sicherheit & 120cm Flexibilität"",""lastUpdatedAt"":""2025-12-24T14:44:53.053Z"",""quantity"":1,""productId"":""4003318620911"",""sku"":""SKU-8850596846"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766508778965_0_655937fb910591623dcd8f10c805bc8e.jpeg""},{""firstStoredAt"":""2025-12-24T14:49:27.760Z"",""sku"":""SKU-2930571748"",""lastUpdatedAt"":""2025-12-24T14:49:27.760Z"",""name"":""Bosch Hammerbohrer SDS max-4 30mm für Beton - Extreme Haltbarkeit & Präzision"",""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766508771889_0_3731c31be644e18256e3cd21ec16717e.jpeg"",""productId"":""8bc07ed5-5cee-4d00-abb3-00dd4f20439d""},{""quantity"":1,""firstStoredAt"":""2025-12-24T14:49:35.900Z"",""name"":""fischer Hammerbohrer SDS-plus Quattric II Ø 24mm für höchste Präzision"",""lastUpdatedAt"":""2025-12-24T14:49:35.900Z"",""sku"":""SKU-8927251416"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766508772042_0_13b13a01dcf21def12481a5748905e9c.jpeg"",""productId"":""4043962306996""}]",
XGA0102C,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",C,1,GA,X,2,"{""_seconds"":1763767191,""_nanoseconds"":974000000}","{""_seconds"":1766605886,""_nanoseconds"":710000000}",43,"[{""productId"":""topeak-tc2333b"",""lastUpdatedAt"":""2025-11-21T23:19:51.974Z"",""sku"":""SKU-0651722148"",""quantity"":4,""image"":""https://media.rodalink.com/catalog/product/7/4/740274001.jpg"",""name"":""Topeak Bento Pack, Oberrohrtasche 0,85 L (TC2333B)"",""firstStoredAt"":""2025-11-21T23:19:51.974Z""},{""quantity"":6,""firstStoredAt"":""2025-11-21T23:27:56.419Z"",""sku"":""SKU-4996518676"",""name"":""Topeak Weatherproof DynaWedge Strap Mount - Large (0.6 L)"",""image"":""https://storage.googleapis.com/avycloud-product-images/products/uploads/identify_1763551131255_0_df4478db16368c3fdadaa06de24c3126.jpeg"",""productId"":""4710069709269"",""lastUpdatedAt"":""2025-11-21T23:27:56.419Z""},{""quantity"":1,""image"":""https://m.media-amazon.com/images/I/51bW-iyjONL.jpg"",""firstStoredAt"":""2025-11-23T16:55:32.860Z"",""name"":""Terry Fly Exera Gel Sport Comfort Men Fahrradsattel"",""lastUpdatedAt"":""2025-11-23T16:55:32.860Z"",""productId"":""terry-fly-exera-gel-men-42300732"",""sku"":""SKU-0785869755""},{""name"":""Homerella Badewanneneinlage – Rutschfest für sicheren Stand 88x39 cm"",""productId"":""homerella-badewanneneinlage-88x39-1"",""sku"":""SKU-5687802687"",""lastUpdatedAt"":""2025-11-29T16:48:22.152Z"",""image"":""https://storage.googleapis.com/trendocean/products/uploads/identify_1764433998651_0_0070273fcd727e83dbe11a1f4ff2d69d.jpeg"",""firstStoredAt"":""2025-11-29T16:48:22.152Z"",""quantity"":25},{""image"":""https://storage.googleapis.com/prodsandjobs/products/2121005642022/studio_detail_a3abaa9803514d4facc9f904b0e1a853.png"",""name"":""McDavid Kniebandage 421 für Sport & Reha – Gezielte Unterstützung Gr. S"",""productId"":""SKU-2417212434"",""sku"":""SKU-2417212434"",""firstStoredAt"":""2025-12-18T15:46:10.997Z"",""lastUpdatedAt"":""2025-12-18T15:46:15.817Z"",""quantity"":2},{""sku"":""SKU-1153910217"",""productId"":""SKU-1153910217"",""firstStoredAt"":""2025-12-18T15:46:39.163Z"",""name"":""Shure SM58-LCE Dynamisches Gesangsmikrofon - Kristallklarer Live-Sound"",""lastUpdatedAt"":""2025-12-18T15:46:39.163Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765994248895_0_953603d3ee4a0b687a51495ce3d57b67.jpeg"",""quantity"":1},{""lastUpdatedAt"":""2025-12-18T16:04:33.873Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984160239_0_46e462093255878174146387833f4522.jpeg"",""productId"":""SKU-0152828115"",""firstStoredAt"":""2025-12-18T16:04:33.873Z"",""quantity"":1,""sku"":""SKU-0152828115"",""name"":""STALESET Handtuchhalter für Wandmontage - Robust & Platzsparend""},{""quantity"":1,""lastUpdatedAt"":""2025-12-18T16:04:51.110Z"",""name"":""LOBERON Schafschere für präzise Tier- & Gartenpflege aus Stahl"",""firstStoredAt"":""2025-12-18T16:04:51.110Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984153651_0_8491797d0ba650a55af58f5c7e096e56.jpeg"",""productId"":""SKU-5037405516"",""sku"":""SKU-5037405516""},{""productId"":""SKU-5780092798"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984161811_0_042e877114ffebb0db3a66eab95697c2.jpeg"",""lastUpdatedAt"":""2025-12-18T16:06:53.371Z"",""firstStoredAt"":""2025-12-18T16:06:53.371Z"",""sku"":""SKU-5780092798"",""quantity"":1,""name"":""SW-Stahl Ring-Maulschlüssel 38mm – Präzision für Profis""},{""lastUpdatedAt"":""2025-12-18T16:07:17.852Z"",""sku"":""SKU-1825816304"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984164441_0_6639f1df6eb982713dc63e47ac312539.jpeg"",""productId"":""SKU-1825816304"",""firstStoredAt"":""2025-12-18T16:07:17.852Z"",""quantity"":1,""name"":""ZWILLING Universalmesser TWIN CHEF – Langlebige Schärfe für präzises Schneiden""}]",
XGA0102D,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",D,1,GA,X,2,"{""_seconds"":1764433668,""_nanoseconds"":814000000}","{""_seconds"":1766598507,""_nanoseconds"":870000000}",9,"[{""name"":""FIREFIX Ofenrohr 180 mm mit hitzebeständiger Senotherm-Beschichtung"",""productId"":""4017537302565"",""firstStoredAt"":""2025-11-29T16:27:48.814Z"",""image"":""https://storage.googleapis.com/trendocean/products/uploads/identify_1764431471778_0_32c9ba353c568794043a3942e76bf803.jpeg"",""quantity"":1,""lastUpdatedAt"":""2025-11-29T16:27:48.814Z"",""sku"":""SKU-6830410442""},{""name"":""HLI Schubladenschienen Vollauszug für maximalen Zugriff & Komfort"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1765984163613_0_84df10f889e6a5ab1ce85a9cad0aff79.jpeg"",""lastUpdatedAt"":""2025-12-18T16:08:17.117Z"",""sku"":""SKU-2123165909"",""quantity"":6,""productId"":""SKU-2123165909"",""firstStoredAt"":""2025-12-18T16:08:17.117Z""},{""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766508779569_0_dc89c8b3985f7a4a4ae404e74d3f06ff.jpeg"",""firstStoredAt"":""2025-12-24T14:45:29.228Z"",""sku"":""SKU-7139254013"",""lastUpdatedAt"":""2025-12-24T14:45:29.228Z"",""quantity"":1,""name"":""DONBOLSO Slim Wallet Rome Herren Echtleder schlank mit Münzfach"",""productId"":""4260526472194""},{""quantity"":1,""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1766597717927_0_fa098d65f50e8f5cc6e5ccd328bb47db.jpeg"",""sku"":""SKU-9688561402"",""lastUpdatedAt"":""2025-12-24T17:48:27.870Z"",""firstStoredAt"":""2025-12-24T17:48:27.870Z"",""name"":""Oventrop Schrägsitzventil DN50 Totraumfrei für höchste Hygiene"",""productId"":""578c3341-658b-46d1-b419-b4ce60b534a5""}]",
XGA0102E,"{""_seconds"":1763310983,""_nanoseconds"":604000000}",E,1,GA,X,2,"{""_seconds"":1764946091,""_nanoseconds"":186000000}","{""_seconds"":1766332751,""_nanoseconds"":109000000}",1,"[{""quantity"":1,""name"":""KITCHEN SINK Einbauspüle für Küche, 1-Becken Küchenspüle, neu & originalverpackt, Made in China"",""productId"":""913258-06-CJW0603"",""firstStoredAt"":""2025-12-05T14:48:11.186Z"",""image"":""https://storage.googleapis.com/prodsandjobs/products/serpapi-free/v2_1764937611141_0_1aa6d39f697e96c7153bfb8444bca71f.jpeg"",""lastUpdatedAt"":""2025-12-05T14:48:11.186Z"",""sku"":""SKU-7270723982""}]",
