category_id,breadcrumb,ebay_category_id
6551055,Auto & Motorrad: Teile,131090
6551090,Auto & Motorrad: Teile > Anleitungen & Handbücher,36085
6551509,Auto & Motorrad: Teile > Anleitungen & Handbücher > Bedienungsanleitungen,183718
6551510,Auto & Motorrad: Teile > Anleitungen & Handbücher > Berichte & Zeitschriften,86218
6551511,Auto & Motorrad: Teile > Anleitungen & Handbücher > Ersatzteile Kataloge,183719
6551512,Auto & Motorrad: Teile > Anleitungen & Handbücher > Pressemappen & CDs,148863
6551513,Auto & Motorrad: Teile > Anleitungen & Handbücher > Prospekte,183720
6551514,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Reparaturanleitungen,183721
6551515,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Scheckhefte,183722
6551516,Auto & Motorrad: Teile > Anleitungen & Handbücher > Sonstige,34210
6551517,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile,
6556129,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile > Sonstige,
6551092,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile,82099
6551518,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,179448
6556130,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Bürste & Ansätze,179459
6556131,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,179452
6556132,"Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Handschuhe, Mützen & Schwämme",179454
6556133,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Innenreinigung & -pflege,179453
6556134,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lackschutzfolien,99044
6556135,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,108782
6556136,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Poliermaschine,179455
6556137,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Polituren & Wachse,179460
6556138,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Rakel,179456
6556139,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reifen- & Räderreinigung,179461
6556140,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reiningungssets,179458
6556141,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Retuschestifte & Spray,180134
6556142,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Scheibenpflege & Regenabweiser,179451
6556143,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Seife,179450
6556144,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Sonstige,179462
6556145,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Staubsauger,179457
6556146,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Teer- & Insektenentferner,179449
6551519,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Schneeschaufel,180154
6551520,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Sonstige,180149
6551521,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Tragbare Batterieladegeräte,173703
6551093,Auto & Motorrad: Teile > Auto-Motorsport,73663
6551522,Auto & Motorrad: Teile > Auto-Motorsport > Mitfahrten,73726
6551523,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung,73672
6556147,"Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Antrieb, Motor & Getriebe",73673
6556148,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Auspuffanlagen,73674
6556149,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile,73675
6561858,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Domstreben,73676
6561859,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Federn,73677
6561860,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Komplettfahrwerke,73678
6561861,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Sonstige,73680
6561862,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Stoßdämpfer,73679
6556150,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung,73681
