category_id,breadcrumb,ebay_category_id
6551055,Auto & Motorrad: Teile,131090
6551056,Baby,2984
6551057,Bastel- & Künstlerbedarf,14339
6551058,Beauty & Gesundheit,26395
6551061,Büro & Schreibwaren,9815
6551062,Business & Industrie,12576
6551064,Computer,42794
6551065,Feinschmecker,14308
6551066,Filme & Serien,11232
6551067,Foto & Camcorder,625
6551068,Garten & Terrasse,159912
6551069,Handys & Kommunikation,15032
6551071,Haustierbedarf,1281
6551072,Heimwerker,3187
6551074,Möbel & Wohnen,11700
6551080,Reisen,3252
6551086,TV,34609
