category_id,breadcrumb,kaufland_category_id,match_method,match_key
6551055,Auto & Motorrad: Teile,,,
6551090,Auto & Motorrad: Teile > Anleitungen & Handbücher,,,
6551509,Auto & Motorrad: Teile > Anleitungen & Handbücher > Bedienungsanleitungen,,,
6551510,Auto & Motorrad: Teile > Anleitungen & Handbücher > Berichte & Zeitschriften,,,
6551511,Auto & Motorrad: Teile > Anleitungen & Handbücher > Ersatzteile Kataloge,,,
6551512,Auto & Motorrad: Teile > Anleitungen & Handbücher > Pressemappen & CDs,,,
6551513,Auto & Motorrad: Teile > Anleitungen & Handbücher > Prospekte,,,
6551514,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Reparaturanleitungen,,,
6551515,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Scheckhefte,,,
6551516,Auto & Motorrad: Teile > Anleitungen & Handbücher > Sonstige,,,
6551517,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile,,,
6556129,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile > Sonstige,,,
6551092,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile,,,
6551518,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,,,
6556130,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Bürste & Ansätze,,,
6556131,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,,,
6556132,"Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Handschuhe, Mützen & Schwämme",,,
6556133,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Innenreinigung & -pflege,,,
6556134,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lackschutzfolien,19081,suffix_1,Lackschutzfolien
6556135,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,37201,suffix_1,Lufterfrischer
6556136,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Poliermaschine,,,
6556137,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Polituren & Wachse,,,
6556138,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Rakel,,,
6556139,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reifen- & Räderreinigung,,,
6556140,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reiningungssets,,,
6556141,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Retuschestifte & Spray,,,
6556142,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Scheibenpflege & Regenabweiser,,,
6556143,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Seife,,,
6556144,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Sonstige,,,
6556145,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Staubsauger,,,
6556146,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Teer- & Insektenentferner,,,
6551519,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Schneeschaufel,,,
6551520,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Sonstige,,,
6551521,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Tragbare Batterieladegeräte,,,
6551093,Auto & Motorrad: Teile > Auto-Motorsport,,,
6551522,Auto & Motorrad: Teile > Auto-Motorsport > Mitfahrten,,,
6551523,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung,,,
6556147,"Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Antrieb, Motor & Getriebe",,,
6556148,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Auspuffanlagen,16861,suffix_1,Auspuffanlagen
6556149,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile,,,
6561858,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Domstreben,18281,suffix_1,Domstreben
6561859,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Federn,41271,suffix_1,Federn
6561860,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Komplettfahrwerke,,,
6561861,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Sonstige,,,
6561862,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Stoßdämpfer,,,
6556150,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung,,,
6561863,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Feuerlöscher,29941,suffix_1,Feuerlöscher
6561864,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Gurte,,,
6561865,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Instrumente & Schalter,,,
6561866,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Lenkräder,18031,suffix_1,Lenkräder
6561867,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Sitze,,,
6561868,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Sonstige,,,
6561869,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Überrollsysteme,,,
6556151,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Karosserieteile,16911,suffix_1,Karosserieteile
6556152,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen,16361,suffix_1,Reifen & Felgen
6561870,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Felgen,16531,suffix_2,Reifen & Felgen > Felgen
6561871,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Kompletträder,16551,suffix_2,Reifen & Felgen > Kompletträder
6561872,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Reifen,,,
6556153,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Sonstige,,,
6551524,Auto & Motorrad: Teile > Auto-Motorsport > Sonstige,,,
6551094,Auto & Motorrad: Teile > Auto-Tuning & -Styling,,,
6551525,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik,,,
6556154,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Anlasser verstärkt,,,
6556155,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterie-/Trennschalter,,,
6556156,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterien,,,
