category_id,breadcrumb,kaufland_category_id,match_method,match_key
6556134,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lackschutzfolien,19081,suffix_1,Lackschutzfolien
6556135,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,37201,suffix_1,Lufterfrischer
6556148,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Auspuffanlagen,16861,suffix_1,Auspuffanlagen
6561858,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Domstreben,18281,suffix_1,Domstreben
6561859,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Federn,41271,suffix_1,Federn
6561863,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Feuerlöscher,29941,suffix_1,Feuerlöscher
6561866,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Lenkräder,18031,suffix_1,Lenkräder
6556151,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Karosserieteile,16911,suffix_1,Karosserieteile
6556152,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen,16361,suffix_1,Reifen & Felgen
6561870,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Felgen,16531,suffix_2,Reifen & Felgen > Felgen
6561871,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Kompletträder,16551,suffix_2,Reifen & Felgen > Kompletträder
6556159,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Lichtmaschinen,18601,suffix_1,Lichtmaschinen
6556166,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Drehzahlbegrenzer,18531,suffix_1,Drehzahlbegrenzer
6556184,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Steuergeräte,18671,suffix_1,Steuergeräte
6556190,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Zahnriemen,17131,suffix_1,Zahnriemen
6556192,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Gokart Teile > Auspuffanlagen,16861,suffix_1,Auspuffanlagen
6556228,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Armlehnen,19851,suffix_1,Armlehnen
6556239,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Hupen,18541,suffix_1,Hupen
6556241,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Lenkradbezüge,19901,suffix_1,Lenkradbezüge
6556253,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Innenausstattung > Zigarettenanzünder,59521,suffix_1,Zigarettenanzünder
6556268,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Motorhauben,18261,suffix_1,Motorhauben
6556269,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Radläufe,66971,suffix_1,Radläufe
6556271,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Seitenschweller,18231,suffix_1,Seitenschweller
6556276,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Stoßstangen,66911,suffix_1,Stoßstangen
6556277,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tankdeckel,61881,suffix_1,Tankdeckel
6556278,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Tönungsfolien,17521,suffix_1,Tönungsfolien
6556279,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Türen,43461,suffix_1,Türen
6556281,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Karosserie & Exterieur Styling > Wind- & Regenabweiser,18361,suffix_1,Wind- & Regenabweiser
6556285,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Drosselklappen,17341,suffix_1,Drosselklappen
6556287,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstofffilter,17171,suffix_1,Kraftstofffilter
6556288,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kraftstoffversorgung > Kraftstoffpumpen,17391,suffix_1,Kraftstoffpumpen
6556300,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Ölkühler,17241,suffix_1,Ölkühler
6556306,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Kühlung > Wasserkühler,17261,suffix_1,Wasserkühler
6556311,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Blinker,18841,suffix_1,Blinker
6556314,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Frontscheinwerfer,18861,suffix_1,Frontscheinwerfer
6556317,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Kennzeichenleuchten,18871,suffix_1,Kennzeichenleuchten
6556320,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Lichter & Leuchten > Rück- & Bremsleuchten,18901,suffix_1,Rück- & Bremsleuchten
6556330,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Kompressoren,31131,suffix_1,Kompressoren
6556344,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Luftversorgung > Turbolader,17111,suffix_1,Turbolader
6556345,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Abgaskrümmer,17561,suffix_1,Abgaskrümmer
6556349,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Katalysatoren,17601,suffix_1,Katalysatoren
6556356,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Auspuffe > Zwischenrohre,17571,suffix_1,Zwischenrohre
6556360,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Bremsenteile > Hauptbremszylinder,17841,suffix_1,Hauptbremszylinder
6556372,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kugellager,68932,suffix_1,Kugellager
6556373,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kupplungsscheiben,17301,suffix_1,Kupplungsscheiben
6556375,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Kupplungszylinder,17321,suffix_1,Kupplungszylinder
6556383,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domstreben,18281,suffix_1,Domstreben
6556397,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Zünd- & Glühanlagen > Glühkerzen,69473,suffix_1,Glühkerzen
6556399,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Zünd- & Glühanlagen > Zündkabel,18731,suffix_1,Zündkabel
6556400,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Zünd- & Glühanlagen > Zündkerzen,18741,suffix_1,Zündkerzen
6556401,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Zünd- & Glühanlagen > Zündschlösser,18761,suffix_1,Zündschlösser
6556402,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Zünd- & Glühanlagen > Zündspulen,18771,suffix_1,Zündspulen
6556407,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",16641,suffix_1,Autoradios
6556413,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Frequenzweichen",16741,suffix_1,Frequenzweichen
6556419,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Subwoofer",35391,suffix_1,Subwoofer
6556428,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Dashcams, Alarmanlagen & Sicherheitstechnik > Alarmanlagen",29911,suffix_1,Alarmanlagen
6556430,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Dashcams, Alarmanlagen & Sicherheitstechnik > Dashcams",69264,suffix_1,Dashcams
6556442,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Elektronikzubehör > Einbaurahmen & Radioblenden",16721,suffix_1,Einbaurahmen & Radioblenden
6556445,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Elektronikzubehör > Kondensatoren",43191,suffix_1,Kondensatoren
6556446,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Elektronikzubehör > Kopfhörer",35571,suffix_1,Kopfhörer
6556450,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Elektronikzubehör > Spannungswandler",63381,suffix_1,Spannungswandler
6556453,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > GPS & Navigationsgeräte > Einbau-Navigationsgeräte",16801,suffix_1,Einbau-Navigationsgeräte
6561878,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > GPS & Navigationsgeräte > GPS- & Navigationszubehör > Konsolen & Halterungen",16791,suffix_1,Konsolen & Halterungen
