category_id,breadcrumb,reason
6551055,Auto & Motorrad: Teile,no_match
6551090,Auto & Motorrad: Teile > Anleitungen & Handbücher,no_match
6551509,Auto & Motorrad: Teile > Anleitungen & Handbücher > Bedienungsanleitungen,no_match
6551510,Auto & Motorrad: Teile > Anleitungen & Handbücher > Berichte & Zeitschriften,no_match
6551511,Auto & Motorrad: Teile > Anleitungen & Handbücher > Ersatzteile Kataloge,no_match
6551512,Auto & Motorrad: Teile > Anleitungen & Handbücher > Pressemappen & CDs,no_match
6551513,Auto & Motorrad: Teile > Anleitungen & Handbücher > Prospekte,no_match
6551514,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Reparaturanleitungen,no_match
6551515,Auto & Motorrad: Teile > Anleitungen & Handbücher > Service & Scheckhefte,no_match
6551516,Auto & Motorrad: Teile > Anleitungen & Handbücher > Sonstige,no_match
6551517,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile,no_match
6556129,Auto & Motorrad: Teile > Anleitungen & Handbücher > US-Car-Teile > Sonstige,no_match
6551092,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile,no_match
6551518,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,no_match
6556130,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Bürste & Ansätze,no_match
6556131,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,no_match
6556132,"Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Handschuhe, Mützen & Schwämme",no_match
6556133,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Innenreinigung & -pflege,no_match
6556136,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Poliermaschine,no_match
6556137,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Polituren & Wachse,no_match
6556138,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Rakel,no_match
6556139,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reifen- & Räderreinigung,no_match
6556140,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Reiningungssets,no_match
6556141,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Retuschestifte & Spray,no_match
6556142,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Scheibenpflege & Regenabweiser,no_match
6556143,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Seife,no_match
6556144,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Sonstige,no_match
6556145,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Staubsauger,ambiguous
6556146,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Teer- & Insektenentferner,no_match
6551519,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Schneeschaufel,no_match
6551520,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Sonstige,no_match
6551521,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Tragbare Batterieladegeräte,no_match
6551093,Auto & Motorrad: Teile > Auto-Motorsport,no_match
6551522,Auto & Motorrad: Teile > Auto-Motorsport > Mitfahrten,no_match
6551523,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung,no_match
6556147,"Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Antrieb, Motor & Getriebe",no_match
6556149,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile,no_match
6561860,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Komplettfahrwerke,no_match
6561861,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Sonstige,no_match
6561862,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Fahrwerksteile > Stoßdämpfer,no_match
6556150,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung,no_match
6561864,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Gurte,no_match
6561865,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Instrumente & Schalter,no_match
6561867,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Sitze,no_match
6561868,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Sonstige,no_match
6561869,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Innenausstattung > Überrollsysteme,no_match
6561872,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Reifen & Felgen > Reifen,no_match
6556153,Auto & Motorrad: Teile > Auto-Motorsport > MS-Teile ohne Straßenzulassung > Sonstige,no_match
6551524,Auto & Motorrad: Teile > Auto-Motorsport > Sonstige,no_match
6551094,Auto & Motorrad: Teile > Auto-Tuning & -Styling,no_match
6551525,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik,no_match
6556154,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Anlasser verstärkt,no_match
6556155,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterie-/Trennschalter,no_match
6556156,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Batterien,no_match
6556158,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Kabel & Drähte,no_match
6556160,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Schalter & Relais,no_match
6556162,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sicherungen,no_match
6556164,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Sonstige,no_match
6556165,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Autoelektrik > Terminals & Anschlüsse,no_match
6551526,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning,no_match
6556167,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Haubenlift,no_match
6556168,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Kabel-Sets,no_match
6556169,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Motorhalter verstärkt,no_match
6556170,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Nockenwellenräder & Teile,no_match
6556171,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öl-Auffangbehälter,no_match
6556172,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Öldeckel,no_match
6556173,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Ölpumpe,no_match
6556174,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Chiptuning & Motortuning > Radlager verstärkt,no_match
