category_id;breadcrumb
6406743;Auto & Motorrad
6488175;Auto & Motorrad > Abdeckplanen
6488178;Auto & Motorrad > Auto-Anbau- & -Zubehörteile
6488179;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung
6488230;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste
6488231;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer
6488232;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen
6488233;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör
6488234;Auto & Motorrad > Auto-Ersatz- & -Reparaturteile
6488235;Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur
6488236;Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel
6488237;Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung
6488238;Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel
6488239;Auto & Motorrad > Auto-Tuning & -Styling
6488240;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe
6488241;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen
6488242;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung
6488243;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager
6488244;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik
6488245;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment
6488246;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player
6488247;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios
6488180;Auto & Motorrad > Autoteile & Zubehör
6488248;Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme
6488249;Auto & Motorrad > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren
6488250;Auto & Motorrad > Autoteile & Zubehör > Autoelektrik
6488251;Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Anlasser
6488252;Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Batterien
6488253;Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile
