marketplace;excel_row;baselinker_breadcrumb;matched_id;matched_breadcrumb;score
hood;32;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten;7390;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones, günstig kaufen bei Hood.de > Schmuck & Sticker;0.247
hood;33;Auto & Motorrad > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Primärzahnriemen & -ketten;26312;Zubehör für Töpfe & Pfannen kaufen bei Hood.de > Spritzschutz & Deckel;0.253
hood;102;Heimwerker > Heizen, Klima & Sanitär > Heizungs-, Klima- & Sanitärprüfgeräte > Rohrinstallations-Sets;8990;Damen Slips & Strings, günstig kaufen bei Hood.de > Sonstige;0.259
hood;20;Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel;12059;badezimmer > Badaccessoires > Seifenspender & Seifenschalen;0.263
hood;21;Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren;7388;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones, günstig kaufen bei Hood.de > Halterungen & Ständer;0.263
hood;92;Haushaltsgeräte > Klimaanlagen & Heizgeräte > Ventilatoren & Luftbehandlung > Stand- & Tischventilatoren;8025;Elektronik > Elektronik für Bauen und Garten: Akkus & Batterien bei Hood.de > Steckdosen;0.264
hood;6;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager;2477;Socken & Strümpfe für Baby & Kleinkind bei Hood.de > Sport- & Badekleidung;0.266
hood;58;Beauty & Gesundheit > Pflege- & Medizinischer Bedarf > Kälte- & Wärmetherapie > Infrarot- & Wärmegeräte;11114;Leinwände & Keilrahmen für den Künstlerbedarf, günstig kaufen bei Hood.de > Stifte & Kreiden;0.266
hood;17;Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile;7388;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones, günstig kaufen bei Hood.de > Halterungen & Ständer;0.272
hood;52;Beauty & Gesundheit > Enthaarung & Rasur > Rasierer & Rasierklingen > Herren Rasierklingen;29193;Dekorative Haken & Garderoben, günstig kaufen bei Hood.de > Dekoration > Raumteiler & Paravents;0.272
hood;214;Sport > Wintersport > Skifahren, Snowboarden & Schneeschuhwandern > Schuhe & Boots > Kinderschuhe & -boots;12116;Duftkerzen, günstig kaufen bei Hood.de > Schmuck- & Motivkerzen;0.273
hood;89;Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen;8179;Messgeräte für Ihr Bauprojekt bei Hood.de > Wasserwaagen;0.273
hood;3;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste;7271;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones, günstig kaufen bei Hood.de;0.273
hood;37;Auto & Motorrad > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme;21930;Computer online kaufen im Computer-Shop bei Hood.de > Notebook-Zubehör > CPUs & Lüfter;0.274
hood;56;Beauty & Gesundheit > Hilfsmittel > Alltagshilfen > Inkontinenzhilfen;7977;Baustoffe & Bauelemente bei Hood.de > Sonnenschutz & Insektenschutz;0.275
hood;5;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen;15147;Alles rund um Camping & Outdoor online kaufen bei Hood.de > Trekking-Kleidung;0.277
hood;15;Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen;21931;Computer online kaufen im Computer-Shop bei Hood.de > Notebook-Zubehör > Abdeckungen;0.278
hood;36;Auto & Motorrad > Öl, Pflege- & Schmiermittel > Motoröl;6687;foto-camcorder > Foto- & Kamerazubehör;0.279
hood;39;Auto & Motorrad > Werkzeuge > Reparatur-Sets & Teile > Reifenreparatur;29193;Dekorative Haken & Garderoben, günstig kaufen bei Hood.de > Dekoration > Raumteiler & Paravents;0.279
hood;108;Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör > Bohrer-Bits;6687;foto-camcorder > Foto- & Kamerazubehör;0.281
hood;38;Auto & Motorrad > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Stützen & Keile;15117;Alles rund um Camping & Outdoor online kaufen bei Hood.de > Hängematten;0.283
hood;145;Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe;7954;Baustoffe & Bauelemente bei Hood.de > Reiniger;0.283
hood;156;Möbel & Wohnen > Kochen & Genießen > Wasseraufbereitung & Trinkwassersprudler > Trinkwassersprudler;4926;Druckerpatronen online kaufen bei Hood.de > Papier > Folien- & Transferprodukte;0.283
hood;169;Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Deck-Boxen, Blechdosen & Kartentrenner;12010;Modellbau > Alles für den RC-Modellbau, kaufen bei Hood.de > Zubehör & Literatur;0.283
hood;81;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Servierwagen;4967;Druckerpatronen online kaufen bei Hood.de > Sonstiges Zubehör & Teile;0.284
hood;23;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe;1669;KFZ Verschleißteile: Dichtungen bei Hood.de > Scheibenwischer;0.284
hood;94;Haushaltsgeräte > Waschmaschinen & Trockner > Waschmaschinen- & Trocknerteile;29188;Alles rund um Lampen & Licht, günstig kaufen bei Hood.de > Nachttischlampen & Nachtlichter;0.285
