id,sku,name,brand,ean,inventory_quantity,storage_bin,storage_qty,storageBins_json,pending_intake
0060cdec-9193-411b-af64-4754ca0226bd,SKU-1844691476,"Thule Rucksack Darkest Blue – Robust, vielseitig & nachhaltig für Alltag",Thule,085854258548,1,XGA0201B,1,"[{""ebene"":""B"",""etage"":""GA"",""code"":""XGA0201B"",""regal"":1,""firstStoredAt"":""2025-12-21T16:15:54.883Z"",""zone"":""X"",""lastUpdatedAt"":""2025-12-21T16:15:54.883Z"",""quantity"":1,""gang"":2}]",0
0196214105119,SKU-4310621602,Pokémon Sammelordner-Kollektion: Optimaler Schutz & 5 Boosterpacks,Pokémon,0196214105119,1,XGA0201B,1,"[{""gang"":2,""firstStoredAt"":""2025-12-24T14:49:06.661Z"",""ebene"":""B"",""etage"":""GA"",""lastUpdatedAt"":""2025-12-24T14:49:06.661Z"",""regal"":1,""quantity"":1,""zone"":""X"",""code"":""XGA0201B""}]",0
03142017000003,SKU-9947386415,Weber Smokey Mountain Cooker 37cm Räucherofen für unvergleichlichen Rauchgenuss,Weber,77924021268,1,XGA0203E,1,"[{""lastUpdatedAt"":""2025-12-24T14:46:54.208Z"",""etage"":""GA"",""code"":""XGA0203E"",""ebene"":""E"",""quantity"":1,""firstStoredAt"":""2025-12-24T14:46:54.208Z"",""gang"":2,""regal"":3,""zone"":""X""}]",0
04052938000016,SKU-4641833225,Pierburg Luftmassenmesser – Optimiert Motorleistung & Kraftstoffeffizienz,Pierburg,04052938000016,1,XGA0106B,1,"[{""ebene"":""B"",""regal"":6,""firstStoredAt"":""2025-12-24T14:58:12.810Z"",""lastUpdatedAt"":""2025-12-24T14:58:12.810Z"",""code"":""XGA0106B"",""quantity"":1,""etage"":""GA"",""zone"":""X"",""gang"":1}]",0
0700153955478,SKU-2014012963,3rd Avenue Akustikgitarre Sunburst – Premium Set für Anfänger & Einsteiger,3rd Avenue,0700153955478,1,XGA0201A,1,"[{""zone"":""X"",""gang"":2,""code"":""XGA0201A"",""ebene"":""A"",""quantity"":1,""etage"":""GA"",""regal"":1,""lastUpdatedAt"":""2025-12-24T14:47:45.626Z"",""firstStoredAt"":""2025-12-24T14:47:45.626Z""}]",0
0810123671069,SKU-1890172110,"Levoit Luftbefeuchter Classic 160: Gesundes Raumklima, leise, Top-Fill",Levoit,0810123671069,1,XGA0301C,1,"[{""firstStoredAt"":""2025-12-21T16:22:56.615Z"",""etage"":""GA"",""zone"":""X"",""code"":""XGA0301C"",""gang"":3,""quantity"":1,""ebene"":""C"",""lastUpdatedAt"":""2025-12-21T16:22:56.615Z"",""regal"":1}]",0
09be7756-7b4f-4dda-bda0-799754052fff,SKU-3671103995,SACHS Federbeinlager Domlager: Optimale Fahrstabilität und Komfort,SACHS,4059923008019,1,XGA0106B,1,"[{""ebene"":""B"",""lastUpdatedAt"":""2025-12-24T14:58:50.514Z"",""quantity"":1,""firstStoredAt"":""2025-12-24T14:58:50.514Z"",""code"":""XGA0106B"",""etage"":""GA"",""regal"":6,""zone"":""X"",""gang"":1}]",0
14006633314036,SKU-7591395419,ATE Bremsscheibe 314x25mm – Maximale Bremskraft & Sicherheit für Audi,ATE,4006633314036,2,XGA0106C,2,"[{""lastUpdatedAt"":""2025-12-24T14:56:46.157Z"",""gang"":1,""quantity"":2,""firstStoredAt"":""2025-12-24T14:56:46.157Z"",""code"":""XGA0106C"",""regal"":6,""etage"":""GA"",""ebene"":""C"",""zone"":""X""}]",0
1472920275814,SKU-7995751556,IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,IKEA,5905741720765,2,XGA0301C,2,"[{""ebene"":""C"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T14:51:34.765Z"",""firstStoredAt"":""2025-12-24T14:51:34.765Z"",""quantity"":2,""code"":""XGA0301C"",""etage"":""GA"",""regal"":1,""gang"":3}]",0
1900201900525,SKU-4873494474,TRW Bremsscheibe für Honda Accord – Optimale Bremsleistung & Sicherheit,TRW,322937952748,1,XGA0106C,1,"[{""ebene"":""C"",""etage"":""GA"",""zone"":""X"",""gang"":1,""regal"":6,""lastUpdatedAt"":""2025-12-24T14:55:35.062Z"",""firstStoredAt"":""2025-12-24T14:55:35.062Z"",""code"":""XGA0106C"",""quantity"":1}]",0
1e369bf5-e5e6-460c-b595-8a08a2bbaf2d,SKU-7736193220,RDINSCOS TC-100 Schichtdickenmessgerät für präzise Lackmessung & Beschichtung,RDINSCOS,075523001671,1,XGA0304B,1,"[{""regal"":4,""ebene"":""B"",""zone"":""X"",""gang"":3,""quantity"":1,""firstStoredAt"":""2025-12-24T14:52:55.492Z"",""lastUpdatedAt"":""2025-12-24T14:52:55.492Z"",""etage"":""GA"",""code"":""XGA0304B""}]",0
20221212000014,SKU-3806532980,SHARGE Powerbank Flow Mini 5000mAh – Kompakt mit integriertem USB-C Kabel,SHARGE,7649994068165,0,,,[],0
2074133001002,SKU-0922374624,"Magic: The Gathering Commander Deck – Sofort spielbar, epische Zombie-Horden",Magic: The Gathering,195166279855,1,XGA0202D,1,"[{""firstStoredAt"":""2025-12-21T16:19:04.529Z"",""lastUpdatedAt"":""2025-12-21T16:19:04.529Z"",""ebene"":""D"",""regal"":2,""quantity"":1,""code"":""XGA0202D"",""etage"":""GA"",""zone"":""X"",""gang"":2}]",0
2810449728013,SKU-3982672342,"Android Autoradio 6S9701P mit HD Touchscreen, GPS-Navigation, Bluetooth und DSP/RDS Sound",Unbekannt,2810449728013,1,XGA0106C,1,"[{""regal"":6,""gang"":1,""zone"":""X"",""ebene"":""C"",""quantity"":1,""etage"":""GA"",""code"":""XGA0106C"",""lastUpdatedAt"":""2025-12-24T15:41:11.353Z"",""firstStoredAt"":""2025-12-24T15:41:11.353Z""}]",0
3165143111321,SKU-6206509150,Bosch Zusatzwasserpumpe: Optimaler Motorschutz & lange Lebensdauer,Bosch,3165143111321,1,XGA0106B,1,"[{""ebene"":""B"",""gang"":1,""etage"":""GA"",""lastUpdatedAt"":""2025-12-24T14:58:56.040Z"",""quantity"":1,""code"":""XGA0106B"",""firstStoredAt"":""2025-12-24T14:58:56.040Z"",""regal"":6,""zone"":""X""}]",0
3322937241712,SKU-5868736484,TRW Bremsbeläge GDB1330: Erstausrüsterqualität für maximale Sicherheit,TRW,3322937241712,1,XGA0106B,1,"[{""etage"":""GA"",""lastUpdatedAt"":""2025-12-24T14:59:11.122Z"",""ebene"":""B"",""gang"":1,""code"":""XGA0106B"",""quantity"":1,""regal"":6,""firstStoredAt"":""2025-12-24T14:59:11.122Z"",""zone"":""X""}]",0
3662775243128,SKU-5896801162,KYOTO Motorradbatterie GTX5L-BS: Sofort startklar & absolut wartungsfrei,KYOTO,3662775243128,1,XGA0106B,1,"[{""regal"":6,""code"":""XGA0106B"",""zone"":""X"",""etage"":""GA"",""gang"":1,""ebene"":""B"",""lastUpdatedAt"":""2025-12-24T14:59:25.413Z"",""quantity"":1,""firstStoredAt"":""2025-12-24T14:59:25.413Z""}]",0
3770010398363,SKU-6722573428,Umami Bento Lunch Box 1.2L – Auslaufsicher & Mikrowellengeeignet,Umami,3770010398363,1,XGA0201B,1,"[{""code"":""XGA0201B"",""regal"":1,""quantity"":1,""etage"":""GA"",""zone"":""X"",""lastUpdatedAt"":""2025-12-24T14:45:49.493Z"",""gang"":2,""firstStoredAt"":""2025-12-24T14:45:49.493Z"",""ebene"":""B""}]",0
4003318620911,SKU-8850596846,ABUS Faltschloss BORDO 6000K BIG – Hohe Sicherheit & 120cm Flexibilität,ABUS,4003318620911,1,XGA0102B,1,"[{""firstStoredAt"":""2025-12-24T14:44:53.053Z"",""lastUpdatedAt"":""2025-12-24T14:44:53.053Z"",""quantity"":1,""regal"":2,""ebene"":""B"",""code"":""XGA0102B"",""etage"":""GA"",""zone"":""X"",""gang"":1}]",0
4004133669093,SKU-0200958470,APS Glas Trinkflasche 1L – Auslaufsicher & Nachhaltig für puren Genuss,APS,4004133669093,1,XGA0202D,1,"[{""gang"":2,""quantity"":1,""lastUpdatedAt"":""2025-12-21T16:18:39.816Z"",""etage"":""GA"",""zone"":""X"",""code"":""XGA0202D"",""regal"":2,""firstStoredAt"":""2025-12-21T16:18:39.816Z"",""ebene"":""D""}]",0
4006387029807,SKU-5978798764,BRITA Wasserfilter-Kartusche P 1000 für reinen Geschmack & Geräteschutz,BRITA,4006387029807,1,XGA0201C,1,"[{""firstStoredAt"":""2025-12-21T16:18:30.899Z"",""lastUpdatedAt"":""2025-12-21T16:18:30.899Z"",""regal"":1,""gang"":2,""zone"":""X"",""code"":""XGA0201C"",""etage"":""GA"",""quantity"":1,""ebene"":""C""}]",0
4006633310222,SKU-4616386559,ATE Bremsscheiben Set für Audi – Maximale Fahrsicherheit,ATE,4006633310222,1,XGA0106C,1,"[{""quantity"":1,""zone"":""X"",""lastUpdatedAt"":""2025-12-24T14:55:55.148Z"",""gang"":1,""ebene"":""C"",""firstStoredAt"":""2025-12-24T14:55:55.148Z"",""code"":""XGA0106C"",""regal"":6,""etage"":""GA""}]",0
4007123624386,4007123624386,,,,0,,,[],
4009384341071,SKU-2859032659,"MFLAX Außenspiegelflagge Deutschland – Extrem stabil, einfache Montage",MFLAX,4009384341071,24,XGA0204C,24,"[{""lastUpdatedAt"":""2025-12-21T16:26:45.263Z"",""code"":""XGA0204C"",""regal"":4,""firstStoredAt"":""2025-12-21T16:26:45.263Z"",""zone"":""X"",""quantity"":24,""gang"":2,""ebene"":""C"",""etage"":""GA""}]",0
4009384458304,SKU-4401248629,Fries GmbH Deutschland Fan Schal – Zeigen Sie Ihre Unterstützung stilvoll,Fries GmbH,4009384458304,17,XGA0202D,17,"[{""regal"":2,""etage"":""GA"",""firstStoredAt"":""2025-12-21T16:25:08.873Z"",""zone"":""X"",""lastUpdatedAt"":""2025-12-21T16:25:08.873Z"",""gang"":2,""ebene"":""D"",""quantity"":17,""code"":""XGA0202D""}]",0
