Key,Products,Cluster,Types,Sources,TopCategories,SampleValues
identifiers.sku,200,identifiers sku,string:200,identifiers:200,179496:6 33564:5 33612:3 37644:3 174119:3,SKU-7538503265 | SKU-7225351886 | SKU-1844691476 | SKU-9129624671 | SKU-2231367173 | SKU-2250869990 | SKU-4310621602 | SKU-7255766247
Produktart,188,produktart,string:187 null:1,attributes:188,33564:5 179496:5 33612:3 37644:3 177031:3,Ersatz-Sitzkissen | Hundepool | Rucksack | Gepäckträger | Bienengiftsalbe | Fahrradständer | Sammelordner-Kollektion | T-Shirt
Zustand,188,zustand,string:188,attributes:188,179496:6 33564:5 33612:3 37644:3 174119:3,NEU | Neu | Ungeprüft | new | used
Marke,181,marke,string:181,attributes:181,179496:6 33564:3 33612:3 37644:3 177031:3,COM40 Limited sp | COZII | Thule | Bedrop | HENMI | Pokémon | Quooker | Weber
identifiers.ean,169,identifiers ean,string:169,identifiers:169,179496:6 33564:3 33612:3 37644:3 177031:3,4262479341886 | 0085854258548 | 0872299043330 | 0098931289601 | 0751677212219 | 0196214105119 | 0198303486543 | 8424445107988
identifiers.mpn,156,identifiers mpn,string:156,identifiers:156,179496:6 33564:5 33612:3 174119:3 177031:3,C001746 | X001Y0BTE9 | 3205317 | 20201512 | HMF-B03 | 100-10011 | 661581842 | 5023700V02
gpsr.email,155,gpsr email,string:155,gpsr:155,33564:5 179496:5 33612:3 37644:3 174119:3,info@example.com | abercrombie@cs.abercrombie.com | sales@patriotmemory.com | support@fwcsss.com | contact@evatmaster.com | Successservice2@hotmail.com | successservice2@hotmail.com | ccrepservice@hotmail.com
gpsr.manufacturer_address,155,gpsr manufacturer address,string:155,gpsr:155,33564:5 179496:5 33612:3 37644:3 174119:3,"kocka 46, 63-460 Nowe Skalmierzyce, Poland | Borggatan 5, 33573 Hillerstorp, Sweden | Not Provided, EU | ABFICO NETHERLANDS DISTRIBUTION B.V. LAARDERHOOGTWEG 25 1101 EB AMSTERDAM THE NETHERLANDS | P.E. BOROA, PARCELA 2B4-5, 43340-AMOREBIETA (VIZCAYA) | Unit 3, Ryknild Industrial Estate, Derby Road, Burton upon Trent, DE14 1RZ | Patriot Memory, USA Office: 47027 Benicia Street, Fremont, CA 94538; Europe Office: Newtonweg 12, 5928 PN Venlo, The Netherlands | Sodener Straße 9, 65824 Schwalbach, Germany"
gpsr.manufacturer_name,155,gpsr manufacturer name,string:155,gpsr:155,33564:5 179496:5 33612:3 37644:3 174119:3,COM40 Limited sp | Thule | Thule Sweden AB | HENMI | Pokémon | ABFICO NETHERLANDS DISTRIBUTION B.V. | Weber | ALKAR AUTOMOTIVE S.A.U.
gpsr.url,155,gpsr url,string:155,gpsr:155,33564:5 179496:5 33612:3 37644:3 174119:3,www.thule.com | www.patriotmemory.com | relionbattery.com | www.ate.de/original | www.europlast.lv | www.haskyy.com | www.silicon-power.com | https://www.delsey.com
weight,141,weight,number:134 string:7,attributes:141,179496:6 33564:5 33612:3 174119:3 177031:3,1 kg | 3 | 1 | 0.1 | 0.64 | 15.6 | 2.23 | 12
Farbe,132,farbe,string:131 null:1,attributes:132,37644:3 174119:3 177031:3 238:2 261011:2,Blau | Darkest Blue | Schwarz | Mehrfarbig | Silber | Sunburst | Coral / Champagne Gold | Weiß
Kategorie,130,kategorie,string:130,attributes:130,33564:5 179496:5 33612:3 37644:3 174119:3,"Möbel & Wohnen > Möbelzubehör > Sitzkissen | Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets | Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke | Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung | Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Ordner, Sammelmappen & -hüllen | Sport > Angelsport > Zubehör > Räucheröfen & -utensilien | Heimwerker > Werkzeuge > Handwerkzeuge > Messer | Heimwerker > Werkzeuge > Elektrowerkzeuge > Schleifmaschinen"
Material,105,material,string:104 null:1,attributes:105,33612:3 37644:3 177031:3 238:2 33564:2,"Strapazierfähiges Textil | PVC, PP | Kunststoff | 100% Baumwolle | Metall | Hochwertige Verbundwerkstoffe | Hochwertiger Werkzeugstahl | Holzwerkstoff"
Herstellernummer,103,herstellernummer,string:103,attributes:103,33564:5 179496:5 33612:3 37644:2 84237:2,C001746 | HMF-B03 | 60.237.00V02 | 9202922 | 7.22184.39.0 | LUH-A251-WEU | 802 472 019 | 3046
Modell,101,modell,string:99 null:2,attributes:101,179496:3 49782:2 50382:2 54145:2 174119:2,"C22/S02 | Chariot Cargo Rack 2 | Bee Cream | HMF-B03 | CUBE | Smokey Mountain Cooker | Ducato, Jumper, Boxer | TX103"
EAN,57,ean,string:57,attributes:57,179496:4 33612:2 22449:1 29518:1 33579:1,0098931289601 | 8424445107988 | 0615272916159 | 1004200304684 | 1795362000001 | 8029121951734 | 6933783712522 | 2290601009009
Anwendungsbereich,53,anwendungsbereich,string:53,attributes:53,179496:4 3244:2 29523:1 33579:1 33612:1,"Körper | Inkontinenzversorgung | Motorrad 4-Takt | Kfz, Maschinenbau, allgemeine Reparaturen | Wartungsschächte, Hohlräume | Backpacking | Außenbereich | Lackdickenmessung, Beschichtungsdickenmessung, Automobilindustrie"
identifiers.gtin,52,identifiers gtin,string:52,identifiers:52,179496:5 33564:4 33612:3 238:1 15687:1,00872299043330 | 8424445107988 | 04052938000016 | 04260325295246 | 4059923008019 | 1004200304684 | 14006633314036 | 1795362000001
Herstellungsland,48,herstellungsland,string:48,attributes:48,179496:4 33612:3 50382:2 84237:2 179501:2,Taiwan | Deutschland | Polen | EU | Frankreich | Italien | Belgien | Indien
Lieferumfang,44,lieferumfang,string:44,attributes:44,33564:3 33612:3 37644:2 3244:1 33579:1,"1 Sammelordner, 5 Boosterpacks | Räucherofen, Premium Abdeckung | 1x Luftmassenmesser | 16 Schleifpapiere | Gehäuse, Armband (klein und groß), Ladekabel | 1x Federbeinlager | 1x Bremsscheibe | Ansaugsystem, Luftfilter, Befestigungsschellen"
Zielgruppe,40,zielgruppe,string:40,attributes:40,2024:1 11507:1 15687:1 20740:1 23895:1,"Unisex Erwachsene | Sammler, Kinder | Anfänger | Erwachsene | Erwachsene & Kinder | Herren | Gamer | Jugendliche, Erwachsene"
Besonderheiten,39,besonderheiten,string:39,attributes:39,177031:2 3244:1 20622:1 20660:1 20740:1,"Faltbar, Tragbar, Robust | Integrierte Reißverschlusstasche | Verstellbar | Mit Boosterpacks | Mit Deckel, Integriertes Thermometer | Spülmaschinenfeste Teile | Ultraschall, Kaltnebel, Top-Fill, Leise, DualValve Anti-Leak Design | Reisefreundlich, Kompaktes Design"
Größe,38,grosse,string:36 null:2,attributes:38,11507:1 15687:1 20660:1 22670:1 36440:1,120x30cm | L | 37 cm | 24 | S/M | XL | M | S
GPSR Manufacturer name,36,gpsr manufacturer name,string:36,attributes:36,177031:3 238:2 261011:2 2024:1 3199:1,Thule | Pokémon | Weber | Normans (Burton on Trent Ltd) | ATE | IKEA | TRW | RDINSCOS
Höhe,27,hohe,string:26 null:1,attributes:27,33564:2 177031:2 3199:1 33661:1 49782:1,77 cm | 11 cm | 85 mm | 53.1 cm | 52.4 mm | 71 cm | 52.9 | 365 mm
Länge,26,lange,string:24 null:2,attributes:26,23895:1 33612:1 49782:1 50382:1 58100:1,800 mm | 190 mm | 1140 | 615 mm | 250 cm | 120 cm | 125 cm | 160 cm
Stil,26,stil,string:26,attributes:26,15687:1 37644:1 175769:1,Basic | Casual | Vintage | Modern | Glatter BH | Bustier | Pyjamahose | Ouvert-String
Breite,22,breite,string:21 null:1,attributes:22,3199:1 23895:1 49782:1 57357:1 66728:1,77 cm | 300 mm | 460 mm | 34.5 cm | 460 | 87 | 370 mm | 10 cm
Hersteller,22,hersteller,string:22,attributes:22,33564:3 238:2 2024:1 15687:1 20622:1,ATE | Galileo S.p.A. | Wizards of the Coast | ALURAD SHOP GBR | Bosch | Pierre Fabre | BRITA SE | Continental Aftermarket & Services GmbH
K-Typ,22,k typ,string:22,attributes:22,33564:3 179496:3 33612:2 170141:2 33579:1,"23302,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|25455,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19124,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|16077,Motorc | 4218|10319|10321|14020|16094|16095|18141|19991|19992|20676|20677|20678|20791|20792|20793|21553|24313|34970|34971|55231|57486|57487|57497|57498|106326|123021|129105|129107|129108|12 | 9135,Einbauposition Vorderachse|116960,Einbauposition Vorderachse|100972,Einbauposition Vorderachse|6647,Einbauposition Vorderachse|111969,Einbauposition Vorderachse|6649,Einbaupos | 58318,Einbauposition Hinterachse|29480,Einbauposition Hinterachse|34928,Einbauposition Hinterachse|29482,Einbauposition Hinterachse|29483,Einbauposition Hinterachse | 5062|5063|6030|6040|6516|6517|6518|6519|6520|7514|7515|7516|7517|10523|11052|17009|17172|17173|17398|17458|17577|17578|18066|18067|18068|18069|18070|18071|18082|18083|18356|18357|1 | 25|58|370|1360|2002|2003|2031|2038|2039|2040|2041|2042|3252|4613|4614|4615|4616|4617|4618|4619|4620|4621|4622|5071|5081|5125|5171|5289|5290|5305|5306|5307|5308|5310|5311|5313|5314| | 2311|4100|4101|4103|4104|4220|4221|4252|4254|4256|4257|4258|4260|4261|4284|4296|4297|5376|6974|7485|7486|8982|9358|9815|10239|10240|10349|10636|10958|11617|11645|11690|11959|14020| | 1360|1968|1969|1970|1971|5071|5081|6883|8493|8494|8600|8601|8602|8603|8861|9143|9307|11054|11058|11060|11179|11180|11986|11987|11988|11989|11990|11991|11992|11993|11994|11995|11996"
Einsatzbereich,21,einsatzbereich,string:21,attributes:21,179496:3 20660:1 44647:1 54145:1 81464:1,"Möbelzubehör | Outdoor | Innenräume | Wassersport, Schnorcheln, Schwimmen, Tauchen | Außenbereich | Auto, Camping, LKW, Wohnmobil, Haushalt | Camping, Outdoor | Gastronomie, Catering, Vending"
Kompatibilität,21,kompatibilitat,string:21,attributes:21,54145:2 238:1 22670:1 23895:1 29518:1,"Universal (für Stühle & Fahrzeuge) | Thule Doppel-Kinderanhänger | Universal | Alle Maussensoren | Lenkradfernbedienung (SWC) | ROHO Standard und SELECT Sitzkissenmodelle | Wohnwagen, Campingbusse, Autos | BRITA P 1000 Systeme"
Einbauposition,19,einbauposition,string:19,attributes:19,33564:4 33612:3 170141:2 33579:1 33665:1,"Rechts | Vorderachse, Links, Rechts | Motorraum | Vorderachse | Vorne, Hinten | Hinterachse | Hinten | Vorderachse beidseitig (links und rechts)"
