id,sku,message,categoryId,identificationCategory,baselinkerCategoryPath,baselinkerCategory78659,baselinkerProductId
00174600185032,SKU-7538503265,BaseLinker Kategorie fehlt,,,,,489021138
0250237001502,SKU-4846246443,BaseLinker Kategorie fehlt,,,,,499980912
20221705000003,SKU-5134751391,BaseLinker Kategorie fehlt,,,,,489024185
2024010542503,SKU-1164276787,BaseLinker Kategorie fehlt,,,,,492850567
25004695020111,SKU-0704619212,BaseLinker Kategorie fehlt,,,,,487365277
3339082c-5066-4322-a318-4b8732a19d83,SKU-8229761001,BaseLinker Kategorie fehlt,,Sport & Outdoor > Camping & Outdoor,,,492850690
34bb265f-a1ad-4850-a2ec-71bf44c1ad68,SKU-5700317364,BaseLinker Kategorie fehlt,,,,,491621770
3573994006336,SKU-8192040791,BaseLinker Kategorie fehlt,,,,,489021518
36f71981-e45d-478a-a80d-4e665f0e3352,SKU-3867423041,BaseLinker Kategorie fehlt,,,,,499982507
3f1a8ee4-8e40-4f90-af9a-deade528551c,SKU-8897137065,BaseLinker Kategorie fehlt,,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen,,,499982788
4007066810273,SKU-1523043917,BaseLinker Kategorie fehlt,,,,,499983188
4007126365101,SKU-3266280359,BaseLinker Kategorie fehlt,,Haushalt & Küche > Sonstige,,,504395007
4008177077142,SKU-2748406604,BaseLinker Kategorie fehlt,,,,,489023692
4011097314013,SKU-7745371992,BaseLinker Kategorie fehlt,,,,,490679631
4011097314037,SKU-5493501888,BaseLinker Kategorie fehlt,,,,,490679626
4011097775111,SKU-4766228789,BaseLinker Kategorie fehlt,,Heimwerker & Garten > Baumarkt > Badausstattung,,,490679639
4013361212134,SKU-2139913486,BaseLinker Kategorie fehlt,,Spielwaren > Spielzeug für draußen,,,491623179
4036021157276,SKU-4110694191,BaseLinker Kategorie fehlt,,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile,,,489024624
4036021163093,SKU-5320936983,BaseLinker Kategorie fehlt,,,,,489024713
4058213275261,SKU-2816924302,BaseLinker Kategorie fehlt,,Sport & Outdoor > Sportausrüstung > Sportbekleidung,,,518401762
4059625316214,SKU-6046815482,BaseLinker Kategorie fehlt,,,,,491622621
4059625401927,SKU-5940997361,BaseLinker Kategorie fehlt,,,,,490679653
4067522073659,SKU-3831935492,BaseLinker Kategorie fehlt,,,,,491623754
4260281755686,SKU-5207774112,BaseLinker Kategorie fehlt,,,,,489026794
43422328612861,SKU-2424861616,BaseLinker Kategorie fehlt,,,,,499985855
5059556377703,SKU-1000000004,BaseLinker Kategorie fehlt,,Mode & Accessoires > Herren > Herren,,,499986916
5702015867535,SKU-6986483321,BaseLinker Kategorie fehlt,,,,,489182830
8003558071647,SKU-7025517137,BaseLinker Kategorie fehlt,,,,,489688593
8026196116716,SKU-5173627811,BaseLinker Kategorie fehlt,,Baby & Kind > Spielwaren,,,489688851
8719114322466,SKU-4961159565,BaseLinker Kategorie fehlt,,Mode & Accessoires > Kleidung > Unterwäsche & Dessous,,,489184355
8b18f8c1-5ced-4f9d-989d-35fb729415fe,SKU-3055174422,BaseLinker Kategorie fehlt,,,,,489184647
8c326f7a-d1df-447c-ab0c-c39d136ac565,SKU-0780623565,BaseLinker Kategorie fehlt,,,,,492851206
SKU-0000524938,SKU-0000524938,ERROR_PRODUCT_ID: No product with ID 462089163,3676,"Computer, Tablets & Netzwerk > Tastaturen, Mäuse & Pointing","Computer, Tablets & Netzwerk > Tastaturen, Mäuse & Pointing","Computer, Tablets & Netzwerk > Tastaturen, Mäuse & Pointing",462089163
SKU-2135446963,SKU-2135446963,ERROR_PRODUCT_ID: No product with ID 458514654,11778,Beauty & Gesundheit > Hilfsmittel,Beauty & Gesundheit > Hilfsmittel,Beauty & Gesundheit > Hilfsmittel,458514654
SKU-5403685857,SKU-5403685857,ERROR_PRODUCT_ID: No product with ID 449820995,259273,"Heimwerker > Elektromaterial > Steckdosen, Schalter & Zubehör","Heimwerker > Elektromaterial > Steckdosen, Schalter & Zubehör","Heimwerker > Elektromaterial > Steckdosen, Schalter & Zubehör",449820995
SKU-6586579725,SKU-6586579725,ERROR_CATEGORY_ID: Invalid category identifier provided (the category does not exist).,66728,Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken,Spielzeug > Bausets & Konstruktion > Sonstige,Spielzeug > Bausets & Konstruktion > Sonstige,458453073
c98d74fd-e1a0-42fd-ba6d-2ea526b6e643,SKU-6703015625,BaseLinker Kategorie fehlt,,,,,489186525
c9fb6dc8-5db9-455d-a9b6-a8cadf694909,SKU-4995445480,BaseLinker Kategorie fehlt,,,,,489186632
e0a338cc-0fd6-4625-8c0c-054308424954,SKU-9445536447,BaseLinker Kategorie fehlt,,Sport & Freizeit > Sportbekleidung > Herren > Trainingsjacken,,,489187106
f0796a2b-7a12-4f55-b343-cf8e47e35ad0,SKU-8261682619,BaseLinker Kategorie fehlt,,,,,489187395
