id,sku,message,categoryId,identificationCategory,baselinkerCategoryPath,baselinkerCategory78659
00174600185032,SKU-7538503265,BaseLinker Kategorie fehlt,,,,
0250237001502,SKU-4846246443,BaseLinker Kategorie fehlt,,,,
20221705000003,SKU-5134751391,BaseLinker Kategorie fehlt,,,,
2024010542503,SKU-1164276787,BaseLinker Kategorie fehlt,,,,
25004695020111,SKU-0704619212,BaseLinker Kategorie fehlt,,,,
3339082c-5066-4322-a318-4b8732a19d83,SKU-8229761001,BaseLinker Kategorie fehlt,,Sport & Outdoor > Camping & Outdoor,,
34bb265f-a1ad-4850-a2ec-71bf44c1ad68,SKU-5700317364,BaseLinker Kategorie fehlt,,,,
3573994006336,SKU-8192040791,BaseLinker Kategorie fehlt,,,,
36f71981-e45d-478a-a80d-4e665f0e3352,SKU-3867423041,BaseLinker Kategorie fehlt,,,,
3f1a8ee4-8e40-4f90-af9a-deade528551c,SKU-8897137065,BaseLinker Kategorie fehlt,,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Heizungen & Klimaanlagen > Standheizungen,,
4007066810273,SKU-1523043917,BaseLinker Kategorie fehlt,,,,
4007126365101,SKU-3266280359,BaseLinker Kategorie fehlt,,Haushalt & Küche > Sonstige,,
4008177077142,SKU-2748406604,BaseLinker Kategorie fehlt,,,,
4011097314013,SKU-7745371992,BaseLinker Kategorie fehlt,,,,
4011097314037,SKU-5493501888,BaseLinker Kategorie fehlt,,,,
4011097775111,SKU-4766228789,BaseLinker Kategorie fehlt,,Heimwerker & Garten > Baumarkt > Badausstattung,,
4013361212134,SKU-2139913486,BaseLinker Kategorie fehlt,,Spielwaren > Spielzeug für draußen,,
4036021157276,SKU-4110694191,BaseLinker Kategorie fehlt,,Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile,,
4036021163093,SKU-5320936983,BaseLinker Kategorie fehlt,,,,
4058213275261,SKU-2816924302,BaseLinker Kategorie fehlt,,Sport & Outdoor > Sportausrüstung > Sportbekleidung,,
4059625316214,SKU-6046815482,BaseLinker Kategorie fehlt,,,,
4059625401927,SKU-5940997361,BaseLinker Kategorie fehlt,,,,
4067522073659,SKU-3831935492,BaseLinker Kategorie fehlt,,,,
4260281755686,SKU-5207774112,BaseLinker Kategorie fehlt,,,,
43422328612861,SKU-2424861616,BaseLinker Kategorie fehlt,,,,
5059556377703,SKU-1000000004,BaseLinker Kategorie fehlt,,Mode & Accessoires > Herren > Herren,,
5702015867535,SKU-6986483321,BaseLinker Kategorie fehlt,,,,
8003558071647,SKU-7025517137,BaseLinker Kategorie fehlt,,,,
8026196116716,SKU-5173627811,BaseLinker Kategorie fehlt,,Baby & Kind > Spielwaren,,
8719114322466,SKU-4961159565,BaseLinker Kategorie fehlt,,Mode & Accessoires > Kleidung > Unterwäsche & Dessous,,
8b18f8c1-5ced-4f9d-989d-35fb729415fe,SKU-3055174422,BaseLinker Kategorie fehlt,,,,
8c326f7a-d1df-447c-ab0c-c39d136ac565,SKU-0780623565,BaseLinker Kategorie fehlt,,,,
c98d74fd-e1a0-42fd-ba6d-2ea526b6e643,SKU-6703015625,BaseLinker Kategorie fehlt,,,,
c9fb6dc8-5db9-455d-a9b6-a8cadf694909,SKU-4995445480,BaseLinker Kategorie fehlt,,,,
e0a338cc-0fd6-4625-8c0c-054308424954,SKU-9445536447,BaseLinker Kategorie fehlt,,Sport & Freizeit > Sportbekleidung > Herren > Trainingsjacken,,
f0796a2b-7a12-4f55-b343-cf8e47e35ad0,SKU-8261682619,BaseLinker Kategorie fehlt,,,,
