fs_id,sku,ean,name,category,qty,bin,bl_id,base_product_id,price,currency,has_details
0196214105119,SKU-4310621602,0196214105119,Pokémon Sammelordner-Kollektion: Optimaler Schutz & 5 Boosterpacks,Sammelkartenspiele/TCGs,1,XGA0201B,,,65,EUR,true
03142017000003,SKU-9947386415,77924021268,Weber Smokey Mountain Cooker 37cm Räucherofen für unvergleichlichen Rauchgenuss,Garten & Terrasse,1,XGA0203E,,,15.69,EUR,true
04052938000016,SKU-4641833225,04052938000016,Pierburg Luftmassenmesser – Optimiert Motorleistung & Kraftstoffeffizienz,Autoteile & Zubehör,1,XGA0106B,,,83.56,EUR,true
0700153955478,SKU-2014012963,0700153955478,3rd Avenue Akustikgitarre Sunburst – Premium Set für Anfänger & Einsteiger,Sonstige Musikinstrumente,1,XGA0201A,,,99.99,EUR,true
09be7756-7b4f-4dda-bda0-799754052fff,SKU-3671103995,4059923008019,SACHS Federbeinlager Domlager: Optimale Fahrstabilität und Komfort,Autoteile & Zubehör,1,XGA0106B,,,19.25,EUR,true
14006633314036,SKU-7591395419,4006633314036,ATE Bremsscheibe 314x25mm – Maximale Bremskraft & Sicherheit für Audi,Auto & Motorrad: Teile,2,XGA0106C,,,35.62,EUR,true
1472920275814,SKU-7995751556,5905741720765,IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,Regale & Aufbewahrung,2,XGA0301C,,,59.99,EUR,true
1900201900525,SKU-4873494474,322937952748,TRW Bremsscheibe für Honda Accord – Optimale Bremsleistung & Sicherheit,Bremsscheiben,1,XGA0106C,,,27.96,EUR,true
1e369bf5-e5e6-460c-b595-8a08a2bbaf2d,SKU-7736193220,075523001671,RDINSCOS TC-100 Schichtdickenmessgerät für präzise Lackmessung & Beschichtung,Messwerkzeuge & Messgeräte,1,XGA0304B,,,28.19,EUR,true
20221212000014,SKU-3806532980,7649994068165,SHARGE Powerbank Flow Mini 5000mAh – Kompakt mit integriertem USB-C Kabel,Kabel,0,,,,14.59,EUR,true
2810449728013,SKU-3982672342,2810449728013,"Android Autoradio 6S9701P mit HD Touchscreen, GPS-Navigation, Bluetooth und DSP/RDS Sound",Autoradios,1,XGA0106C,,,139.99,EUR,true
3165143111321,SKU-6206509150,3165143111321,Bosch Zusatzwasserpumpe: Optimaler Motorschutz & lange Lebensdauer,Auto & Motorrad: Teile,1,XGA0106B,,,60.29,EUR,true
3322937241712,SKU-5868736484,3322937241712,TRW Bremsbeläge GDB1330: Erstausrüsterqualität für maximale Sicherheit,Auto & Motorrad: Teile,1,XGA0106B,,,20,EUR,true
3662775243128,SKU-5896801162,3662775243128,KYOTO Motorradbatterie GTX5L-BS: Sofort startklar & absolut wartungsfrei,Auto & Motorrad: Teile,1,XGA0106B,,,19.49,EUR,true
3770010398363,SKU-6722573428,3770010398363,Umami Bento Lunch Box 1.2L – Auslaufsicher & Mikrowellengeeignet,Brotdosen,1,XGA0201B,,,21.99,EUR,true
4003318620911,SKU-8850596846,4003318620911,ABUS Faltschloss BORDO 6000K BIG – Hohe Sicherheit & 120cm Flexibilität,Fahrradzubehör,1,XGA0102B,,,89.99,EUR,true
4006633310222,SKU-4616386559,4006633310222,ATE Bremsscheiben Set für Audi – Maximale Fahrsicherheit,Auto & Motorrad: Teile,1,XGA0106C,,,94.4,EUR,true
4027816273868,SKU-1137525213,4027816273868,febi bilstein Radlagersatz Opel PKW – Maximale Fahrsicherheit & Präzision,Auto & Motorrad: Teile,1,XGA0106C,,,54.35,EUR,true
4027816321033,SKU-1609202291,4027816321033,febi bilstein Ölfilter 32103: Maximaler Motorschutz für lange Lebensdauer,Motoren & Motorenteile,1,XGA0106B,,,2.94,EUR,true
4040074053454,SKU-0333689520,4040074053454,MEYLE Federbeinstützlager für Mercedes E-Klasse CLS – Maximale Fahrstabilität,Auto & Motorrad: Teile,2,XGA0106C,,,41.95,EUR,true
4041248145418,SKU-8581934036,4041248145418,Elring Motordichtung 057.240 – Präzise Abdichtung für maximale Motorleistung,Motoren & Motorenteile,3,XGA0106C,,,25.99,EUR,true
4041248434536,SKU-8529588380,4041248434536,Elring Motordichtungssatz 542.210 für maximale Motorzuverlässigkeit,"Motorüberholungs-, Dichtungssätze & Komponenten",1,XGA0106B,,,45.95,EUR,true
4041248450864,SKU-7321712010,4041248450864,Elring Zylinderkopfdichtungssatz für maximale Motorleistung & Langlebigkeit,Zylinderkopfdichtungssatz,1,XGA0106B,,,25.86,EUR,true
4041248450871,SKU-4780318569,4041248450871,Elring Zylinderkopfdichtung VW Motoren - Erstausrüsterqualität für Top-Leistung,Motoren & Motorenteile,1,XGA0106B,,,23.88,EUR,true
