sku,ean_bl,ean_fs,stock_bl,qty_fs,location_bl,bin_fs,bl_id,fs_bl_id,fs_base_product_id,name_bl,name_fs,price_bl,price_fs,currency_bl,currency_fs,fs_id
SKU-0172791378,144351296,000144351296,1,0,XGA0202C,XGA0202C,449821071,449821071,,"lululemon The Workout Mat 6mm – rutschfeste Trainings- & Yogamatte, 180 x 66 cm",lululemon Yogamatte Trainingsmatte: Maximaler Grip & Komfort für jedes Workout,98,98,EUR,EUR,SKU-0172791378
SKU-3588671475,4710069708958,4710069708958,1,0,XGA0102C,,449821152,449821152,449821152,Topeak Ratchet Rocket Essential Fahrradwerkzeugset für präzise Reparaturen,Topeak Ratchet Rocket Essential Fahrradwerkzeugset für präzise Reparaturen,29.99,29.99,EUR,EUR,SKU-3588671475
SKU-9073986145,4014835742154,4014835742154,3,0,XGA0101C,,449821228,449821228,,RAVENOL Sägekettenöl S-85 5 l,RAVENOL Sägekettenöl S 85: Optimaler Verschleißschutz & Haftung,29.95,29.95,EUR,EUR,SKU-9073986145
SKU-4930006198,4260613494504,4260613494504,1,0,XGA0203B,XGA0203B,449821333,449821333,,tillvex Poolschlauch 38mm für klares Poolwasser und effiziente Zirkulation,tillvex Poolschlauch 38mm für klares Poolwasser und effiziente Zirkulation,24.79,24.79,EUR,EUR,SKU-4930006198
SKU-4820097368,4255700108594,4255700108594,19,0,XQGA0101A,,449821480,449821480,449821480,"TAN.TOMI Rolltop Rucksack – Flexibel, wasserabweisend & Laptopfach","TAN.TOMI Rolltop Rucksack – Flexibel, wasserabweisend & Laptopfach – Daypack für Alltag & Uni",19.99,19.99,EUR,EUR,SKU-4820097368
SKU-0310087435,2060004998275,2060004998275,3,0,XGA0201C,XGA0201C,449821704,449821704,,Villa Grinario Jersey-Spannbettlaken – Faltenfreier Sitz & optimaler Schlafkomfort,Villa Grinario Jersey-Spannbettlaken: Faltenfreier Sitz & optimaler Schlafkomfort,14.99,14.99,EUR,EUR,SKU-0310087435
SKU-6603765179,4260012351552,4260012351552,1,0,XGA0102C,,449822072,458458663,449822072,Terry Regenschutz Small – Fahrradsattel wasserdicht schützen,Terry Sattel Regenschutz: Wasserdichter Schutz für trockene Fahrten,7.9,7.9,EUR,EUR,SKU-6603765179
SKU-6830410442,4017537302565,4017537302565,1,0,XGA0102D,XGA0102D,449822362,449822362,,"FIREFIX Ofenrohr DN 180, 1000 mm, Schwarz","FIREFIX Ofenrohr DN 180, 1000mm, Senotherm Schwarz für sichere Abführung",31.9,31.9,EUR,EUR,SKU-6830410442
SKU-2965430996,,,1,2,XGA0204D,XGA0204D,449823903,449823903,449823903,Beliani Beistelltisch CAORIA Terrazzo,Beliani Beistelltisch CAORIA: Eleganter Terrazzo-Blickfang für Innen & Außen,79.99,79.99,EUR,EUR,SKU-2965430996
SKU-8004480244,4052138013946,4052138013946,1,0,XGA0203E,XGA0203E,449824682,449824682,,Trotec Standventilator TVE 16 S,Trotec Standventilator TVE 16 S: Sofortige Erfrischung & angenehmes Raumklima,35.69,35.69,EUR,EUR,SKU-8004480244
SKU-1937479862,4067673005776,4067673005776,1,0,XGA0104E,XGA0104E,454979099,454979099,,CampFeuer Campingliege mit Sonnendach,"CampFeuer Campingliege mit Sonnendach – Klappbar, leicht & UV-Schutz",59.95,59.95,EUR,EUR,SKU-1937479862
SKU-3095199472,195969554562,195969554562,1,0,XGA0301B,XGA0301B,458453033,458453033,,Skechers Golfschuhe Damen GO GOLF MAX-FAIRWAY 3,Skechers Golfschuhe Damen GO GOLF MAX-FAIRWAY 3: Optimaler Komfort,59.95,59.95,EUR,EUR,SKU-3095199472
SKU-3818412905,3346130009603,3346130009603,4,0,XGA0304C,,458453067,458453067,458453067,Hermès Terre d’Hermès EDT 100ml,Hermès Terre d'Hermès EDT für zeitlose Eleganz Herren 100ml,69.49,69.49,EUR,EUR,SKU-3818412905
SKU-6586579725,4001969182901,4001969182901,4,4,XGA0301D,XGA0302A,458453073,458453073,458453073,CENTA-STAR Bettdecke Royal Classic,CENTA-STAR Bettdecke Die Atmungsaktive für ganzjährigen Schlafkomfort,299,249,EUR,EUR,SKU-6586579725
SKU-4660262942,4067897661963,4067897661963,1,0,XGA0302A,XGA0302A,458456586,458456586,,adidas Herren Sneaker NY 90,Adidas Herren Sneaker NY 90 – Zeitloser Stil & optimaler Komfort,54,54,EUR,EUR,SKU-4660262942
SKU-6673544963,4067983746314,4067983746314,1,0,XGA0302A,XGA0302A,458456593,458456593,,Puma Court Classico Sneaker,Puma Court Classico Sneaker: Zeitloser Stil für optimalen Komfort,54.99,54.99,EUR,EUR,SKU-6673544963
SKU-2561166298,4260325431309,4260325431309,99,0,XSGA0103B,,458459208,458459208,458459208,Hodalump Herren Geldbörse RFID,Hodalump Herren Geldbörse: Vintage Leder mit RFID-Schutz & 12 Fächern,39.95,39.95,EUR,EUR,SKU-2561166298
SKU-7961309823,5907455902611,5907455902611,1,0,XSGA0103A,XSGA0103A,458466308,458466308,,Engelbert Strauss Bundhose e.s. motion 2020 Winter,Engelbert Strauss Bundhose e.s. motion 2020 Winter: Optimaler Kälteschutz,89.13,89.13,EUR,EUR,SKU-7961309823
SKU-2114384722,8436579110321,8436579110321,1,0,XSGA0103B,XSGA0103B,458468329,458468329,,Hawkers Sonnenbrille Romaj,Hawkers Sonnenbrille Romaj: Eleganter UV400 Schutz & Zeitloser Stil,32.95,32.95,EUR,EUR,SKU-2114384722
SKU-2151943751,9002592485129,9002592485129,1,1,XGA0204D,XGA0204D,458470102,458470102,458470107,Cretacolor Harte Graupastelle 12er,Cretacolor Harte Graupastelle 12er Set für präzise Details,27.92,27.92,EUR,EUR,SKU-2151943751
SKU-6315915149,9014400001384,9014400001384,35,35,XGA0303A,XGA0303A,458470397,458470397,458470401,Jolly Bleistifte HB 12er Set,Jolly Bleistifte HB 12er Set für präzises Schreiben & Zeichnen,4.69,4.69,EUR,EUR,SKU-6315915149
SKU-9454243198,9014400035983,9014400035983,7,7,XGA0204D,XGA0204D,458470408,458470408,458470412,Jolly Superwaxies Aqua Wachsmalstifte,Jolly Superwaxies Aqua Wachsmalstifte - Wasservermalbar für Aquarelleffekte,9.55,9.55,EUR,EUR,SKU-9454243198
SKU-0403766178,9014400100650,9014400100650,2,2,XGA0204D,XGA0204D,458470419,458494137,458470422,Jolly Füllhalter Superinky Start,Jolly Füllhalter Superinky Start: Ergonomisch für Schreibanfänger,11.99,11.99,EUR,EUR,SKU-0403766178
SKU-4069701323,9014400103538,9014400103538,15,15,XGA0204D,XGA0204D,458470423,458470423,458470424,Jolly Doppelfasermaler Superstars Duo,"Jolly Doppelfasermaler Superstars Duo: 24 brillante, auswaschbare Farben",17.47,17.47,EUR,EUR,SKU-4069701323
SKU-5658638116,9014400105341,9014400105341,6,6,XGA0204D,XGA0204D,458470425,458470425,458470426,Jolly Superstars One Fasermaler 12 Farben,Jolly Superstars One Fasermaler 12 Farben auswaschbar für Kinder Made in Austria,7.38,7.38,EUR,EUR,SKU-5658638116
SKU-6965414859,9014400293437,9014400293437,9,9,XGA0204D,XGA0204D,458470429,458470429,458470430,JOLLY Tempera Malkasten 14 Farben,Jolly Tempera Malfarben Set 14 Farben - Brillante Deckkraft für Kreative,9.9,9.9,EUR,EUR,SKU-6965414859
SKU-7270723982,42033111000765,42033111000765,1,1,XGA0102E,XGA0102E,458470733,458470733,458470734,Kitchen Sink Einbauspüle Edelstahl,Kitchen Sink Einbauspüle: Robuste Edelstahl-Spüle mit Abtropfgitter,49.99,49.99,EUR,EUR,SKU-7270723982
SKU-1040274599,9783417288889,9783417288889,1,1,XSGA0103A,XSGA0103A,458473855,458473855,458473859,SCM Bilderbuch: Mut & Freundschaft ab 3 Jahren,SCM Bilderbuch: Mut & Freundschaft für Kinder – Stärkt Eltern-Kind-Bindung,14.95,14.95,EUR,EUR,SKU-1040274599
SKU-3475457190,301729237,301729237,24,0,XGA0302D,XGA0302D,458479465,458479465,,Upgrade4cars X2 Sitzauflagen Universal,Upgrade4cars X2 Sitzauflagen Universal – Optimaler Schutz für Vordersitze,23.6,23.6,EUR,EUR,SKU-3475457190
SKU-5127373339,353212066339,0630808446412,1,1,XGA0304B,XGA0304B,458506064,458506064,458506064,UnionSine Externe Festplatte 500GB,UnionSine Externe Festplatte 500GB USB 3.0 – Ultraschnell & Kompakt,30.99,30.99,EUR,EUR,SKU-5127373339
SKU-1618101796,4013288218780,4013288218780,1,0,XGA0202C,XGA0202C,458513307,458513307,,Wera Maul-Ringschlüssel 6003 Joker 6mm,Wera Maul-Ringschlüssel 6003 Joker 6mm mit schneller Ringratschenfunktion,6.89,6.89,EUR,EUR,SKU-1618101796
SKU-1789286937,,,1,0,XSGA0103A,XSGA0103A,458974880,458974880,,Engelbert Strauss Herren T-Shirt Anthrazit,"Engelbert Strauss T-Shirt: Robust, bequem & vielseitig für Arbeit & Freizeit",10.59,10.59,EUR,EUR,SKU-1789286937
SKU-4743695203,9783982023113,9783982023113,1,1,XGA0303B,XGA0303B,458974941,458974941,458477177,molino Bilderbuch Hannelore,molino Bilderbuch: Zauberhaftes Zirkusabenteuer für Kinder,17.5,17.5,EUR,EUR,SKU-4743695203
SKU-3992211748,9523709033415,1952370903315,1,1,XGA0301B,XGA0301B,458974959,458974959,458974959,Nike Defy All Day Damen Sportschuh,Nike Defy All Day Damen Sportschuh: Optimaler Komfort & Stabilität,49.99,49.99,EUR,EUR,SKU-3992211748
SKU-2417212434,29369421134,029369421134,1,2,XQGA0101A,XGA0102C,459967606,459967606,,McDavid Kniebandage 421 Gr. S,McDavid Kniebandage 421 für Sport & Reha – Gezielte Unterstützung Gr. S,55,55,EUR,EUR,SKU-2417212434
SKU-0000524938,1657579165751,0195949655968,1,0,XSGA0103B,,460089163,,462089163,Apple Magic Mouse 2,Apple Magic Mouse 2 – Präzise Multi-Touch Maus für Mac & iPad,39,39,EUR,EUR,SKU-0000524938
SKU-0871959830,9331521033415,9331521033415,0,0,,,462089181,,462089181,Coffee Cup Automatischer Rührbecher USB,Coffee Cup Automatischer Rührbecher USB-wiederaufladbar für perfekte Mischungen,15.93,15.93,EUR,EUR,SKU-0871959830
SKU-8249181407,7760105020849,4548736142428,1,1,XGA0103B,XGA0103B,462182183,462182183,462182183,Sony WH-CH720N Over-Ear Kopfhörer,Sony WH-CH720N Over-Ear Kopfhörer mit Aktiver Geräuschunterdrückung,64.9,64.9,EUR,EUR,SKU-8249181407
SKU-5814356347,3168430357914,3168430357914,0,0,,,462239039,,462239039,Tefal Ingenio Induktions-Pfannenset,Tefal Ingenio Induktion Pfannenset - Platzsparend & Vielseitig Kochen,127.94,127.94,EUR,EUR,SKU-5814356347
SKU-5410787453,4013556577007,4013556577007,2,2,XQGA0101A,XGA0302D,464298782,464298782,464298782,acamp Hängesessel Schutzhülle Ø110×200 cm,acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm,59.95,59.95,EUR,EUR,4013556577007
SKU-2724878095,4013556577076,4013556577076,2,3,XQGA0101A,XGA0302D,464298793,464298793,464298793,acamp Schutzhülle Cappa ovale Tische,acamp Schutzhülle Cappa für ovale Tische - Wasserdicht & UV-beständig,39.95,39.95,EUR,EUR,4013556577076
SKU-4802639881,155403040304,9050064005382,1,1,XGA0102B,XGA0102B,465027960,465027960,465027960,FITGRIFF Gewichthebergürtel,FITGRIFF Gewichthebergürtel: Maximale Stabilität & optimaler Rückenschutz,34.95,34.95,EUR,EUR,SKU-4802639881
SKU-3442148631,11805620,11805620,1,0,XGA0304A,,465110466,465110466,465110466,ToMax TM-LC-223Y Gelb,"ToMax Tintenpatrone TM-LC-223Y Gelb für brillante, langlebige Ausdrucke",4.99,4.99,EUR,EUR,d2649d99-ae7a-4b45-bca9-e6c452843d93
SKU-9885764249,4023103244009,4023103244009,0,1,,,465272159,465272159,465272159,Vileda Wäscheständer King UNimate,Vileda Wäscheständer King UNimate: 20m Trockenfläche für XXL Wäsche,33.74,33.74,EUR,EUR,4023103244009
SKU-9905416565,7290006780805,7290006780805,0,1,,,465277230,465277230,465277230,SodaStream Glaskaraffe 0.7 L,"SodaStream Glaskaraffe 0,7L für CRYSTAL/PENGUIN - Spülmaschinenfest & Stilvoll",12.24,12.24,EUR,EUR,7290006780805
SKU-2801069572,8052694010041,8052694010041,0,1,,,465278478,465278478,465278478,LEGAMI MILANO Federmäppchen Kawaii,LEGAMI MILANO Federmäppchen Kawaii Pinguin – Stilvolle Organisation für Stifte,11.95,11.95,EUR,EUR,8052694010041
SKU-8367978772,1001551550102,4018474519634,3,3,XGA0304B,XGA0304B,465283094,465283094,465283094,Pelikan Farbband Gr. 156 C,"Pelikan Farbband Gr. 156 C Correctable für präzise, fehlerfreie Texte",10.67,10.67,EUR,EUR,SKU-8367978772
