sku,produkt_name,BIN,BINs,initial_eingelagert_menge,initial_eingelagert_iso,initial_eingelagert_typ,initial_eingelagert_BIN,kommissionierung_stock_out_menge,offene_bestellungen_new_menge,kommissioniert_bestellungen_picked_menge,verpackt_bestellungen_packed_menge,offene_bestellungen_total_menge,aktuelle_menge_avycloud_physisch,aktuelle_menge_avycloud_inventory_field,avycloud_delta_inventory_minus_bins,avycloud_available_minus_new,baselinker_product_id,aktuelle_menge_baselinker,delta_baselinker_minus_avy_available_new,delta_baselinker_minus_avy_physisch,last_synced_iso
SKU-3475457190,Upgrade4cars Autositzauflage 2er Set Universal – Robuster Schutz für Vordersitze,XGA0302D,XGA0302D:24,,,,,0,0,0,0,0,24,0,-24,24,458479465,0,-24,-24,2026-02-02T20:21:38.956Z
SKU-4069701323,"Jolly Superstars Duo Fasermaler Set – 24 brillante, auswaschbare Farben für",,,13,2026-01-27T11:23:22.432Z,stock_in,XGA0303A,15,0,0,0,0,0,0,0,0,458470423,13,13,13,2026-01-30T19:40:55.688Z
SKU-9289261489,"Isabel Abedi: Lola Löwenherz – Fesselndes Kinderbuch Abenteuer, Gebundene",,,,,,,10,0,0,0,0,0,0,0,0,458474714,10,10,10,2026-01-30T20:04:09.766Z
SKU-9454243198,"Jolly Superwaxies Aqua Wachsmalkreiden – 10 brillante, wasservermalbare Farben",,,6,2026-01-27T11:24:27.937Z,stock_in,XGA0303A,8,0,1,0,1,0,0,0,0,458470408,6,6,6,2026-01-30T20:04:17.634Z
SKU-9247228090,"SodaStream Quick Connect Leerer Tauschzylinder 60 L für Terra, Duo, Art",XGA0204D,XGA0204D:18,18,2026-01-26T21:00:21.729Z,stock_in,XGA0204D,0,3,0,0,3,18,18,0,15,497952264,18,3,0,2026-02-09T13:19:32.684Z
SKU-0310087435,Villa Grinario Jersey Spannbettlaken für Matratzen 90-100x200 cm –,XGA0201C,XGA0201C:3,,,,,0,0,0,0,0,3,0,-3,3,449821704,0,-3,-3,2026-02-02T19:53:32.391Z
SKU-4777479586,GIVI Windschild D230S Rauchgrau für BMW F650 (1994-1996) – Motorrad,XGA0202E,XGA0202E:1,1,2026-01-09T16:12:10.471Z,stock_in,XGA0202E,0,0,0,0,0,1,1,0,1,489027192,0,-1,-1,2026-02-08T01:15:14.087Z
SKU-0172791378,"Lululemon The Workout Mat 6mm Yogamatte – Rutschfest, Komfortabel & Langlebig",XGA0202C,XGA0202C:1,,,,,0,0,0,0,0,1,0,-1,1,449821071,0,-1,-1,2026-02-09T14:32:30.501Z
SKU-1566313678,Heike Faller: Hundert – Was du im Leben lernen wirst | Gebundene Ausgabe |,,,,,,,1,0,0,0,0,0,0,0,0,458472538,1,1,1,2026-01-30T20:09:35.458Z
SKU-1937479862,CampFeuer Sonnenliege CALI13A Anthrazit – Klappbare Campingliege mit,XGA0104E,XGA0104E:1,,,,,0,0,0,0,0,1,0,-1,1,454979099,0,-1,-1,2026-02-02T19:53:44.451Z
SKU-2114384722,Hawkers Sonnenbrille MOMA Unisex – Gold Havana mit UV400 Schutz &,XSGA0103B,XSGA0103B:1,,,,,0,0,0,0,0,1,0,-1,1,458468329,0,-1,-1,2026-02-02T19:53:46.412Z
SKU-4743695203,Molino Bilderbuch: Zirkus auf dem Waldspielplatz – Frieder Stöckle & Andrea,,,,,,,1,0,0,0,0,0,0,0,0,458974941,1,1,1,2026-01-30T20:12:23.272Z
SKU-4930006198,Tillvex Poolschlauch 8m x 38mm – Flexibler & UV-beständiger Schwimmbadschlauch,XGA0203B,XGA0203B:1,,,,,0,0,0,0,0,1,0,-1,1,449821333,0,-1,-1,2026-02-02T20:22:53.694Z
