sku,docId,lastSource,status,before_len,after_len,before,after,reason
SKU-7225351886,00442039661193,title-normalize,update,80,75,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU used Faltbar Tierbedarf","COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Tierbedarf",
SKU-2097206690,07901010300000,title-normalize,update,75,70,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN used Bluetooth,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN Bluetooth,
SKU-3671103995,09be7756-7b4f-4dda-bda0-799754052fff,ui,update,87,79,"SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda 2 | Neu","SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda",
SKU-6511282128,20220424000047,ui,update,61,74,JMIYAV Gaming Mauspad FGD-02 JD-80 Rosa Mikrofaser Gr. 300 mm,JMIYAV Gaming Mauspad FGD-02 JD-80 Rosa Mikrofaser NEU Gr. 300 mm Computer,
SKU-0545917168,2024080701046,ui,update,74,72,SPURTAR Messschieber 0-150mm used DIN 862 Präzision 0.02mm gebraucht Außen,SPURTAR Messschieber 0-150mm NEU gebraucht used DIN 862 Präzision 0.02mm,
SKU-5868736484,3322937241712,ui,update,63,73,"TRW Bremsbelagsatz GDB1330 WVA 20960 für Ford Skoda, 17mm Dicke",TRW Bremsbelagsatz GDB1330 87 Hinterachse NEU Gr. 87 WVA 20960 Ford Skoda,
SKU-5896801162,3662775243128,ui,update,81,77,KYOTO Motorradbatterie GTX5L-BS SLA 12V 4Ah Wartungsfrei für Motorrad Schwarz Neu,KYOTO Motorradbatterie GTX5L-BS SLA 12V 4Ah Wartungsfrei für Motorrad Schwarz,
SKU-1609202291,4027816321033,ui,update,64,75,febi bilstein Ölfilter 32103 für PSA-Motoren – OE 9818914980 Neu,febi bilstein Ölfilter 32103 NEU PSA-Motoren 9818914980 Auto Motorrad Teile,
SKU-2431535372,4262405220148,ui,update,60,74,AZANO DESIGNS Katzentreppe 3er Set für sicheren Wandaufstieg,"AZANO DESIGNS Katzentreppe Holz NEU Inklusive Montagematerial, Kratzfläche",
SKU-8735317765,5060570201660,ui,update,73,73,VaultX Exo-Tec Toploading Deck Box für 80+ Sammelkarten Schwarz gebraucht,VaultX Deck Box Schwarz NEU Sammelkarten Gebraucht Exo-Tec Toploading 80+,
SKU-6216530722,6941057422886,ui,update,79,74,INTEX Luftmatratze Dura-Beam Plus Deluxe 2 Personen 203x152x42cm Grau Gebraucht,INTEX Luftmatratze Dura-Beam Plus Deluxe Pillow Rest AP620D Grau Vinyl NEU,
SKU-7200941317,76a7cc4f-9aa4-4149-ad6b-9cc4ef1dc1df,ui,update,80,74,Tesla Sonnenschutz Panorama-Glasdach Schwarz Mesh-Gewebe für Innenraum Gebraucht,Tesla Sonnenschutz Panorama-Glasdach Schwarz Mesh-Gewebe für Innenraum NEU,
SKU-2388529978,SKU-2388529978,ui,update,87,76,"Laser-Tonerkartusche Cyan Ersatz für Brother TN-423C Kompatibel mit DCP, HL, MFC Serien","Laser-Tonerkartusche Cyan Ersatz für Brother TN-423C Kompatibel mit DCP, HL,",
SKU-2638580995,SKU-2638580995,ui,update,81,77,Bellabino Kinderregal Towy Mobil: Fördert spielerisch Ordnung & Selbstständigkeit,Bellabino Kinderregal Towy Mobil: Fördert spielerisch Ordnung & BB-0046-03-01,
SKU-3086033338,SKU-3086033338,ui,update,68,72,"JURID Bremsbelagsatz 573602J für BMW 1er 3er 4er, Brembo Vorderachse",JURID Bremsbelagsatz 573602J 114.6 mm Vorne NEU Gr. 114.6 mm BMW 1er 3er,
SKU-5091393302,SKU-5091393302,ui,update,90,79,"Laser-Tonerkartusche Schwarz Ersatz für Brother TN-423K Kompatibel mit DCP, HL, MFC Serien","Laser-Tonerkartusche Schwarz Ersatz für Brother TN-423K Kompatibel mit DCP, HL,",
SKU-7948301538,SKU-7948301538,ui,update,90,79,"Laser-Tonerkartusche Magenta Ersatz für Brother TN-423M Kompatibel mit DCP, HL, MFC Serien","Laser-Tonerkartusche Magenta Ersatz für Brother TN-423M Kompatibel mit DCP, HL,",
SKU-8203474346,b9682eb9-a9aa-415e-898f-7b9bf915e42f,title-normalize,update,77,72,Sabeatex Kopfkissen & Körperkissen Weiß Gr. 70 x 35 x 13 cm NEU used Optimale,Sabeatex Kopfkissen & Körperkissen Weiß Gr. 70 x 35 x 13 cm NEU Optimale,
SKU-1536365981,ea75ec18-8ebd-4623-8b72-bdc796af7bfb,ui,update,78,73,Airfryer Backform Einsatz 2er Set Silikon Antihaft Spülmaschinenfest Gebraucht,Unbekannt Backform Einsatz Schwarz Silikon NEU Gebraucht Airfryer 2er Set,
