sku,docId,lastSource,status,before_len,after_len,before_issues,after_issues,before,after,reason
SKU-3671103995,09be7756-7b4f-4dda-bda0-799754052fff,title-normalize,update,79,71,priority_a_missing_in_title|priority_a_not_in_first_60|duplicate_word,,"SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda","SACHS Reparatursatz Federbeinstützlager 802 472 019 Vorderachse, Links,",
SKU-3023625088,1011190149611,category-review-csv,update,80,46,brand_missing|priority_a_missing_in_title|priority_a_not_in_first_60|order_producttype_after_model,brand_missing,"Hochwertiges 15-tlg Gewindereparaturset M14x1,5 Werkzeugsatz für Reparaturen NEU",Unbekannt Gewindereparaturset Hochwertiges NEU,
SKU-7591395419,14006633314036,title-normalize,update,76,55,duplicate_word,,ATE Bremsscheibe 24.0125-0184.1 für Audi 314 mm NEU Gr. 314 mm Nein 314x25mm,ATE Bremsscheibe 24.0125-0184.1 Audi 314mm 314x25mm NEU,
SKU-7995751556,1472920275814,unknown,update,72,62,priority_a_missing_in_title|priority_a_not_in_first_60,,IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,IKEA Standregal 202.758.14 77cm Holzwerkstoff 77x77cm Weiß NEU,
SKU-2064038107,14f93c3a-6902-4da3-8a00-991a13958570,job-improve,update,72,28,model_or_mpn_missing,model_or_mpn_missing,FNTCASE Schutzhülle Grau NEU Apple iPhone 16 Pro MagSafe Stoßfest Handys,FNTCASE Schutzhülle Grau NEU,
SKU-4026350484,1795362000001,job-improve,update,73,69,duplicate_word,,Patagonia T-Shirt Sienna Clay Gr. 24 NEU 87655 37655 Responsibill T-Shirt,"Patagonia T-Shirt 87655 Herren Gr. 24 Recycelte Baumwolle, Recyceltes",
SKU-0533124796,182c0593-5b66-4304-80fa-d1a56eb08210,job-improve,update,79,73,model_or_mpn_missing,model_or_mpn_missing,CAPAS Schnorchelflossen für Tauchen & Schnorcheln S/M Schwarz Türkis Erwachsene,CAPAS Schnorchelflossen Erwachsene Kinder Gr. S/M Hochwertige Materialien,
SKU-0789448642,1bdce1f7-aa59-4b85-a9a8-3488141ae012,script-condition-normalize,update,77,65,priority_a_missing_in_title|priority_a_not_in_first_60,,Kalahari Shades of Ocean Wassergläser Set 300ml 6 Stück Spülmaschinenfest NEU,"Kalahari Wassergläser Set 2195173 8,5cm Glas 300ml Mehrfarbig NEU",
SKU-6511282128,20220424000047,job-improve,update,71,46,priority_a_missing_in_title|priority_a_not_in_first_60,,JMIYAV Gaming Mauspad RGB beleuchtet 800x300mm Rosa für Maus FGD-02 Neu,JMIYAV Gaming Mauspad JD-80 800x300mm Rosa NEU,
SKU-0922374624,2074133001002,category-review-csv,update,76,69,priority_a_missing_in_title|priority_a_not_in_first_60,,"Magic: The Gathering Commander Deck – Sofort spielbar, epische Zombie-Horden","Magic: The Gathering Commander Deck D41330001 Jugendliche, Erwachsene",
SKU-3982672342,2810449728013,title-normalize,update,77,43,brand_missing,brand_missing,Unbekannt Autoradio 6S9701P NEU Schwarz Android Motorrad Teile GPS Autoradios,Unbekannt Autoradio 6S9701P gps Schwarz NEU,
SKU-7753504850,30c418b6-000b-47e9-8252-3478b4693cda,category-review-csv,update,79,41,priority_a_missing_in_title|priority_a_not_in_first_60,,PerformaNat Calcium Bolus für Milchkühe | Milchfieber-Prophylaxe | 8x110g | Neu,PerformaNat Calcium Bolus QDENI400127 NEU,
SKU-4303462818,3154020086005,job-improve,update,73,36,priority_a_missing_in_title|priority_a_not_in_first_60,,"GYS Rutil Elektrode 252 Schweißelektrode Ø2,5mm für unlegierte Stähle NEU","GYS Rutil Elektrode 186005 2,5mm NEU",
SKU-5868736484,3322937241712,category-review-csv,update,73,45,duplicate_word,,TRW Bremsbelagsatz GDB1330 87 Hinterachse NEU Gr. 87 WVA 20960 Ford Skoda,TRW Bremsbelagsatz GDB1330 Hinterachse 87 NEU,
SKU-2522561568,3558380099390,job-improve,update,71,34,model_or_mpn_missing|duplicate_word,model_or_mpn_missing,Asmodee Kartenspiel Mehrfarbig NEU Disney Deutsch Disney Edition Dobble,Asmodee Kartenspiel Mehrfarbig NEU,
SKU-6722573428,3770010398363,unknown,update,70,68,priority_a_not_in_first_60|priority_a_missing_in_title|duplicate_word,,Umami Bento Lunch Box 1.2L Auslaufsicher Mikrowellengeeignet Bento Box,"Umami Bento Box B0848KVNN4-FREN 1.2L Kunststoff, Bambus Schwarz, NEU",
SKU-7357361636,3f55c3c8-0603-4563-be53-8591b104d26e,script-condition-normalize,update,74,48,priority_a_missing_in_title|priority_a_not_in_first_60,,ROHO SELECT Sitzkissenbezug für Rollstuhl-Sitzkissen 50.5x46.5x10.5 cm NEU,ROHO Sitzkissenbezug 61373208013 5cm Schwarz NEU,
SKU-0200958470,4004133669093,unknown,update,70,75,priority_a_missing_in_title|priority_a_not_in_first_60,,APS Glas Trinkflasche 1L – Auslaufsicher & Nachhaltig für puren Genuss,"APS Trinkflaschen 66909 Glas, Edelstahl 18/8, Polypropylen (PP), Silikon 1L",
SKU-4715041854,4005414511612,category-review-csv,update,80,73,priority_a_missing_in_title|priority_a_not_in_first_60,,ESPRIT Bettwäsche-Set CHILL Streifen Blau 155x220 cm Baumwolle Renforcé OEKO-TEX,ESPRIT Bettwäsche-Set 77302-080-155-220 100% Baumwolle Renforcé 155x220cm,
SKU-4401248629,4009384458304,category-review-csv,update,73,59,priority_a_missing_in_title|priority_a_not_in_first_60,,Fries GmbH Deutschland Fan Schal – Zeigen Sie Ihre Unterstützung stilvoll,"Fries GmbH Schal 45830 Unisex Textil Schwarz, Rot, Gold NEU",
SKU-5410787453,4013556577007,category-review-csv,update,75,63,priority_a_missing_in_title|priority_a_not_in_first_60,,acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm,acamp Schutzhülle 57700 110cm Polyester 110x200cm Anthrazit NEU,
SKU-7700165856,4013556577120,job-improve,update,76,59,priority_a_missing_in_title|priority_a_not_in_first_60,,acamp Schutzhülle für Sonnenschirme bis 200 cm Anthrazit Polyestergewebe NEU,acamp Schutzhülle 57712 200cm Polyestergewebe Anthrazit NEU,
SKU-3704607179,4013594537810,job-improve,update,80,42,model_or_mpn_missing|duplicate_word,model_or_mpn_missing,goki Murmelbahn Mehrfarbig Holz NEU Soundeffekte Gollnest & Kiesel GmbH & Co. KG,goki Murmelbahn Unisex Holz Mehrfarbig NEU,
SKU-3586300359,4016417025303,category-review-csv,update,80,63,priority_a_missing_in_title|priority_a_not_in_first_60,,EURO PART Ablaufschlauch 1.5m - Flexible Verlängerung für Wasch- & Spülmaschinen,EURO PART Ablaufschlauch 10006367 19mm Kunststoff 1.5m Grau NEU,
SKU-3097738026,4034144003036,script-condition-normalize,update,77,47,priority_a_missing_in_title|priority_a_not_in_first_60,,EMUK Anhängerspiegel 2-Punkt-Bügel Aluminium für Renault Kadjar Espace Scénic,"EMUK Anhängerspiegel 100303 Schwarz, Silber NEU",
SKU-7321712010,4041248450864,title-normalize,update,72,65,duplicate_word,,Elring Zylinderkopfdichtungssatz 1212188109 für Elring Motor NEU 60 Auto,"Elring Zylinderkopfdichtungssatz 1212188109 Motor Braun, Schwarz,",
SKU-8927251416,4043962306996,barcode-rollback,update,77,69,priority_a_not_in_first_60|duplicate_word,,fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,fischer Hammerbohrer Quattric II 24/450/400 24mm Hartmetall 450mm NEU,
SKU-6068074259,4047059413104,job-improve,update,75,75,priority_a_missing_in_title|priority_a_not_in_first_60,,europet bernina AQUA FRESH Trinkbrunnen 2.1L Weiß Blau für Katzen Hunde NEU,"europet bernina Trinkbrunnen 603-413104 25x20x18cm 2.1L 4W Kunststoff Weiß,",
SKU-8414659629,4052138007280,job-improve,update,74,67,priority_a_missing_in_title|priority_a_not_in_first_60,,"Trotec Kombifilter für AirgoClean 170 E Luftreiniger, HEPA Aktivkohle, NEU","Trotec Kombifilter 7.160.00.530 Filtervlies, Aktivkohle Schwarz NEU",
SKU-2191775022,4053202268477,job-improve,update,73,39,priority_a_missing_in_title|priority_a_not_in_first_60,,ZF Automatikgetriebeöl Lifeguard Fluid 8 1L für PKW Getriebe TE-ML 11 Neu,ZF Automatikgetriebeöl 600083246 1L NEU,
SKU-0534200636,4053479285122,unknown,update,74,48,priority_a_missing_in_title|priority_a_not_in_first_60,,Würth Klingenschaber – Effiziente Rückstandsentfernung auf glatten Flächen,"Würth Klingenschaber 0714663351 Schwarz, Rot NEU",
SKU-6154185094,4062493735872,job-improve,update,75,65,priority_a_missing_in_title|priority_a_not_in_first_60,,LISAD Bekleidung Unisex Erwachsene Dunkelgrün Gr. XXL Robustes Material NEU,LISAD Bekleidung 1224CO233 UnisexErwachsene Gr.xxL Dunkelgrün NEU,
SKU-4885995332,4063217299953,job-improve,update,74,64,priority_a_missing_in_title|priority_a_not_in_first_60,,Heidelberger BETTWAREN Winterdecke Grönland 135x200 cm Weiß Extra Warm NEU,Heidelberger BETTWAREN Bettdecke 805067 200cm 135x200cm Weiß NEU,
