SKU,Localised For,Title,Subtitle,Product Description,Additional Info,Group Picture URL,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Picture URL 11,Picture URL 12,Picture URL 13,Picture URL 14,Picture URL 15,Picture URL 16,Picture URL 17,Picture URL 18,Picture URL 19,Picture URL 20,Picture URL 21,Picture URL 22,Picture URL 23,Picture URL 24,UPC,ISBN,EAN,MPN,Brand,ePID,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19,Attribute Name 20,Attribute Value 20,Attribute Name 21,Attribute Value 21,Attribute Name 22,Attribute Value 22,Attribute Name 23,Attribute Value 23,Attribute Name 24,Attribute Value 24,Attribute Name 25,Attribute Value 25,Attribute Name 26,Attribute Value 26,Attribute Name 27,Attribute Value 27,Attribute Name 28,Attribute Value 28,Attribute Name 29,Attribute Value 29,Attribute Name 30,Attribute Value 30,Condition,Condition Description,Measurement System,Length,Width,Height,Weight Major,Weight Minor,Package Type,Total Ship To Home Quantity,Channel Id,Category,Shipping Policy,Payment Policy,Return Policy,List Price,Max Quantity Per Buyer,Strikethrough Price,Minimum Advertised Price,Minimum Advertised Price Handling,Store Category Name 1,Store Category Name 2,Sold Off eBay,Sold On eBay,Apply Tax,Tax Category,VAT Percent,Include eBay Product Details,Domestic Shipping P1 Cost,Domestic Shipping P1 Additional Cost,Domestic Shipping P1 Surcharge,Domestic Shipping P2 Cost,Domestic Shipping P2 Additional Cost,Domestic Shipping P2 Surcharge,Domestic Shipping P3 Cost,Domestic Shipping P3 Additional Cost,Domestic Shipping P3 Surcharge,Domestic Shipping P4 Cost,Domestic Shipping P4 Additional Cost,Domestic Shipping P4 Surcharge,International Shipping P1 Cost,International Shipping P1 Additional Cost,International Shipping P1 Surcharge,International Shipping P2 Cost,International Shipping P2 Additional Cost,International Shipping P2 Surcharge,International Shipping P3 Cost,International Shipping P3 Additional Cost,International Shipping P3 Surcharge,International Shipping P4 Cost,International Shipping P4 Additional Cost,International Shipping P4 Surcharge,International Shipping P5 Cost,International Shipping P5 Additional Cost,International Shipping P5 Surcharge,Template Name,Custom Fields,Eligible For eBay Plus,
"SKU-1489693054","de_DE","16er Pack Gastgeschenke Salbeigrün für Brautparty Hochzeit Deko Partyzubehör",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Besonderheiten",,"Muster",,"Herstellernummer",,"Personalisieren",,"Anzahl der Einheiten",,"Breite",,"Duft",,"Gewicht",,"Herstellungsjahr",,"Höhe",,"Länge",,"Maßeinheit",,"Anleitung für Personalisierung",,"Anlass","Brautparty","Marke",,"Produktart","Gastgeschenk","Set enthält","Deko","Farbe","Salbeigrün","Stückzahl","16","Material",,"Thema","Hochzeit, Braut","Form",,"Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,33156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2365442999","de_DE","6er Set GN 1/6 Edelstahl Gastronormbehälter 2,4L – Stapelbar & Hygienisch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marke",,"Stil",,"Herstellernummer",,"Größe","GN 1/6","Stärke","0.7 mm","Anzahl der Einheiten","6","Maßeinheit","Stück","Ursprungsland","Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-1665721376","de_DE","7 O’Clock PARIS Glas-Set 15-teilig | Geriffelt mit Karaffe & Deckelgläsern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Anlass",,"Abteilung",,"Charakter Familie",,"Form",,"Höhe",,"Breite",,"Muster",,"Herstellernummer",,"Herstellergarantie",,"Anleitung für Personalisierung",,"Pflegeanleitung",,"Marke","7 O’Clock","Produktart","Glas","Set enthält","1 Karaffe, 2 Gläser mit Glasdeckel, 6 große Gläser, 6 kleine Gläs","Material","Glas","Glasgeschirrart","Gläser-Set","Gedeck für","6","Farbe","Transparent","Besonderheiten","Für Heißgetränke geeignet,Mit Deckel,Mit Strohhalm,Spülmaschinenfest","Kapazität","250 ml, 400 ml, 1550 ml","Thema","Essen & Trinken","Stil","Art déco","Ursprungsland",,"Anzahl der Teile","15","Design","Geriffelt","Modell","Paris","Gewicht","4,5 kg","Personalisieren","Nein","Anzahl der Einheiten","15",,,,,,,,,,,,20696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-7255766247","de_DE","Abercrombie Fitch T-Shirt Gr. L Herren 100% Baumwolle Mehrfarbig NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Besonderheiten",,"Modell",,"Größenkategorie",,"Aktivität",,"Vintage",,"Herstellernummer",,"Anlass",,"Brustumfang",,"Charakter Familie",,"Gewebeart",,"Handgefertigt",,"Herstellungsjahr",,"Jahreszeit",,"Kompressionsstufe",,"Kragenart",,"Produktlinie",,"Shirt-Länge",,"Signiert",,"Verschluss",,"Waschung",,"Marke","Abercrombie & Fitch","Produktart","T-Shirt","Größe","L","Passform","Regular Fit","Ärmellänge","Kurzarm","Thema","Logo","Farbe","Mehrfarbig","Abteilung","Herren","Stil","Basic",,,,,,,,,,,,179982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3586300359","de_DE","Ablaufschlauch Verlängerung L: 150 cm Ø 19 mm - für Wasch- & Spülmaschinen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Teile",,"Besonderheiten",,"Finish",,"Betriebsart",,"Breite",,"Tiefe",,"Markenkompatibilität",,"Modellkompatibilität",,"Herstellernummer",,"Kapazität",,"Höhe",,"Gewicht",,"Herstellergarantie",,"Leistung",,"Marke","Euro Part","Set enthält","Ablaufschlauch","Produktart","Ablaufschlauch","Geeignet für","Kodenstrockner,Schleudertrockner,Waschtrockner","Material","Kunststoff","Farbe","Grau","Modell","Flexibel","Ursprungsland","Deutschland","Installationsart","Freistehend","Anzahl der Einheiten","1","Maßeinheit","Einheit",,,,,,,,,,,,,,,,,,,,,,99697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5410787453","de_DE","acamp Hängesessel Schutzhülle: Ganzjähriger Premium Wetterschutz Ø110x200cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Form",,"Farbe",,"Breite",,"Besonderheiten",,"Länge",,"Höhe",,"Herstellungsjahr",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Modell",,"Pflegeanleitung",,"Geeignet für","Hängesessel","Marke","Acamp","Produktart","Schutzhülle","Material","Polyester","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-0139597304","de_DE","acamp Schutzhülle Cappa für Ampelschirme – Ganzjahresschutz bis 300cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Breite",,"Verschlussart",,"Herstellernummer",,"Anzahl der Einheiten",,"Gewicht",,"Herstellergarantie",,"Im Lieferumfang enthalten",,"Maßeinheit",,"Produktart","Schutzhülle","Farbe","Anthrazit","Höhe",,"Besonderheiten",,"Material","Polyester","Marke","Acamp","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2724878095","de_DE","acamp Schutzhülle Cappa für ovale Tische - Wasserdicht & UV-beständig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geeignet für",,"Form",,"Herstellungsjahr",,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Modell",,"Pflegeanleitung",,"Farbe","Anthrazit","Breite","160 cm","Besonderheiten","UV-Beständig","Marke","Acamp","Länge","160 cm","Höhe","160 cm","Produktart","Schutzhülle","Material","Polyestergewebe","Ursprungsland",,"Herstellernummer","57707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-7700165856","de_DE","acamp Sonnenschirm Schutzhülle: Premium Ganzjahresschutz bis 400cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Verschlussart",,"Herstellernummer",,"Anzahl der Einheiten",,"Gewicht",,"Herstellergarantie",,"Im Lieferumfang enthalten",,"Maßeinheit",,"Produktart","Sonnenschirm Schutzhülle","Farbe","Anthrazit","Breite","200 cm","Höhe","200 cm","Besonderheiten","Wasserdicht, Wetterfest, Frostbeständig","Material","Polyestergewebe","Marke","Acamp","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5928571392","de_DE","acamp Strandkorb Schutzhülle Cappa – Optimaler Ganzjahresschutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Form",,"Farbe",,"Breite",,"Besonderheiten",,"Länge",,"Höhe",,"Material",,"Herstellungsjahr",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Modell",,"Pflegeanleitung",,"Geeignet für","Strandkorb","Marke","Acamp","Produktart","Premium","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
