id_category;DE_level_1_title_category;DE_level_2_title_category;DE_level_3_title_category;DE_level_4_title_category;DE_level_5_title_category;DE_level_6_title_category;DE_level_7_title_category;DE_level_8_title_category;DE_level_9_title_category
8321;Baby & Kind ;;;;;;;;
68962;Baby & Kind ;Babyartikel;;;;;;;
8381;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;;;;;;
8891;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babywippen;;;;;
2951;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;;;;;
64391;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Baby- & Kinder-Bettlaken;;;;
57801;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Baby-Bettsets;;;;
57921;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Babybettwäsche;;;;
57791;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Babymatratzen;;;;
57781;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Babyschlafsäcke;;;;
57811;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Betthimmel;;;;
5631;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Beistellbetten;;;;
5601;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Wiegen;;;;
57761;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Nestchen;;;;
5641;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Gitterbetten;;;;
57941;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Betteinlagen;;;;
5611;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Babybetten;Reisebetten;;;;
2871;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Etagenbetten;;;;;
55101;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Wickelkommoden;;;;;
2911;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderbetten;;;;;
3301;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderzimmer;;;;;
5821;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kindersessel;;;;;
6001;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kindersitzsäcke;;;;;
65931;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderbänke;;;;;
4021;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderschränke;;;;;
4291;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderstühle;;;;;
63101;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kindergarderoben;;;;;
46091;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderschreibtische;;;;;
4271;Baby & Kind ;Babyartikel;Baby- & Kindermöbel;Kinderhochstühle;;;;;
