productId,sku,title,title_len,brand,category,barcode_count,invalid_barcodes,nonstandard_barcodes,flags
00442039661193,SKU-7225351886,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Tierbedarf",75,COZII,Tierbedarf > Hunde > Betten & Möbel > Hundepools,0,,,barcode_missing|category_id_missing
0060cdec-9193-411b-af64-4754ca0226bd,SKU-1844691476,"Thule Rucksack Darkest Blue – Robust, vielseitig & nachhaltig für Alltag",72,Thule,Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke,1,,,
0099557e-b9f0-45a4-9c7c-d6418e7daac5,SKU-2250869990,HENMI Fahrradständer HMF-B03 verstellbar Schwarz Neu für diverse Fahrräder,74,HENMI,Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung,1,,,
0196214105119,SKU-4310621602,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch,75,Pokémon,"Sammeln & Seltenes > Sammelkartenspiele/TCGs > TCG Zubehör > TCG Ordner, Sammelmappen & -hüllen",1,,,
03142017000003,SKU-9947386415,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU,76,Weber,Sport > Angelsport > Zubehör > Räucheröfen & -utensilien,0,,,barcode_missing
04052938000016,SKU-4641833225,Pierburg Luftmassenmesser 7.22184.39.0 Schwarz Kunststoff NEU Nein Heimwerker,77,Pierburg,Heimwerker > Werkzeuge > Handwerkzeuge > Messer,2,,,
0700153955478,SKU-2014012963,"3rd Avenue Akustikgitarre STX10ASBPK2, Fichtenholz Decke, Lindenholz, Sunburst",78,3rd Avenue,Spielzeug > Holzspielzeug > Musikinstrumente,1,,,
07901010300000,SKU-2097206690,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN Bluetooth,70,Generisch,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",0,,,barcode_missing
0810123671069,SKU-1890172110,"Levoit Luftbefeuchter Classic 160: Gesundes Raumklima, leise, Top-Fill",70,Levoit,Haushaltsgeräte > Klimaanlagen & Heizgeräte,2,,,
09be7756-7b4f-4dda-bda0-799754052fff,SKU-3671103995,"SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda",79,SACHS,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domlager,1,,,
1004200304684,SKU-4955195373,LIQUI MOLY Motoröl 10W-40 Mineralisch 4L für Motorrad 4-Takt Motoren MPN 3046,77,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",1,,,
1011190149611,SKU-3023625088,"Hochwertiges 15-tlg Gewindereparaturset M14x1,5 Werkzeugsatz für Reparaturen",76,Unbekannt,Unkategorisiert,1,,,category_id_missing|category_text_not_breadcrumb
14006633314036,SKU-7591395419,ATE Bremsscheibe 24.0125-0184.1 für Audi 314 mm NEU Gr. 314 mm Nein 314x25mm,76,ATE,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,1,,,
1472920275814,SKU-7995751556,IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,72,IKEA,Möbel & Wohnen > Möbel > Regale & Aufbewahrung,1,,,
14f93c3a-6902-4da3-8a00-991a13958570,SKU-2064038107,FNTCASE Schutzhülle für Apple iPhone 16 Pro Grau Stoßfest MagSafe-kompatibel NEU,80,FNTCASE,Handyhüllen,0,,,barcode_missing|category_id_missing|category_text_not_breadcrumb
1507000192029,SKU-6705970836,BOOST TOWN Ladeluftrohr Ansaugrohr Kit 1507000192029 Hyundai Kona/i30N Rot Gebr.,80,BOOST TOWN,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme",1,,,
