productId,sku,chosen_in_apply,last_saved_source,dq_backfilled,dq_rollback,baseline_title,current_title,baseline_brand,current_brand,baseline_category,current_category,baseline_barcode,current_identifiers,current_barcodes,diffs
03142017000003,SKU-9947386415,077924021268,barcode-rollback,077924021268,077924021268,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU,Weber,Weber,"Business & Industrie > Agrar, Forst & Kommune > Spezial-Landwirtschaft > Fischwirtschaft > Räucheröfen",Sport > Angelsport > Zubehör > Räucheröfen & -utensilien,,,,category_changed
4043962306996,SKU-8927251416,4048962306996,barcode-rollback,4048962306996,4048962306996,fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,fischer,fischer,Business & Industrie > Werkzeuge & Werkstattbedarf > Elektrowerkzeug-Zubehör > Bohrer,Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör > Bohrer-Bits,,,,category_changed
57380a89-b13c-470c-8167-aa51b43eb78e,SKU-5329605855,749699132219,barcode-rollback,749699132219,749699132219,"Ernie Ball E-Gitarrensaiten Regular Slinky 3221 - Saitenstärke 10-46, 3er-Pack","Ernie Ball E-Gitarrensaiten Regular Slinky 3221 - Saitenstärke 10-46, 3er-Pack",Ernie Ball,Ernie Ball,,Musikinstrumente > Gitarren & Bässe > Zubehör > Saiten,,,,
5820082016105,SKU-5753016417,4039378396282,barcode-rollback,4039378396282,4039378396282,"Audi Fußmatten Set Vorne, Hinten NEU Q5 8R Schwarz Velours Audi Q5 8R Nein","Audi Fußmatten Set Vorne, Hinten NEU Q5 8R Schwarz Velours Audi Q5 8R Nein",Audi,Audi,Sammeln & Seltenes > Reklame & Werbung > Branchen & Marken > Auto & Motorrad,"Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Fußmatten, Teppiche & Laderaumwannen",,,,category_changed
7778bbb4-0a11-414b-a323-1573ab313f48,SKU-6044260478,4057635116510,barcode-rollback,4057635116510,4057635116510,"MAHLE Ausgleichsbehälter 8MA 376 783-494 für VW Transporter, Kunststoff Weiß","MAHLE Ausgleichsbehälter 8MA 376 783-494 für VW Transporter, Kunststoff Weiß NEU",MAHLE,MAHLE,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter,Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter,,,,title_changed
SKU-0362404564,SKU-0362404564,799947786411,barcode-rollback,799947786411,799947786411,UBRAVOO Kindersitzerhöhung mit Tablett – Sicher & Mobil für Mahlzeiten,UBRAVOO Kindersitzerhöhung mit Tablett – Sicher & Mobil für Mahlzeiten NEU,UBRAVOO,UBRAVOO,Baby > Auto-Kindersitze & Zubehör,Baby > Auto-Kindersitze & Zubehör,,,,title_changed
SKU-0611814591,SKU-0611814591,3666354875601,barcode-rollback,3666354875601,3666354875601,"Lacoste Hoodie Marineblau Gr. M (US) / FR 4 84% Baumwolle, 16% Polyester NEU","Lacoste Hoodie Marineblau Gr. M (US) / FR 4 84% Baumwolle, 16% Polyester NEU",Lacoste,Lacoste,Kleidung & Accessoires > Herren > Herrenmode,Kleidung & Accessoires > Herren > Herrenmode,,,,
SKU-0651722148,SKU-0651722148,4710069709498,barcode-rollback,4710069709498,4710069709498,"Topeak Oberrohrtasche Bento Pack TC2333B Schwarz Robustes, wasserabweisendes","Topeak Oberrohrtasche Bento Pack TC2333B Schwarz Robustes, wasserabweisendes NEU",Topeak,Topeak,Sport > Radsport > Fahrradzubehör > Fahrradtaschen,Sport > Radsport > Fahrradzubehör > Fahrradtaschen,,,,title_changed
SKU-2609353370,SKU-2609353370,8009271567993,barcode-rollback,8009271567993,8009271567993,PROGARDEN Pflege Anthrazit Polypropylen (PP) NEU Gr. 110 cm Gartenbank,PROGARDEN Pflege Anthrazit Polypropylen (PP) NEU Gr. 110 cm Gartenbank,PROGARDEN,PROGARDEN,Baby > Pflege,Baby > Pflege,,,,
SKU-2965430996,SKU-2965430996,4255664833709,barcode-rollback,4255664833709,4255664833709,Beliani Beistelltisch CAORIA: Eleganter Terrazzo-Blickfang für Innen & Außen,Beliani Beistelltisch CAORIA: Eleganter Terrazzo-Blickfang für Innen & Außen NEU,Beliani,Beliani,,Möbel & Wohnen > Möbel > Tische & Stehtische,,,,title_changed
