baselinker_category_id;baselinker_breadcrumb
6488230;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste
6488231;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer
6488241;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen
6488243;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager
6488246;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player
6488247;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios
6488251;Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Anlasser
6488252;Auto & Motorrad > Autoteile & Zubehör > Autoelektrik > Batterien
6488254;Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge
6488255;Auto & Motorrad > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben
6488181;Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung
6488257;Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen
6488258;Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen
6488259;Auto & Motorrad > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen
6488261;Auto & Motorrad > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile
6488182;Auto & Motorrad > Autoteile & Zubehör > Innenausstattung
6488263;Auto & Motorrad > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze
6488328;Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel
6488331;Auto & Motorrad > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren
6488183;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile
6488335;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe
6488337;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze
6488266;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits
6488342;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen
6488267;Auto & Motorrad > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter
6488269;Auto & Motorrad > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter
6488187;Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör
6488270;Auto & Motorrad > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme
