sku;normSku;avy_product_id;bl_product_id;avy_title;bl_title;avy_category;bl_category;bl_category_id
SKU-8133187753;8133187753;SKU-8133187753;449821041;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot NEU;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot NEU;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken;;
SKU-0172791378;0172791378;SKU-0172791378;449821071;Lululemon Yogamatte LU9AVOS BLK NEU;Lululemon Yogamatte LU9AVOS BLK NEU;Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten;;
SKU-9627368343;9627368343;SKU-9627368343;449821110;d-c-fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff NEU;d-c-fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff NEU;Möbel & Wohnen > Rollos, Gardinen & Vorhänge > Fensterfolien;;
SKU-3588671475;3588671475;SKU-3588671475;449821152;Ratschen-Werkzeug Multi-Tool (Ratchet TT2628;Topeak Ratschen-Werkzeug Multi-Tool (Ratchet TT2628 Stahl Textil Schwarz;Sport > Radsport > Fahrradreparatur & Werkzeug > Werkzeug;;
SKU-7499091535;7499091535;SKU-7499091535;449821192;Plancha-GrillplattexL Metall nicht angegeben;Ninja Plancha-Grillplatte XL XSKOGXLFPLTEU nicht angegeben Metall NEU;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör;;
SKU-9073986145;9073986145;SKU-9073986145;449821228;RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business;RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business;Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Ersatzteile;;
SKU-4996518676;4996518676;SKU-4996518676;449821266;Radsport Satteltasche BAG29601;Topeak Radsport Satteltasche BAG29601 NEU;Sport > Radsport > Fahrradzubehör > Transportkoffer/-taschen;;
SKU-4930006198;4930006198;SKU-4930006198;449821333;Tillvex Poolschlauch NEU;Tillvex Poolschlauch NEU;Heimwerker > Schwimmbecken, Saunen & Außenwhirlpools > Schwimmbeckenbedarf;;
SKU-9603350817;9603350817;SKU-9603350817;449821382;Füllfederhalter Universal Metall Kunststoff NEU;Füllfederhalter Universal Metall Kunststoff NEU;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Schreiben & Korrigieren > Füllfederhalter;;
SKU-0651722148;0651722148;SKU-0651722148;449821438;Oberrohrtasche TC2333B;Topeak Oberrohrtasche TC2333B NEU;Sport > Radsport > Fahrradzubehör > Fahrradtaschen;;
SKU-4820097368;4820097368;SKU-4820097368;449821480;CRBTUMI Rolltop Rucksack NEU;CRBTUMI Rolltop Rucksack NEU;Sport > Sporttaschen & Rucksäcke > Rucksäcke;;
SKU-6558668236;6558668236;SKU-6558668236;449821521;Blumtal Doppelrollo Lila 100% Polyester SKU-6558668236 NEU;Blumtal Doppelrollo Lila 100% Polyester SKU-6558668236 NEU;Spielzeug > Bären, -kleidung & Zubehör > Bärenkleidung & Accessoires;;
SKU-9834509499;9834509499;SKU-9834509499;449821560;MSV Handtuchhalter Schwarz Metall NEU;MSV Handtuchhalter Schwarz Metall NEU;Möbel & Wohnen > Kindermöbel & Wohnen > Badzubehör & -textilien;;
SKU-4561934561;4561934561;SKU-4561934561;449821605;GLOCK Waffenkoffer SKU-4561934561;GLOCK Waffenkoffer SKU-4561934561;Sport > Funsport > Airsoft > Waffen > Pistolen;;
SKU-5687802687;5687802687;SKU-5687802687;449821653;Homerella Badewanneneinlage UNIFLOW 88cm Alle Altersgruppen Gr. 88x39cm PVC;Homerella Badewanneneinlage UNIFLOW 88cm Alle Altersgruppen Gr. 88x39cm PVC;Möbel & Wohnen > Badezimmer > Dusch- & Badewannenzubehör > Anti-Rutsch-Lösungen;;
SKU-0310087435;0310087435;SKU-0310087435;449821704;Villa Grinario Spannbettlaken SZ01 02144001 866200 104551 Erwachsene Ecru;Villa Grinario Spannbettlaken SZ01 02144001 866200 104551 Erwachsene Ecru;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen;;
