sku;normSku;avy_product_id;bl_product_id;avy_title;bl_title;avy_category;bl_category;bl_category_id
SKU-8133187753;8133187753;SKU-8133187753;449821041;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot NEU;GULNABIO Spannbettlaken Gr. 100x200cm Baumwolle Rot NEU;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken;6406974
SKU-0172791378;0172791378;SKU-0172791378;449821071;Lululemon Yogamatte LU9AVOS BLK;Lululemon Yogamatte LU9AVOS BLK NEU;Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten;Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten;6407449
SKU-9627368343;9627368343;SKU-9627368343;449821110;d-c-fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff NEU;d-c-fix Energiesparfolie 333-0000 90x200cm Erwachsene Kunststoff NEU;Möbel & Wohnen > Rollos, Gardinen & Vorhänge > Fensterfolien;Möbel & Wohnen > Rollos, Gardinen & Vorhänge > Fensterfolien;6406994
SKU-3588671475;3588671475;SKU-3588671475;449821152;Ratschen-Werkzeug Multi-Tool (Ratchet TT2628;Topeak Ratschen-Werkzeug Multi-Tool (Ratchet TT2628 Stahl Textil Schwarz;Sport > Radsport > Fahrradreparatur & Werkzeug > Werkzeug;Sport > Radsport > Fahrradreparatur & Werkzeug > Werkzeug;6407455
SKU-7499091535;7499091535;SKU-7499091535;449821192;Plancha-GrillplattexL Metall nicht angegeben;Ninja Plancha-Grillplatte XL XSKOGXLFPLTEU nicht angegeben Metall NEU;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör;Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör;6406863
SKU-9073986145;9073986145;SKU-9073986145;449821228;RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business;RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business;Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Ersatzteile;Garten & Terrasse > Motor-Gartengeräte & -zubehör > Kettensägen-Ersatzteile;6406869
SKU-4996518676;4996518676;SKU-4996518676;449821266;Radsport Satteltasche BAG29601;Topeak Radsport Satteltasche BAG29601 NEU;Sport > Radsport > Fahrradzubehör > Transportkoffer/-taschen;Sport > Radsport > Fahrradzubehör > Transportkoffer/-taschen;6407468
SKU-4930006198;4930006198;SKU-4930006198;449821333;Tillvex Poolschlauch NEU;Tillvex Poolschlauch NEU;Heimwerker > Schwimmbecken, Saunen & Außenwhirlpools > Schwimmbeckenbedarf;Heimwerker > Schwimmbecken, Saunen & Außenwhirlpools > Schwimmbeckenbedarf;6406934
SKU-9603350817;9603350817;SKU-9603350817;449821382;Füllfederhalter Universal Metall Kunststoff NEU;Füllfederhalter Universal Metall Kunststoff NEU;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Schreiben & Korrigieren > Füllfederhalter;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Schreiben & Korrigieren > Füllfederhalter;6407215
SKU-0651722148;0651722148;SKU-0651722148;449821438;Oberrohrtasche TC2333B;Topeak Oberrohrtasche TC2333B NEU;Sport > Radsport > Fahrradzubehör > Fahrradtaschen;Sport > Radsport > Fahrradzubehör > Fahrradtaschen;6407465
SKU-4820097368;4820097368;SKU-4820097368;449821480;CRBTUMI Rolltop Rucksack NEU;CRBTUMI Rolltop Rucksack NEU;Sport > Sporttaschen & Rucksäcke > Rucksäcke;Sport > Sporttaschen & Rucksäcke > Rucksäcke;6407080
