canonical_category_id,canonical_breadcrumb,depth,merged_count,merged_category_ids,source_roots
6406743,Auto & Motorrad,1,5,6406743|6406748|6406751|6407016|6406729,Auto & Motorrad|Auto & Motorrad: Fahrzeuge|Auto & Motorrad: Teile|Motorradteile|Motorradzubehör
6406730,Auto & Motorrad > Abdeckplanen,2,1,6406730,Motorradzubehör
6406752,Auto & Motorrad > Auto-Anbau- & -Zubehörteile,2,1,6406752,Auto & Motorrad: Teile
6406753,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,3,1,6406753,Auto & Motorrad: Teile
6407099,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,4,1,6407099,Auto & Motorrad: Teile
6407100,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,4,1,6407100,Auto & Motorrad: Teile
6407102,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,3,1,6407102,Auto & Motorrad: Teile
6407104,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,4,1,6407104,Auto & Motorrad: Teile
6407105,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile,2,1,6407105,Auto & Motorrad: Teile
6407106,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,3,1,6407106,Auto & Motorrad: Teile
6407107,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,4,1,6407107,Auto & Motorrad: Teile
6407108,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung,3,1,6407108,Auto & Motorrad: Teile
6407109,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel,4,1,6407109,Auto & Motorrad: Teile
6407111,Auto & Motorrad > Auto-Tuning & -Styling,2,1,6407111,Auto & Motorrad: Teile
6407112,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe,3,1,6407112,Auto & Motorrad: Teile
6407113,Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen,4,1,6407113,Auto & Motorrad: Teile
6407114,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung,3,1,6407114,Auto & Motorrad: Teile
6407115,Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager,4,1,6407115,Auto & Motorrad: Teile
6407116,"Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik",2,1,6407116,Auto & Motorrad: Teile
6407117,"Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment",3,1,6407117,Auto & Motorrad: Teile
6407118,"Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player",4,1,6407118,Auto & Motorrad: Teile
