category_id,breadcrumb,canonical_breadcrumb,canonical_category_id,action
6406743,Auto & Motorrad,Auto & Motorrad,6406743,keep
6406748,Auto & Motorrad: Fahrzeuge,Auto & Motorrad,6406743,merge_into_canonical
6406751,Auto & Motorrad: Teile,Auto & Motorrad,6406743,merge_into_canonical
6407016,Motorradteile,Auto & Motorrad,6406743,merge_into_canonical
6406729,Motorradzubehör,Auto & Motorrad,6406743,merge_into_canonical
6406730,Motorradzubehör > Abdeckplanen,Auto & Motorrad > Abdeckplanen,6406730,keep
6406752,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile,Auto & Motorrad > Auto-Anbau- & -Zubehörteile,6406752,keep
6406753,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung,6406753,keep
6407099,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste,6407099,keep
6407100,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer,6407100,keep
6407102,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen,6407102,keep
6407104,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör,6407104,keep
6407105,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile,6407105,keep
6407106,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur,6407106,keep
6407107,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel,6407107,keep
6407108,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Kühlung,Auto & Motorrad > Auto-Ersatz- & -Reparaturteile > Kühlung,6407108,keep
