category_id,parent_id,name,breadcrumb
6406743,0,Auto & Motorrad,Auto & Motorrad
6467208,6406743,KFZ-Ersatzteile,Auto & Motorrad > KFZ-Ersatzteile
6470665,6467208,"Antrieb, Motoren & Getriebe","Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe"
6470666,6470665,Luft- & Kraftstoffversorgung,"Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > Luft- & Kraftstoffversorgung"
6467351,6467208,Karosserieteile,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile
6467477,6467351,Außenspiegel & Zubehör,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Außenspiegel & Zubehör
6467352,6467351,Kraftrad-Verkleidungen,Auto & Motorrad > KFZ-Ersatzteile > Karosserieteile > Kraftrad-Verkleidungen
6467250,6467208,KFZ-Federungen & Dämpfungen,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen
6467251,6467250,Federbeine & Stoßdämpfer,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Federungen & Dämpfungen > Federbeine & Stoßdämpfer
6467209,6467208,KFZ-Klimaanlagen & Zubehör,Auto & Motorrad > KFZ-Ersatzteile > KFZ-Klimaanlagen & Zubehör
6407096,6406743,KFZ-Pflege & -Wartung,Auto & Motorrad > KFZ-Pflege & -Wartung
6467371,6407096,KFZ-Außenreinigung  & -pflege,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung  & -pflege
6467372,6467371,Farben & Autolacke,Auto & Motorrad > KFZ-Pflege & -Wartung > KFZ-Außenreinigung  & -pflege > Farben & Autolacke
6407097,6407096,Motorreinigung & -pflege,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege
6407098,6407097,Motoröle,Auto & Motorrad > KFZ-Pflege & -Wartung > Motorreinigung & -pflege > Motoröle
6467422,6406743,KFZ-Werkzeuge,Auto & Motorrad > KFZ-Werkzeuge
6467423,6467422,Diagnosegeräte,Auto & Motorrad > KFZ-Werkzeuge > Diagnosegeräte
6467425,6406743,KFZ-Zubehör,Auto & Motorrad > KFZ-Zubehör
6467426,6467425,Auto-Grundausstattungen,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen
6467427,6467426,Wagenheber,Auto & Motorrad > KFZ-Zubehör > Auto-Grundausstattungen > Wagenheber
6467479,6467425,KFZ-Gepäckträger & -boxen,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen
6467480,6467479,Dachboxen,Auto & Motorrad > KFZ-Zubehör > KFZ-Gepäckträger & -boxen > Dachboxen
6406744,6406743,Öle & Flüssigkeiten,Auto & Motorrad > Öle & Flüssigkeiten
6406745,6406744,Motoröle,Auto & Motorrad > Öle & Flüssigkeiten > Motoröle
6406746,6406743,Wohnmobil- & Caravan-Teile & Zubehör,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör
6406747,6406746,Kühlboxen & Kühlschränke,Auto & Motorrad > Wohnmobil- & Caravan-Teile & Zubehör > Kühlboxen & Kühlschränke
6406748,0,Auto & Motorrad: Fahrzeuge,Auto & Motorrad: Fahrzeuge
6406749,6406748,Motorräder,Auto & Motorrad: Fahrzeuge > Motorräder
6406750,6406749,Roller,Auto & Motorrad: Fahrzeuge > Motorräder > Roller
6406751,0,Auto & Motorrad: Teile,Auto & Motorrad: Teile
6406752,6406751,Auto-Anbau- & -Zubehörteile,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile
6406753,6406752,Autopflege & Aufbereitung,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung
6407099,6406753,Eiskratzer & Schneebürste,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste
6407100,6406753,Lufterfrischer,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer
6407102,6406752,Dachträger & Dachboxen,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen
6407104,6407102,Dachträger-Zubehör,Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Dachträger & Dachboxen > Dachträger-Zubehör
6407105,6406751,Auto-Ersatz- & -Reparaturteile,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile
6407106,6407105,Karosserie & Exterieur,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur
6407107,6407106,Außenspiegel,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Karosserie & Exterieur > Außenspiegel
6407108,6407105,Kühlung,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Kühlung
6407109,6407108,Frostschutzmittel,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Kühlung > Frostschutzmittel
6407111,6406751,Auto-Tuning & -Styling,Auto & Motorrad: Teile > Auto-Tuning & -Styling
6407112,6407111,Sport-Getriebe,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe
6407113,6407112,Antriebswellen,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen
6407114,6407111,Sportfederung,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung
6407115,6407114,Domlager,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domlager
6407116,6406751,"Autoelektronik, GPS & Sicherheitstechnik","Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik"
6407117,6407116,Autoentertainment,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment"
6407118,6407117,Auto DVD Player,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player"
6407119,6407117,Autoradios,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios"
6406754,6406751,Autoteile & Zubehör,Auto & Motorrad: Teile > Autoteile & Zubehör
6407120,6406754,Auspuff- & Abgassysteme,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme
6407121,6407120,Lambdasonden & O2-Sensoren,Auto & Motorrad: Teile > Autoteile & Zubehör > Auspuff- & Abgassysteme > Lambdasonden & O2-Sensoren
6407122,6406754,Autoelektrik,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik
6407123,6407122,Anlasser,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser
6407124,6407122,Batterien,Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Batterien
6407125,6406754,Bremsen & Bremsenteile,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile
6407126,6407125,Bremsbeläge,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge
6407127,6407125,Bremsscheiben,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben
