sku;avy_id;bl_product_id;before_brand;after_brand;bl_brand;before_title;after_title;bl_title;bucket;title_issues;apply_avy;apply_bl
SKU-9400450055;0402019292922;486559124;ALKAR;ALKAR;ALKAR;ALKAR Außenspiegel Rechts für Fiat Citroën Peugeot 9202922 elektrisch;ALKAR Außenspiegel Rechts für Fiat Ducato, Citroën Jumper, Peugeot Boxer 9202922;ALKAR Außenspiegel Rechts für Fiat Ducato, Citroën Jumper, Peugeot Boxer 9202922;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-1890172110;0810123671069;465111098;Levoit;Levoit;Levoit;Levoit Luftbefeuchter Ultraschall-Kaltnebel;Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU;Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU;Küche & Haushalt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-3671103995;09be7756-7b4f-4dda-bda0-799754052fff;467385468;SACHS;SACHS;SACHS;SACHS Reparatursatz Federbeinstützlager Vorderachse Links Rechts 802 472 019;SACHS Federbeinstützlager Reparatursatz vorne für Ford Fiesta V 802 472 019;SACHS Federbeinstützlager Reparatursatz vorne für Ford Fiesta V 802 472 019;Auto & Motorrad (Teile);priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-4955195373;1004200304684;473049813;LIQUI MOLY;LIQUI MOLY;LIQUI MOLY;LIQUI MOLY Motoröl für 4-Takt-Motorräder 3046 10W-40 4 Liter 10W;LIQUI MOLY Motoröl 10W-40 4L für 4-Takt-Motorräder 3046;LIQUI MOLY Motoröl 10W-40 4L für 4-Takt-Motorräder 3046;Auto & Motorrad (Teile);title_too_short;no;no
SKU-5246852701;11850025732208;484714743;RELION;RELION;RELION;RELION Lithium Eisenphosphat Batterie 48V030-GC2 51.2V Ungeprüft;RELION Lithium Eisenphosphat Batterie 51.2V 30Ah für Insight Series 48V030-GC2;RELION Lithium Eisenphosphat Batterie 51.2V 30Ah für Insight Series 48V030-GC2;Auto & Motorrad (Teile);;no;no
SKU-6705970836;1507000192029;467380161;BOOST TOWN;BOOST TOWN;BOOST TOWN;BOOST TOWN Offene Ansaugung Motorraum für Hyundai Vor-Facelift;BOOST TOWN Offene Ansaugung Motorraum für Hyundai i30N Vor-Facelift ABE;BOOST TOWN Offene Ansaugung Motorraum für Hyundai i30N Vor-Facelift ABE;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-8902752253;1900201150572;467513300;ATE;ATE;ATE;ATE Bremsscheibe Vorderachse 28mm für Hyundai Kia 24 24.0128-0248.1;ATE Bremsscheibe 321mm für Hyundai Kia Vorderachse OE 24.0128-0248.1;ATE Bremsscheibe 321mm für Hyundai Kia Vorderachse OE 24.0128-0248.1;Auto & Motorrad (Teile);title_too_short|priority_a_missing_in_title;no;no
SKU-5134751391;20221705000003;489024185;Intelamp;Intelamp;intelamp;Solar-Straßenleuchte 190mm Garten Wege Einfahrten öffentliche Plätze;Intelamp Solar-Außenleuchte Wandmontage 1200 LM MotionSensor Schwarz NEU;Intelamp Solar-Außenleuchte Wandmontage 1200 LM MotionSensor Schwarz NEU;Haus, Garten & Baumarkt;priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-1164276787;2024010542503;492850567;VEVOR;VEVOR;VEVOR;VEVOR Kompressor Kühlbox für KFZ Wohnmobil Camping -20°C 12/24V 230V Komp;VEVOR Kompressor Kühlbox CF55-V2 -20°C für KFZ Wohnmobil Camping 55L;VEVOR Kompressor Kühlbox CF55-V2 -20°C für KFZ Wohnmobil Camping 55L;Auto & Motorrad (Teile);title_too_short;no;no
SKU-4603086544;20240129000072;467513707;URVOLAx;URVOLAx;URVOLAX;URVOLAx CarPlay Display UR73C;URVOLAx UR73C CarPlay Display 10.26 Zoll Plug-and-Play für Fahrzeug-Entertainment;URVOLAx UR73C CarPlay Display 10.26 Zoll Plug-and-Play für Fahrzeug-Entertainment;Auto & Motorrad (Teile);title_too_long|priority_a_missing_in_title;no;no
SKU-6761538665;2452014202112;467527271;BMW;BMW;BMW;BMW Fußmatten Vorne Hinten für 2er Active Tourer 2452014202112;BMW Fußmatten 4-teilig Maßgeschneidert für 2er F45 Active Tourer 2452014202112;BMW Fußmatten 4-teilig Maßgeschneidert für 2er F45 Active Tourer 2452014202112;Auto & Motorrad (Teile);priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-0704619212;25004695020111;487365277;Silicon Power;Silicon Power;Silicon Power;Silicon Power SP256GBSS3A55S25 SSD 256GB 7mm sata;Silicon Power SSD SP256GBSS3A55S25 256GB 7mm sata NEU;Silicon Power SSD SP256GBSS3A55S25 256GB 7mm sata NEU;Elektronik & Computer;title_too_short|order_priority_a;no;no
SKU-3982672342;2810449728013;467473504;Smart Car Radio;Smart Car Radio;Smart Car Radio;Smart Car Radio Autoradio für Dongguan Lixinhang Electronics Co. Ltd;Dongguan Lixinhang 7 Zoll Android Autoradio für Smart Car Radio 6S9701P;Dongguan Lixinhang 7 Zoll Android Autoradio für Smart Car Radio 6S9701P;Auto & Motorrad (Teile);priority_a_missing_in_title|order_priority_a;no;no
SKU-9247228090;2d1365d3-cea9-4187-8daa-ea7ed01bf2a2;497952264;Sodastream;Sodastream;SodaStream;Sodastream CO2 Zylinder Schnellverschluss 60 Liter Sprudelwasser;Sodafixx CO2 Zylinder;Sodafixx CO2 Zylinder;Küche & Haushalt;title_too_short|priority_a_missing_in_title|priority_a_not_in_first_60;no;no
SKU-5868736484;3322937241712;467473506;TRW;TRW;TRW;TRW Bremsbelagsatz Hinterachse 17 GDB1330;TRW Bremsbelagsatz Hinterachse für VW Polo, Seat Leon, Skoda Octavia GDB1330;TRW Bremsbelagsatz Hinterachse für VW Polo, Seat Leon, Skoda Octavia GDB1330;Auto & Motorrad (Teile);priority_a_missing_in_title;no;no
SKU-2267173123;3374650257716;473188306;MOTUL;MOTUL;MOTUL;MOTUL Motoröl 106376 8100x-clean SAE 5W-30 1 Liter 5W;MOTUL 8100 X-clean+ SAE 5W-30 Motoröl für BMW Mercedes Porsche VW 106376;MOTUL 8100 X-clean+ SAE 5W-30 Motoröl für BMW Mercedes Porsche VW 106376;Auto & Motorrad (Teile);;no;no
SKU-5896801162;3662775243128;467473616;KYOTO;KYOTO;KYOTO;KYOTO Motorradbatterie für Motorrad Roller GTx5L-BS 12 12V Motorradbatt;KYOTO Motorradbatterie GTX5L-BS 12V 4Ah für Motorrad Roller [512050];KYOTO Motorradbatterie GTX5L-BS 12V 4Ah für Motorrad Roller [512050];Auto & Motorrad (Teile);title_too_short;no;no
