sku,productId,qty,bin,eligible,baselinker_linked,last_saved_source,title
SKU-7538503265,00174600185032,0,,no,yes,script:backfill-normalize-products,COM40 Limited sp Ersatz-Sitzkissen C22/S02 C001746 Möbelzubehör Textil NEU
SKU-7225351886,00442039661193,1,XGA0102D,yes,yes,script:backfill-normalize-products,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Robust"
SKU-1844691476,0060cdec-9193-411b-af64-4754ca0226bd,1,XGA0201B,yes,yes,script:backfill-normalize-products,Thule Rucksack 3205317 Darkest Blue NEU
SKU-9129624671,00872299043330,1,XGA0301C,yes,yes,script:backfill-normalize-products,Thule Gepäckträger Chariot Cargo Rack 2 20201512 Schwarz NEU 3kg Traglast
SKU-2231367173,0098931289601,1,XGA0501D,yes,yes,script:backfill-normalize-products,Bedrop Bienengiftsalbe Bee Cream 100g NEU
SKU-2250869990,0099557e-b9f0-45a4-9c7c-d6418e7daac5,1,XGA0105B,yes,yes,script:backfill-normalize-products,HENMI Fahrradständer Universal Seitenständer HMF-B03 verstellbar Schwarz NEU
SKU-4310621602,0196214105119,0,,no,yes,script:backfill-normalize-products,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch
SKU-7255766247,0198303486543,1,XGA0501D,yes,yes,script:backfill-normalize-products,Abercrombie Fitch T-Shirt Gr. L Herren 100% Baumwolle Mehrfarbig NEU
SKU-4846246443,0250237001502,0,,no,no,script:backfill-normalize-products,Quooker CO2-Zylinder Set mit 4 Kartuschen Metall 425g 60L Silber NEU
SKU-9947386415,03142017000003,1,XGA0203E,yes,yes,script:backfill-normalize-products,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU
SKU-9400450055,0402019292922,1,XGA0403C,yes,yes,script:backfill-normalize-products,ALKAR Außenspiegel 9202922 Fiat Citroën Peugeot Rechts elektrisch NEU
SKU-4641833225,04052938000016,1,XGA0106B,yes,yes,script:backfill-normalize-products,Pierburg Luftmassenmesser 7.22184.39.0 Kunststoff Schwarz NEU
SKU-6031918857,0615272916159,12,XGA0401C,yes,yes,script:backfill-normalize-products,SORAKO Exzenterschleifer 350W Kabelgebunden 16 Schleifpapiere NEU
SKU-1736818518,0652ed9b-7af0-4390-809b-ab3ae8a75fdd,0,,no,no,script:backfill-normalize-products,Philips Heißluftfritteuse Essential 6.2 Liter 2000 Watt 6.2L 2000W Schwarz
SKU-2014012963,0700153955478,0,,no,yes,script:backfill-normalize-products,"3rd Avenue Akustikgitarre STX10ASBPK2, Fichtenholz Decke, Lindenholz, Sunburst"
SKU-2097206690,07901010300000,0,,no,yes,script:backfill-normalize-products,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN Bluetooth
SKU-4755521008,0800633445532,4,XGA0401A,yes,yes,script:backfill-normalize-products,Seguna Inkontinenz Pants Maxi Erwachsene Gr. L 135cm NEU
SKU-1890172110,0810123671069,0,,no,yes,script:backfill-normalize-products,Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU
SKU-0279594894,0814914026519,1,XGA0403A,yes,yes,script:backfill-normalize-products,Patriot Solid State Drive P300P256GM28 256GB m.2 pcie NEU
SKU-4747629782,0840353901100,1,XGA0501D,yes,yes,script:backfill-normalize-products,Fitbit Fitness-Tracker GA05184-EU gps Coral Champagne Gold NEU
SKU-3671103995,09be7756-7b4f-4dda-bda0-799754052fff,1,XGA0106B,yes,yes,script:backfill-normalize-products,SACHS Reparatursatz Federbeinstützlager 802 472 Vorderachse Links Rechts
SKU-4955195373,1004200304684,2,XGA0106D,yes,yes,script:backfill-normalize-products,LIQUI MOLY Motoröl 3046 für Motorrad 4-Takt Motoren Neu 304
SKU-9143128563,1004393023135,0,,no,no,ui,LINDENMANN Herren Gürtel Dunkelbraun Gr. 135cm Büffelleder
SKU-3023625088,1011190149611,1,XGA0105B,yes,yes,script:backfill-normalize-products,Unbekannt Gewindereparaturset 15-tlg NEU
SKU-5246852701,11850025732208,1,XGA0106A,yes,yes,script:backfill-normalize-products,RELION Lithium Eisenphosphat Batterie 48V030-GC2 51.2V Blau UNGEPRÜFT
SKU-7591395419,14006633314036,0,,no,yes,script:backfill-normalize-products,ATE Bremsscheibe 24.0125-0184.1 Audi 314mm 314x25mm NEU
SKU-7995751556,1472920275814,0,,no,yes,script:backfill-normalize-products,IKEA Standregal 202.758.14 77cm Holzwerkstoff 77x77cm Weiß NEU
SKU-2064038107,14f93c3a-6902-4da3-8a00-991a13958570,1,XGA0105B,yes,yes,script:backfill-normalize-products,FNTCASE Schutzhülle Grau NEU
SKU-6705970836,1507000192029,1,XGA0106D,yes,yes,script:backfill-normalize-products,BOOST TOWN Ladeluftrohr Ansaugrohr Kit 1507000192029 Hyundai i30N
SKU-4026350484,1795362000001,1,XGA0501D,yes,yes,script:backfill-normalize-products,Patagonia T-Shirt Gr. 24 Herren Recycelte Baumwolle Recyceltes Polyester
SKU-7569423484,18023030150200,1,XGA0403B,yes,yes,script:backfill-normalize-products,EUROPLAST Revisionsklappe Metall 180x230mm Weiß NEU
SKU-0533124796,182c0593-5b66-4304-80fa-d1a56eb08210,1,XGA0105A,yes,yes,script:backfill-normalize-products,CAPAS Schnorchelflossen Erwachsene Kinder Gr. S/M Materialien
SKU-8073301246,1852315181124,1,XGA0405A,yes,yes,script:backfill-normalize-products,BRUT Clothing REWORK® BARBOUR V5 N° 084 Gr. XL
SKU-3918809518,1853864926223,1,XGA0301C,yes,yes,script:backfill-normalize-products,Osprey Trekkingrucksack Aether 65 65L Herren Nylon NEU
SKU-8902752253,1900201150572,1,XGA0106C,yes,yes,script:backfill-normalize-products,ATE Bremsscheibe 24.0128-0248.1 Vorderachse 321mm 28mm NEU
SKU-4873494474,1900201900525,1,XGA0106C,yes,yes,script:backfill-normalize-products,"TRW Bremsscheibe DF4982 für Honda Accord - 282mm Durchmesser, 9mm Dicke"
SKU-0789448642,1bdce1f7-aa59-4b85-a9a8-3488141ae012,1,XGA0202B,yes,yes,script:backfill-normalize-products,Kalahari Wassergläser Set 2195173 8.5cm Glas 300ml Mehrfarbig NEU
SKU-4762036663,1d5b4c7f-5b0b-42ac-a3a4-1ff4ce852794,1,XGA0402B,yes,yes,script:backfill-normalize-products,intelamp Solarleuchte YL005-16A LED Außenleuchte Bewegungsmelder Garten Neu
SKU-7736193220,1e369bf5-e5e6-460c-b595-8a08a2bbaf2d,0,,no,yes,script:backfill-normalize-products,RDINSCOS Schichtdickenmessgerät TC-100 µm/mil für Eisen- & Nichteisen-Metalle
SKU-0997953441,2021181818184,1,XGA0501D,yes,yes,script:backfill-normalize-products,SKS Germany Fahrrad Kompakt-Werkzeug TOM 18 NEU
