SKU,DocId,Titel,Brand,Produktart,CurrentCategoryId,CurrentBreadcrumb,CurrentRoot,TargetCategoryBreadcrumb,TargetCategoryId,Notes
SKU-0945605804,4040074122754,MEYLE ATF DCG II Getriebeöl 277026 für Doppelkupplungsgetriebe DCT NEU,MEYLE,Getriebeöl,,"Auto & Motorrad: Teile > Öle, Flüssigkeiten & Additive > Getriebeöle",Auto & Motorrad: Teile,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl",179501,"LLM_SUGGESTED query=4040074122754 root=Auto & Motorrad: Teile rationale=Das Produkt ist ein ""ATF DCG II Getriebeöl"", wobei ATF für Automatikgetriebeöl steht. Die Kategorie ""Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl"" ist die präziseste und spezifischste Überei | category_id_missing"
SKU-5748131128,ad08f46f-d233-4c4f-b5c5-bc803ce5018e,FRANKBERG Querlenkersatz CA03211Z-FC für PKW Fahrwerk Stabilität Austausch Neu,FRANKBERG,Querlenkersatz,,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Federung & Lenkung > Querlenker & Teile,Auto & Motorrad: Teile,Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk,82103,"LLM_SUGGESTED query=FRANKBERG 001771200 root=Auto & Motorrad: Teile rationale=Das Produkt ist ein ""Querlenkersatz"" für das ""PKW Fahrwerk"". Ein Querlenker ist ein Fahrwerksteil. Die Kategorie ""Auto & Motorrad: Teile > Spezielle Fahrzeug-Teile > Pkw-Anhänger Ersatzteile > Karosserie & Fahrwerk"" (ID  | category_id_missing"
SKU-9078406333,4040074137246,"MEYLE Filter-Satz 112 330 0003/S für Audi, Seat, Skoda, VW 1.6/2.0 TDI Neu",MEYLE,Filter-Satz,,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Filter > Filter-Sets,Auto & Motorrad: Teile,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits,174087,"LLM_SUGGESTED query=4040074137246 root=Auto & Motorrad: Teile rationale=Das Produkt ist ein 'Filter-Satz' für Audi, Seat, Skoda, VW, der laut Web-Evidenz aus mehreren Filtern (Ölfilter, Innenraumluftfilter, Kraftstofffilter, Luftfilter) besteht. Dies passt perfekt zur Kategorie 'Auto & Motor | category_id_missing"
SKU-3938831828,81715585302754,PandaEar Silikon Baby Esslernset 2er Set Teller Becher Besteck Beige Taupe,PandaEar,Esslernset,,Baby & Kind > Essen & Trinken > Geschirr & Besteck > Esslernbesteck,Baby & Kind,Baby > Ernährung > Kindergeschirr & -besteck,157325,"LLM_SUGGESTED query=8715585302754 root=Baby rationale=Das Produkt ist ein Esslernset für Babys, das Teller, Becher und Besteck enthält. Die Kategorie 'Baby > Ernährung > Kindergeschirr & -besteck' ist die passende Oberkategorie, die alle Bestandteile des Sets abdeckt. | category_id_missing"
SKU-7447779999,f8fc404d-90b9-408f-a0a5-53038fdbd793,ONLINE Calli.Brush Lettering & Aquareell Set 'Das Leben ist Schön' DIN A5,ONLINE,Kalligrafie-Set,,Basteln & Handarbeiten > Malen & Zeichnen > Kalligrafie & Lettering > Kalligrafie-Sets,Basteln & Handarbeiten,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen > Aquarell,28113,"LLM_SUGGESTED query=4014421180506 root=Bastel- & Künstlerbedarf rationale=Das Produkt ist ein Kalligrafie- und Aquarell-Set, was durch den Titel ""ONLINE Calli.Brush Lettering & Aquareell Set"" und die Web-Evidenz (""Aquarell Blending"", ""Aquarellstift"", ""Brushpen"") bestätigt wird. Die Kategorie "" | category_id_missing"
SKU-9003235487,6957303824717,"UGREEN Vertikaler Laptop Ständer LP258 Aluminium für Notebooks bis 15,6 Zoll",UGREEN,Vertikaler Laptop Ständer,,"Computer, Tablets & Netzwerk > Laptop- & Desktop-Zubehör > Laptop-Ständer & -Halter","Computer, Tablets & Netzwerk","Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Ständer, Halter & Autohalterungen",116346,"LLM_SUGGESTED query=6957303824717 root=Computer, Tablets & Netzwerk rationale=Das Produkt ist ein vertikaler Laptop-Ständer. Die Kategorie 'Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Ständer, Halter & Autohalterungen' ist die präziseste und passendste Wahl, da sie explizit Zubehö | category_id_missing"
SKU-7333529126,8717475102703,TYC Außenspiegel Rechts beheizbar Ford Transit VI (ab 2013) 310-0237 Schwarz,TYC,Außenspiegel,,Fahrzeugteile > Karosserie & Exterieur > Spiegel & Zubehör > Außenspiegel,Fahrzeugteile,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel",262161,"LLM_SUGGESTED query=8717475102703 root=Auto & Motorrad: Teile rationale=Das Produkt ist ein Außenspiegel für ein Auto (Ford Transit). Die Kategorie 'Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel' ist die spezifischste u | category_id_missing"
SKU-3350934915,b82f2e03-f4e9-4cef-8984-364a6a8cfc8e,"Kibek Gartenstecker Molveno 2201290005 Mattschwarz Metall, Kunststoff Neu",Kibek,Gartenstecker,,Garten & Freizeit > Gartenbeleuchtung > Solarleuchten,Garten & Freizeit,Garten & Terrasse > Beleuchtung > Garten- & Terrassenfackeln,183391,"LLM_SUGGESTED query=Kibek 2201290005 root=Garten & Terrasse rationale=Das Produkt ist ein 'Gartenstecker' mit Solar-LEDs, der für eine gemütliche Atmosphäre im Garten sorgt. Die Kategorie 'Garten & Terrasse > Beleuchtung > Garten- & Terrassenfackeln' ist die präziseste Wahl, da sie dekorat | category_id_missing"
SKU-1536365981,ea75ec18-8ebd-4623-8b72-bdc796af7bfb,Unbekannt Backform Einsatz Schwarz Silikon NEU Airfryer 2er Set Haushalt,Unbekannt,Backform Einsatz,,"Haushalt & Wohnen > Küche, Kochen & Genießen > Küchengeräte > Fritteusen & Heißluftfritteusen Zubehör",Haushalt & Wohnen,Möbel & Wohnen > Kochen & Genießen > Backbleche & -formen,259321,LLM_SUGGESTED query=Unbekannt Backform Einsatz root=Möbel & Wohnen rationale=Das Produkt ist ein Silikon-Backform-Einsatz für einen Airfryer. Die Kategorie 'Möbel & Wohnen > Kochen & Genießen > Backbleche & -formen' ist die passendste und ausreichend spezifische Kategorie für Backformen und -eins | category_id_missing
SKU-5446097686,2312388888888,"kecoolke Ultraschallreiniger KZ-F3, 3.0L, 120W Ultraschall, 150W Heizung Silber",kecoolke,Ultraschallreiniger,,Haushalt & Wohnen > Reinigung > Ultraschallreiniger,Haushalt & Wohnen,Uhren & Schmuck > Juwelierbedarf > Reinigungsgeräte & -materialien,67720,"LLM_SUGGESTED query=6915451823150 root=Uhren & Schmuck rationale=Das Produkt ist ein Ultraschallreiniger, ein Reinigungsgerät. Ultraschallreiniger werden häufig im Juwelierbedarf zur Reinigung von Uhren und Schmuck verwendet. Die Kategorie ""Uhren & Schmuck > Juwelierbedarf > Reinigung | category_id_missing"
