id,sku,zustand,condition_locked,last_saved_source,brand,title,category
00442039661193,SKU-7225351886,used,false,category-review-csv,COZII,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU Faltbar Tierbedarf",Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets
00872299043330,SKU-9129624671,Gebraucht,true,job-improve,Thule,"Gepäckträger für Thule Chariot Doppel-Kinderanhänger 2,3kg Traglast Gebraucht",Baby > Kinderwagen & Zubehör > Kinderwagen-Zubehör
07901010300000,SKU-2097206690,used,false,title-normalize,Generisch,Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN Bluetooth,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios"
0840353901100,SKU-4747629782,Gebraucht,true,job-improve,Fitbit,Fitbit Charge 6 Fitness-Tracker GPS Herzfrequenz Coral Champagne Gebraucht,Sportelektronik > Fitness-Tracker
1507000192029,SKU-6705970836,Gebraucht – Voll funktionsfähig,false,ui,BOOST TOWN,BOOST TOWN Ladeluftrohr Ansaugrohr Kit 1507000192029 Hyundai Kona/i30N Rot Gebr.,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme"
1bdce1f7-aa59-4b85-a9a8-3488141ae012,SKU-0789448642,Gebraucht,true,ui,Kalahari,Kalahari Shades of Ocean Wassergläser Set 300ml 6 Stück Spülmaschinenfest,Küche & Haushalt > Geschirr & Besteck > Gläser
3f55c3c8-0603-4563-be53-8591b104d26e,SKU-7357361636,Gebraucht,true,ui,ROHO,ROHO SELECT Sitzkissenbezug für Rollstuhl-Sitzkissen 50.5x46.5x10.5 cm Gebraucht,Gesundheit & Schönheit > Mobilität & Alltagshilfen > Rollstuhl-Zubehör > Rollstuhl-Sitzkissen
4006094887004,SKU-1892441877,Gebraucht,false,category-review-csv,PEBARO,"PEBARO Holzbausatz Ritterburg Burgen & Schlösser für Kinder ab 6 Jahre, 61 NEU",Spielzeug > Holzspielzeug > Ritterburgen
4034144003036,SKU-3097738026,used,false,category-review-csv,EMUK,EMUK Anhängerspiegel 2-Punkt-Bügel Aluminium für Renault Kadjar Espace Scénic,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Spiegel
4052138007280,SKU-8414659629,Gebraucht,false,ui,Trotec,Trotec HEPA Carbon Kombifilter für AirgoClean 170 E Luftreiniger Schwarz,"Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen"
4055333068964,SKU-3855746092,Gebraucht,true,ui,PARKSIDE,PARKSIDE Benzin-Rucksack-Kombigerät PBRK 700 A1 1.5 kW 6-in-1 Gebraucht,Garten & Terrasse > Gartengeräte > Motor- & Elektrogeräte > Multifunktionsgeräte
4063544208888,SKU-1747542074,Gebraucht,false,category-review-csv,BOSS,BOSS Herren T-Shirt 3er Pack Classic Crew Neck Regular Fit Bio-Baumwolle Gr. M,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > T-Shirts
4260755120385,SKU-1377750386,Gebraucht,true,ui,Valuents,Valuents Camping Teppich CampCarp-250-350 Outdoor Vorzeltteppich 250x350 cm,Sport & Freizeit > Camping & Outdoor > Zelte & Zubehör > Zeltteppiche
45005591930000,SKU-6587967689,Gebraucht,false,category-review-csv,Calvin Klein,Calvin Klein Herren Trunks 3er Pack Baumwoll-Stretch Classic Fit Low Rise Gr. L,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kupplungsgeber- & -nehmerzylinder
48fe16c6-bdc6-42f6-862e-fc9eb4962c93,SKU-3756924465,Gebraucht,false,category-review-csv,FEDOUR,FEDOUR Heizstab HP-608 50W mit Temperaturregler für Süß- & Meerwasser 20-34°C,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremskraftverstärker & -regler
5702017153599,SKU-9272258811,Gebraucht,false,category-review-csv,LEGO,"LEGO Duplo 10965 Badespaß: Schwimmender Tierzug für Kleinkinder ab 1,5 Jahren",Baby > Spielzeug > Badespielzeug
5702017567501,SKU-9904325113,Gebraucht,false,category-review-csv,LEGO,LEGO City Space Raumschiff & Asteroiden-Entdeckung Baukasten Set 60429 ab 4+,Spielzeug > Bausets & Konstruktion > LEGO (R) Konstruktionsspielzeuge > LEGO (R) Komplette Sets & Packs
7325549884427,SKU-6480044357,Gebraucht (optisch sehr gut),false,category-review-csv,POC,POC Fahrradhelm Axion Race MIPS Gr. M – MTB Schutz mit MIPS-Technologie,Sport > Radsport > Helme & Protektoren > Helme
7613136901818,SKU-4208989688,used,true,ui,Unbekannt,Ürün 5,Unkategorisiert
7630751727135,SKU-1055381582,Gebraucht,true,ui,Nespresso,Nespresso Barista Recipe Kaffeegläser Set Klein 2 Stück für kreative Rezepte,Küche & Haushalt > Gläser > Kaffeegläser
8003558071647,SKU-7025517137,Gebraucht,true,ui,Widmann,Widmann Piratenmantel Damen Schwarz Gr. XL Karneval Fasching Kostüm Gebraucht,Kostüme & Verkleidungen > Historische & Fantasy-Kostüme > Piraten & Seefahrer
8719114322466,SKU-4961159565,Gebraucht,true,job-improve,Calvin Klein,Calvin Klein Boxershorts Herren Schwarz Gr. M Baumwollmischung Gebraucht,Kleidung & Accessoires > Herrenmode > Unterwäsche > Boxershorts
8720245556002,SKU-7977735758,Gebraucht,true,job-improve,Puma,"Puma Boxershorts Herren Grau, Schwarz Gr. XL Baumwolle Gebraucht 701226387003040",Bekleidung
8720676510376,SKU-2005525534,used,true,ui,Unbekannt,Ürün 4,Unkategorisiert
a52ad537-120e-426d-9887-f873d36bcdaa,SKU-3264592188,Gebraucht,true,ui,Thule,Thule Bodenmatte für Chariot Double Fahrradanhänger robuster Gummischutz,Fahrradzubehör
ab8921aa-074a-4d89-beb7-b4236133851e,SKU-8463577445,Gebraucht,true,ui,KSIBNW,KSIBNW LED Streifen 7-D347=RGB-20M RGB Milchweißes PVC Gebraucht Gr. 20 m,Heimwerker > Elektromaterial > LED Streifen
acbaf936-25b4-4850-a552-4af9871abe8c,SKU-5736916285,Gebraucht,true,job-improve,PANORAMA24,PANORAMA24 Rolllattenrost BXL Premium Holz Gebraucht Gr. 80 cm 80x200 NEU,Möbel & Wohnen > Betten & Zubehör > Lattenroste
b9682eb9-a9aa-415e-898f-7b9bf915e42f,SKU-8203474346,used,false,title-normalize,Sabeatex,Sabeatex Kopfkissen & Körperkissen Weiß Gr. 70 x 35 x 13 cm NEU Optimale,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Kopfkissen & Körperkissen"
c6d932e0-cd68-4d66-8212-d98f5d10e8d2,SKU-7957694387,Gebraucht,false,,SIRUS,"SIRUS Mikrofonständer 516480 Desktop, Zinkdruckguss, höhenverstellbar 27-41cm",Münzen > Historische Wertpapiere > USA & Kanada > Elektronik & Computer
e73c69ce-6582-4454-adab-52b418a775d0,SKU-5599844775,Gebraucht,false,barcode-rollback,Goffii,Goffii Montessori Lernspielzeug Bauernhof Angeln Gemüse Holz Mehrfarbig ab 3 NEU,Spielzeug > Lernspielzeug
f8fc404d-90b9-408f-a0a5-53038fdbd793,SKU-7447779999,Gebraucht,false,category-review-csv,ONLINE,ONLINE Calli.Brush Lettering & Aquareell Set 'Das Leben ist Schön' DIN A5 NEU,Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Malen > Aquarell
