id,sku,last_saved_source,issues,title_len,desc_len,features,attrs,category
00442039661193,SKU-7225351886,script-condition-normalize,description_missing,75,0,7,15,Möbel & Wohnen > Kochen & Genießen > Gedeckter Tisch > Tischsets
0099557e-b9f0-45a4-9c7c-d6418e7daac5,SKU-2250869990,ui,description_too_short,74,177,5,9,Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung
07901010300000,SKU-2097206690,script-condition-normalize,description_missing,70,0,7,19,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios"
1004200304684,SKU-4955195373,ui,description_too_short,77,240,6,12,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
14f93c3a-6902-4da3-8a00-991a13958570,SKU-2064038107,category-review-csv,description_too_short,80,233,5,12,Handys & Kommunikation > Handy-Zubehör > Taschen & Schutzhüllen
20220424000047,SKU-6511282128,title-normalize,description_too_short,74,54,7,18,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Mauspads & Handgelenkauflagen"
20240129000072,SKU-4603086544,category-review-csv,description_missing,77,0,6,14,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player"
2024080701046,SKU-0545917168,category-review-csv,description_too_short,76,167,7,12,Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte > Messschieber
2312388888888,SKU-5446097686,category-review-csv,description_missing,79,0,7,15,Uhren & Schmuck > Juwelierbedarf > Reinigungsgeräte & -materialien
2452014202112,SKU-6761538665,unknown,description_missing,76,0,7,25,Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung
247e01a5-fa99-4b01-be0a-fefbe97a145d,SKU-3050715048,category-review-csv,description_missing,76,0,6,13,Heimwerker > Werkzeuge > Handwerkzeuge > Schraubenschlüssel > Steckschlüssel
31080024102010,SKU-2941051529,ui,description_too_short,78,190,5,13,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben
3154020086005,SKU-4303462818,category-review-csv,description_missing,78,0,6,15,Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör
3558380099390,SKU-2522561568,category-review-csv,description_missing,77,0,6,15,Spielzeug > Spiele > Kartenspiele > Moderne Kartenspiele
4004133669093,SKU-0200958470,unknown,attributes_too_few,70,851,6,4,Sport > Fitness & Jogging > Kleingeräte & Zubehör > Trinkflaschen
4006094887004,SKU-1892441877,script-condition-normalize,description_too_short,78,238,6,34,Spielzeug > Holzspielzeug > Ritterburgen
4013594537810,SKU-3704607179,category-review-csv,description_missing,70,0,5,12,Baby > Spielzeug > Holzspielzeug
4040074053454,SKU-0333689520,ui,description_missing,80,0,7,35,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen
4040074137246,SKU-9078406333,category-review-csv,description_missing,74,0,5,17,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits
4040074266946,SKU-6074840029,category-review-csv,description_too_short,77,187,5,18,"Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Tei"
4052138007280,SKU-8414659629,script-condition-normalize,description_too_short,76,253,6,16,"Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen"
4053202268477,SKU-2191775022,ui,description_too_short,78,244,5,12,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Automatikgetriebeöl"
4063541990120,SKU-4973901806,category-review-csv,description_too_short,76,174,7,15,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Freizeithemden & Shirts
4063544208888,SKU-1747542074,script-condition-normalize,description_missing,78,0,6,28,Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > T-Shirts
4078500055604,SKU-1803692252,category-review-csv,description_too_short,79,145,6,13,Garten & Terrasse > Motor-Gartengeräte & -zubehör
4100420037412,SKU-7902875633,ui,description_too_short,80,248,7,14,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
4100420206474,SKU-4309949637,title-normalize,description_missing,73,0,7,13,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
4260443571086,SKU-9713309170,category-review-csv,description_too_short,74,242,7,17,"Computer, Tablets & Netzwerk > Kabel & Steckverbinder"
45005591930000,SKU-6587967689,script-condition-normalize,description_missing,79,0,7,21,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Kupplungsteile & -sätze > Kup
48fe16c6-bdc6-42f6-862e-fc9eb4962c93,SKU-3756924465,script-condition-normalize,description_too_short,77,200,6,11,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremskraftverstärker & -regler
4906958001464,SKU-2966583160,category-review-csv,description_missing,70,0,6,15,Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien
4909500898543,SKU-2019632072,title-normalize,description_missing,70,0,6,16,Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung
5010996282880,SKU-4519918204,category-review-csv,description_missing,77,0,6,12,Spielzeug > Action-Figuren & Zubehör > Action- & Spielfiguren
5011987005952,SKU-9425624573,ui,description_too_short,71,174,6,12,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
5055350245538,SKU-9039614531,ui,description_too_short,79,241,5,13,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Verkleidungen & Rahmen > Verkleidungen, Türen & Kotflügel "
5055350248140,SKU-7417485934,category-review-csv,description_too_short,77,239,6,14,Sport > Angelsport > Kleines Angelzubehör > Bleie
52820776-34bb-4776-b728-06c521593d3a,SKU-1489693054,ui,description_too_short|highlights_too_few,76,221,3,8,Möbel & Wohnen > Hochzeitsdekoration > Gastgeschenke
54c1a366-798b-42bf-9014-95729468c623,SKU-4252129103,category-review-csv,description_missing,78,0,6,17,Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe
