category_id;breadcrumb;count
15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker;7
37644;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche;6
33564;Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben;5
3034;Kleidung & Accessoires > Damen > Damenschuhe;5
20460;Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken;5
179496;Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl;4
15480;Baby > Bücher & Zeitschriften > Bücher;4
53557;Kleidung & Accessoires > Damen > Damenschuhe > Stiefel & Stiefeletten;4
2994;Kleidung & Accessoires > Herren > Herren-Accessoires > Handschuhe & Fäustlinge;4
57357;Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsbeläge;3
170141;Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Radlager, -naben & Buchsen;3
11195;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier;3
16191;Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen;3
177031;Garten & Terrasse > Möbel > Möbelschutzhüllen;3
185101;Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > Poloshirts;3
15687;Kleidung & Accessoires > Herren > Herrenmode > Shirts & Hemden > T-Shirts;3
387;Spielzeug > Bären, -kleidung & Zubehör > Bärenkleidung & Accessoires;3
238;Spielzeug > Puppen & Zubehör;3
177832;Sport > Radsport > Fahrradzubehör;3
262161;Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel;2
33612;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile;2
49782;Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Elektrik & Zündungen > Batterien;2
28107;Bastel- & Künstlerbedarf > Künstler- & Zeichenbedarf > Zeichnen > Pastell;2
261011;Garten & Terrasse > Gartenbauten & Sonnenschutz > Sonnenschirmzubehör;2
29518;Garten & Terrasse > Motor-Gartengeräte & -zubehör;2
184665;Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen;2
20612;Haushaltsgeräte > Klimaanlagen & Heizgeräte > Ventilatoren & Luftbehandlung > Stand- & Tischventilatoren;2
134642;Heimwerker > Schrankbeschläge & -teile > Schubladenschienen;2
50382;Heimwerker > Werkzeuge > Elektrowerkzeug- & Druckluftgerät-Zubehör > Bohrer-Bits;2
95672;Kleidung & Accessoires > Damen > Damenschuhe > Sneaker;2
2996;Kleidung & Accessoires > Herren > Herren-Accessoires > Geldbörsen & Etuis;2
11484;Kleidung & Accessoires > Herren > Herrenmode > Pullover & Strick;2
259347;Möbel & Wohnen > Haushalt > Putzgeräte > Reinigungshandschuhe;2
66728;Möbel & Wohnen > Kindermöbel & Wohnen > Bettwaren & -wäsche > Bettdecken;2
177005;Möbel & Wohnen > Kochen & Genießen > Küchenmesser;2
120;Spielzeug > Basteln & Kreativität;2
158916;Sport > Fitness & Jogging > Fitness- & Laufschuhe;2
158928;Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten;2
85040;Sport > Radsport > Fahrradzubehör > Fahrradanhänger;2
179452;Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste;1
108782;Auto & Motorrad: Teile > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer;1
180407;Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen;1
180391;Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domlager;1
122188;Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player;1
174119;Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios;1
177699;Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Anlasser;1
179846;Auto & Motorrad: Teile > Autoteile & Zubehör > Autoelektrik > Batterien;1
33579;Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung;1
174093;Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Lenksäulen;1
262228;Auto & Motorrad: Teile > Autoteile & Zubehör > Federung & Lenkung > Stoßdämpfer- & Federbeinhalterungen;1
33729;Auto & Motorrad: Teile > Autoteile & Zubehör > Getriebe & Antriebstechnik > Antriebswellengelenke, Achsmanschetten & Teile;1
33694;Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung;1
262204;Auto & Motorrad: Teile > Autoteile & Zubehör > Innenausstattung > Sonnen- & Sichtschutze;1
50457;Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Schutzvorrichtungen & Schmutzfänger > Weitere Schutzvorrichtungen & Protektoren;1
33665;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe;1
262128;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze;1
174087;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Inspektionspakete & -kits;1
33614;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ventilsteuerungsteile > Nockenwellen;1
33661;Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Ölfilter;1
174030;Auto & Motorrad: Teile > Autoteile & Zubehör > Motorkühlung > Ausgleichsbehälter;1
177075;Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör;1
177076;Auto & Motorrad: Teile > Kleidung, Schutzausrüstung & Merchandise > Helme & Zubehör > Motorrad- & Motorsporthelme;1
180031;Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Getriebe & Antriebstechnik > Endantriebsriemen & -ketten & Zahnriemensätze > Endantriebsriemen & -ketten;1
