marketplace;excel_row;master_baselinker_breadcrumb;candidate_id;candidate_breadcrumb;score
hood;3;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste;7409;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones > Ladegeräte;0.296
hood;3;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste;7601;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones > Stifte;0.295
hood;3;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Eiskratzer & Schneebürste;7271;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones;0.293
hood;4;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer;22086;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones > Lautsprecher & Sound;0.306
hood;4;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer;26311;Zubehör für Töpfe & Pfannen kaufen > Untersetzer;0.303
hood;4;Auto & Motorrad > Auto-Anbau- & -Zubehörteile > Autopflege & Aufbereitung > Lufterfrischer;7591;handy-telefon > Handyzubehör > Akkus für Handys & Smartphones > Speicherkarten;0.300
hood;5;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen;2477;Socken & Strümpfe für Baby & Kleinkind > Sport- & Badekleidung;0.299
hood;5;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen;15118;Alles rund um Camping & Outdoor online kaufen > Isomatten & Matratzen;0.292
hood;5;Auto & Motorrad > Auto-Tuning & -Styling > Sport-Getriebe > Antriebswellen;4967;Druckerpatronen online kaufen > Sonstiges Zubehör & Teile;0.275
hood;6;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager;2477;Socken & Strümpfe für Baby & Kleinkind > Sport- & Badekleidung;0.290
hood;6;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager;23155;Jacken & Mäntel > Herren Lederjacken > Parkas;0.283
hood;6;Auto & Motorrad > Auto-Tuning & -Styling > Sportfederung > Domlager;15169;Alles rund um Camping & Outdoor online kaufen > Sonstige;0.281
hood;7;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player;7913;Sicherheitstechnik: Türsicherung kaufen > Sonstige;0.316
hood;7;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player;7912;Sicherheitstechnik: Türsicherung kaufen > Vorhängeschlösser;0.315
hood;7;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Auto DVD Player;7909;Sicherheitstechnik: Türsicherung kaufen > Einbruchschutz;0.302
hood;8;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios;7913;Sicherheitstechnik: Türsicherung kaufen > Sonstige;0.329
hood;8;Auto & Motorrad > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios;7912;Sicherheitstechnik: Türsicherung kaufen > Vorhängeschlösser;0.318
