finding_type;baselinker_product_id;sku;title;category_id;category_breadcrumb
damen_in_title_herren_category;458456587;SKU-0989494543;Adidas Sneaker Damen Gr. 38 2/3 Semi Pink/Red Glow Pink JS0254 NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
damen_in_title_herren_category;458456589;SKU-2391228513;Adidas Sneaker Damen Gr. 38 Hellgrau Hellblau Wildleder Handball Spezial W;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
damen_in_title_herren_category;458453030;SKU-0280699295;H M Damen Pullover Rot Baumwolle NEU;11484;Kleidung & Accessoires > Herren > Herrenmode > Pullover & Strick
damen_in_title_herren_category;458453029;SKU-7049665224;H M Damen Strickjacke Hellblau Gr.xL Materialmix NEU;175774;Kleidung & Accessoires > Spezielle Anlässe > Vintage-Mode > Vintage-Mode für Herren > Pullover & Strickjacken
damen_in_title_herren_category;458456593;SKU-6673544963;PUMA Sneaker Damen Gr. 38 Weiß Leder Court Classico NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
damen_in_title_herren_category;458974939;SKU-9933881904;SCENEx Tanzschuhe Damen Schwarz Satin NEU;2994;Kleidung & Accessoires > Herren > Herren-Accessoires > Handschuhe & Fäustlinge
damen_in_title_herren_category;458470093;SKU-6307001376;Tommy Hilfiger Sneaker Damen Gr. 40 Ancient White Lederimitat NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
duplicate_title_group_2;476200310;SKU-0694979094;LIQUI MOLY Motoröl 1 NEU;179496;Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl
duplicate_title_group_2;473049813;SKU-4955195373;LIQUI MOLY Motoröl 1 NEU;179496;Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl
duplicate_title_group_2;489182043;SKU-3067192877;TT. BAGATT Stiefeletten Damen Leder D11-AGx33-1100 NEU;53557;Kleidung & Accessoires > Damen > Damenschuhe > Stiefel & Stiefeletten
