baselinker_product_id;sku;title;category_id;category_breadcrumb
499992301;SKU-1665721376;7 O’Clock Glas-Set NEU;;
484709398;SKU-7255766247;Abercrombie Fitch Herren T-Shirt Mehrfarbig Gr. L 100% Baumwolle 661581842;;
465085103;SKU-3047799035;ABUS Radsport Kettenschloss 7210/110 Gr. 110cm NEU;58100;Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit
492850956;SKU-6725568671;ACRE Rollator RTD08179P Erwachsene Carbonfaser 130kg Rot NEU;;
465274659;SKU-1784585629;adeo Verlag Kunstkarte 5572917 NEU;138910;Büro & Schreibwaren > Papier, Büro- & Schreibwaren > Papier, Hefte & Blöcke > Briefpapier & Karten
489186632;SKU-4995445480;Adidas Herren Trainingshose Dunkelblau Gr. L Polyester JC8285 NEU;;
458456587;SKU-0989494543;Adidas Sneaker Damen Gr. 38 2/3 Semi Pink/Red Glow Pink JS0254 NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
458456590;SKU-9804667250;Adidas Sneaker Damen Gr. 38 2/3 Weiß Grün Leder Synthetik Wildleder NEU;95672;Kleidung & Accessoires > Damen > Damenschuhe > Sneaker
458456589;SKU-2391228513;Adidas Sneaker Damen Gr. 38 Hellgrau Hellblau Wildleder Handball Spezial W;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
458456583;SKU-0114729665;Adidas Sneaker Herren Rot Wildleder H03474 NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
458456585;SKU-9146759920;Adidas Sneaker UnisexErwachsene Gr. 44 Weiß Leder Wildleder Samba LT NEU;3034;Kleidung & Accessoires > Damen > Damenschuhe
458456584;SKU-1419839651;Adidas Sneaker UnisexKinder Weiß/Schwarz Synthetik VS Switch 3 CF C NEU;15709;Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker
493970493;SKU-2693030055;Adidas Unisex Jogginghose Lila Gr. 2xS Baumwollmischung IY9636 NEU;;
499987105;SKU-4817360056;Adidas UnisexKinder T-Shirt Grün Gr. 158 IY7431 NEU;;
449823557;SKU-5795572847;ADVENTURE Strandmuschel NEU;179011;Sport > Camping & Outdoor > Zelte & Strandmuscheln > Strandmuscheln
476200511;SKU-1803692252;Akku- Ladegerät-Set 18V NEU;29518;Garten & Terrasse > Motor-Gartengeräte & -zubehör
492851140;SKU-5561398463;Alberomio Wickelauflage PT70 NEU;;
458453019;SKU-5740515403;Altra Laufschuh Erwachsene Grau/Blau Textil Synthetik AL0A7R7G000-130 NEU;158916;Sport > Fitness & Jogging > Fitness- & Laufschuhe
458468908;SKU-2638568297;Altra Laufschuh Herren Schwarz/Weiß Mesh 85010130 NEU;158916;Sport > Fitness & Jogging > Fitness- & Laufschuhe
491624637;SKU-1198160025;AMORELIE Mini-Vibrator Joy Shine 2.1-3.3cm Damen Silikon ABS 3.3cm Grün NEU;;
473223837;SKU-3097738026;Anhängerspiegel Außenspiegel EMUK 100303;263094;Auto & Motorrad: Teile > Motorrad- & Rollerteile & -zubehör > Spiegel
