sku,docId,lastSource,status,before_len,after_len,before,after,reason
SKU-7225351886,00442039661193,unknown,update,59,80,COZII Hundepool X001Y0BTE9 Faltbar 120x30cm aus PVC/PP Blau,"COZII Hundepool X001Y0BTE9 Blau Gr. 120x30cm PVC, PP NEU used Faltbar Tierbedarf",
SKU-4310621602,0196214105119,unknown,update,66,75,Pokémon Sammelordner-Kollektion: Optimaler Schutz & 5 Boosterpacks,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch,
SKU-9947386415,03142017000003,unknown,update,67,76,Weber Räucherofen Smokey Mountain Cooker 37cm 711004 Schwarz Metall,Weber Räucherofen Smokey Mountain Cooker 711004 Schwarz Gr. 37 cm Metall NEU,
SKU-4641833225,04052938000016,ktype-upload,update,67,76,Pierburg Luftmassenmesser 7.22184.39.0 Schwarz Kunststoff Gebraucht,Pierburg Luftmassenmesser 7.22184.39.0 Schwarz Kunststoff NEU Nein Gebraucht,
SKU-2097206690,07901010300000,unknown,update,69,75,"Generisch Autoradio JSD 520, 1-DIN, Bluetooth, USB, SD, 4x60W Schwarz",Generisch Autoradios passgenau für JSD 520 NEU Schwarz 1 DIN used Bluetooth,
SKU-7591395419,14006633314036,unknown,update,51,76,ATE Bremsscheibe 24.0125-0184.1 für Audi - 314x25mm,ATE Bremsscheibe 24.0125-0184.1 für Audi 314 mm NEU Gr. 314 mm Nein 314x25mm,
SKU-4603086544,20240129000072,unknown,update,60,77,"URVOLAX Drahtloses CarPlay Display UR73C, 10.26 Zoll Schwarz",URVOLAX CarPlay Display UR73C 10.26 Zoll NEU Schwarz Drahtloses Auto-Monitore,
SKU-3982672342,2810449728013,unknown,update,43,71,Unbekannt Android Autoradio 6S9701P Schwarz,Unbekannt Autoradio 6S9701P NEU Schwarz Android used Motorrad Teile GPS,
SKU-4303462818,3154020086005,unknown,update,56,78,"GYS Rutil Elektrode 252 Herst.-Nr. 186005, Ø2,5mm, 4,6kg","GYS Rutil Elektrode 252 186005 NEU Gr. 2,5 mm new Herst.-Nr. Ø2 4 6kg Business",
SKU-0963183292,4010886516256,unknown,update,66,76,GEDORE Nusssteckleiste Federstahl - Sichere Werkzeugordnung & Halt,GEDORE Nusssteckleiste 5162520 Silber Federstahl NEU Sichere Werkzeugordnung,
SKU-2724878095,4013556577076,unknown,update,69,70,acamp Schutzhülle Cappa für ovale Tische - Wasserdicht & UV-beständig,acamp Schutzhülle 57707 Anthrazit Polyestergewebe NEU Gr. 160 cm Cappa,
SKU-7700165856,4013556577120,unknown,update,66,77,acamp Sonnenschirm Schutzhülle: Premium Ganzjahresschutz bis 400cm,acamp Schutzhülle 57712 Anthrazit Polyestergewebe NEU Gr. 200 cm Sonnenschirm,
SKU-0139597304,4013556577144,unknown,update,69,70,acamp Schutzhülle Cappa für Ampelschirme – Ganzjahresschutz bis 300cm,acamp Schutzhülle 57714 Anthrazit Polyester NEU Cappa Ampelschirme bis,
SKU-5928571392,4013556592796,unknown,update,63,74,acamp Strandkorb Schutzhülle Cappa – Optimaler Ganzjahresschutz,acamp Schutzhülle 59279 Anthrazit Polyester NEU Strandkorb Cappa Optimaler,
SKU-9885764249,4023103244009,unknown,update,67,80,Vileda Wäscheständer King UNimate: 20m Trockenfläche für XXL Wäsche,"Vileda Wäscheständer King UNimate Schwarz Stahl, Aluminium NEU 20m Trockenfläche",
SKU-1137525213,4027816273868,unknown,update,69,73,"febi bilstein Radlagersatz 27386 für Opel PKW, Vorderachse beidseitig","febi bilstein Radlagersatz 27386 für Opel PKW, Vorderachse beidseitig NEU",
SKU-8529588380,4041248434536,ktype-upload,update,81,77,Elring Motordichtungssatz 542.210 Leckageschutz Erstausrüsterqualität Schwarz Neu,Elring Motordichtungssatz 542.210 Leckageschutz Erstausrüsterqualität Schwarz,
SKU-7321712010,4041248450864,unknown,update,67,72,"Elring Zylinderkopfdichtungssatz 1212188109, 60 Nm Anzugsdrehmoment",Elring Zylinderkopfdichtungssatz 1212188109 für Elring Motor NEU 60 Auto,
SKU-6068074259,4047059413104,unknown,update,81,71,europet bernina Trinkbrunnen: Frisches & gefiltertes Wasser für gesunde Haustiere,europet bernina Trinkbrunnen: Frisches & gefiltertes Wasser für gesunde,
SKU-8382768165,4069092282370,unknown,update,68,79,Lawrence Grey Home Satin Bettwäsche-Set für luxuriösen Schlafkomfort,Lawrence Grey Home Bettwäsche-Set 40225462-004 Orange/Creme gestreift Gr. 135 x,
SKU-1353005263,4082300855241,unknown,update,64,73,"HELLA Anlasser 8EA 011 612-801 1.2 kW 12V Silber, Schwarz Metall","HELLA Anlasser 011 612-801 NEU 8EA 011 612-801 Silber, Schwarz Metall 12V",
SKU-4309949637,4100420206474,unknown,update,51,73,LIQUI MOLY Motoröl 20647 5W-30 Longlife III 5 Liter,LIQUI MOLY Motoröl 20647 NEU 5W-30 Longlife III Liter Auto Motorrad Teile,
