sku,docId,lastSource,status,before_len,after_len,before_issues,after_issues,before,after,reason
SKU-4310621602,0196214105119,script,update,75,22,priority_a_missing_in_title|priority_a_not_in_first_60,,Pokémon Sammelordner-Kollektion 100-10011 Mehrfarbig Kunststoff NEU Deutsch,Anime Manga Kunststoff,
SKU-1890172110,0810123671069,script,update,51,43,priority_a_missing_in_title|priority_a_not_in_first_60,,Levoit Luftbefeuchter LUH-A251-WEU 17W 2.5L 20m NEU,Levoit Luftbefeuchter Ultraschall-Kaltnebel,
SKU-5134751391,20221705000003,script,update,72,68,priority_a_missing_in_title|priority_a_not_in_first_60,,Intelamp Solar-Außenleuchte Wandmontage 1200 LM MotionSensor Schwarz NEU,Solar-Straßenleuchte 190mm Garten Wege Einfahrten öffentliche Plätze,
SKU-0922374624,2074133001002,script,update,75,22,priority_a_missing_in_title|priority_a_not_in_first_60,,Magic: The Gathering Commander Deck D41330001 Jugendliche Erwachsene Karton,Fantasy Zombies Karton,
SKU-6761538665,2452014202112,script,update,56,52,priority_a_missing_in_title,priority_a_missing_in_title,Fußmatten Vorne Hinten für BMW 2er F45 Active Tourer NEU,Fußmatten Vorne Hinten für BMW 2er F45 Active Tourer,
SKU-0704619212,25004695020111,script,update,53,49,order_priority_a,,Silicon Power SSD SP256GBSS3A55S25 256GB 7mm sata NEU,Silicon Power SP256GBSS3A55S25 SSD 256GB 7mm sata,
SKU-6206509150,3165143111321,job-improve,update,54,50,priority_a_missing_in_title,,Zusatzwasserpumpe für Bosch 0392020073 12V 500l NEU fü,Zusatzwasserpumpe für Bosch 0392020073 12V 500l fü,
SKU-8192040791,3573994006336,script,update,61,35,priority_a_missing_in_title,,Dexeryl Pflegecreme 18747739 Babys Kinder Erwachsene 500g NEU,Dexeryl Emolliente Pflegecreme 500g,
SKU-3867423041,36f71981-e45d-478a-a80d-4e665f0e3352,job-improve,update,57,53,priority_a_source_missing,priority_a_source_missing,Unbekannt Damen BH Hautfarben Synthetikmischung 63189 NEU,Unbekannt Damen BH Hautfarben Synthetikmischung 63189,
SKU-1892441877,4006094887004,script,update,46,51,priority_a_missing_in_title|priority_a_not_in_first_60,,PEBARO Holzbausatz 887 Unisex Pappel Linde NEU,PEBARO Burgen Schlösser Holzbausatz 887 Ab 6 Jahren,
SKU-2748406604,4008177077142,script,update,33,35,priority_a_missing_in_title|priority_a_not_in_first_60,,Castrol Motoröl P0186F9-00 5W NEU,Castrol EDGE TURBO DIESEL Motoröl 5,
SKU-9078406333,4040074137246,script,update,71,71,priority_a_missing_in_title,,Inspektionspaket für Audi VW Seat Skoda 1 MEYLE 112 330 0003/S NEU Insp,Inspektionspaket für Audi VW Seat Skoda 1 MEYLE 112 330 0003/S Insp Ins,
SKU-6074840029,4040074266946,script,update,75,75,priority_a_missing_in_title,,Gelenksatz radseitig für Audi 80 90 Coupe Cabriolet 100 498 0057 ABS NEU Ge,Gelenksatz radseitig für Audi 80 90 Coupe Cabriolet 100 498 0057 ABS Ge Gel,
SKU-8414659629,4052138007280,script,update,44,40,priority_a_missing_in_title,priority_a_missing_in_title,Trotec 3in1 Kombifilter AirgoClean 170 E NEU,Trotec 3in1 Kombifilter AirgoClean 170 E,
SKU-4973901806,4063541990120,script,update,40,45,order_priority_a,,BOSS Sweatjacke Gr. 4xL Herren Beige NEU,BOSS Herren Sweatjacke Beige Gr. 4xL 50511709,
SKU-1964286581,4250358601817,script,update,71,67,priority_a_missing_in_title,,Höfner Konzertgitarre HC504-7/8 Gr. 7/8 NEU Carmencita Musikinstrumente,Höfner Konzertgitarre HC504-7/8 Gr. 7/8 Carmencita Musikinstrumente,
SKU-7139254013,4260526472194,script,update,68,64,order_priority_a,,DONBOLSO Slim Wallet Herren 100% reines Rindsleder Vintage Braun NEU,DONBOLSO Herren Slim Wallet Vintage Braun 100% reines Rindsleder,
SKU-9268872444,4270001051905,script,update,54,36,priority_a_missing_in_title|priority_a_not_in_first_60|duplicate_word,,"SPIVO® Pro Bundle Spivo ONE, Spivo TWO Topspin Trainer",SPIVO Tennis Trainer spi-bun-DE1-bla,
SKU-4090290612,4960999610955,script,update,66,37,priority_a_not_in_first_60|order_priority_a,,Canon 716 Tonerkartusche Schwarz für i-SENSYS Drucker 1980B002 NEU,Canon 1980B002 Tonerkartusche Schwarz,
SKU-4519918204,5010996282880,script,update,33,36,priority_a_missing_in_title|priority_a_not_in_first_60,,Hasbro Actionfigur Kunststoff NEU,Hasbro x-Men Actionfigur Ab 4 Jahren,
SKU-8945251431,5025155058336,script,update,57,53,priority_a_missing_in_title,priority_a_missing_in_title,Dyson Reinigungsset V7 V8 V10 V11 V12 V15 Staubsauger NEU,Dyson Reinigungsset V7 V8 V10 V11 V12 V15 Staubsauger,
SKU-9904325113,5702017567501,script,update,55,43,priority_a_missing_in_title|priority_a_not_in_first_60,,LEGO Baukasten 6465033 Kinder Kunststoff Mehrfarbig NEU,LEGO Weltraum Baukasten 6465033 Ab 4 Jahren,
SKU-9706798890,7313020097503,script,update,50,50,priority_a_missing_in_title,,Befestigungskit Dach für Dachträger 7033 Neu Thule,Befestigungskit Dach für Dachträger 7033 Thule Dac,
SKU-0015305033,7319f91f-5656-490e-bdfa-0aa526b0a9d1,ui,update,65,61,priority_a_missing_in_title,priority_a_missing_in_title,SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0 NEU,SodaStream Kohlensäurezylinder 4er Pack DUO Terra Crystal 3.0,
SKU-5952589845,85020cb2-38be-42d7-a2d1-bb5aa92d9e36,script,update,71,67,priority_a_source_missing,priority_a_source_missing,Unbekannt Einhandfräse Silber Türkis Schwarz Kunststoff/Metall 3709 NEU,Unbekannt Einhandfräse Silber Türkis Schwarz Kunststoff/Metall 3709,
SKU-9132277490,8719076052258,job-improve,update,54,50,priority_a_missing_in_title,,Batterieschalter für Victron Energy 48V NEU 12V 24V fü,Batterieschalter für Victron Energy 48V 12V 24V fü,
SKU-0000524938,SKU-0000524938,script,update,25,21,order_priority_a,,Apple Maus A1657 Weiß NEU,Apple A1657 Maus Weiß,
SKU-0236764953,SKU-0236764953,ui,update,68,25,priority_a_missing_in_title|priority_a_not_in_first_60,,Malossi Multivar 2000 Variomatik MHR Honda SH 125 150 Benelli Keeway,Variator Malossi 105E-320,
SKU-0522930788,SKU-0522930788,script,update,73,25,priority_a_missing_in_title|priority_a_not_in_first_60,,Einhell Bohrschrauber TC-CD 18/35 Li Solo 45.139.27 Rot/Schwarz NEU Power,Einhell Bohrschrauber 18V,
SKU-0651722148,SKU-0651722148,script,update,33,22,title_starts_with_marketing,,Topeak Oberrohrtasche TC2333B NEU,Oberrohrtasche TC2333B,
SKU-1066852367,SKU-1066852367,script,update,80,48,priority_a_missing_in_title|priority_a_not_in_first_60,,Shelly Smart Switch 1PM Mini Gen3 SKU-1066852367 Rot NEU 110-240 2000 Heimwerker,Shelly Smart Switch 110-240V 2000W 1PM Mini Gen3,
SKU-1789286937,SKU-1789286937,script,update,68,64,order_priority_a,,Engelbert Strauss T-Shirts Gr. L Herren 100% Baumwolle Anthrazit NEU,Engelbert Strauss Herren T-Shirts Anthrazit Gr. L 100% Baumwolle,
SKU-2611077541,SKU-2611077541,script,update,60,65,priority_a_missing_in_title,,Nockenwelle Motor für Glossyautoparts EBY-1000335-1342 NEU M,Nockenwelle Motor für Glossyautoparts EBY-1000335-1342M Mot 1342M,
SKU-2636479706,SKU-2636479706,script,update,73,49,priority_a_not_in_first_60|order_priority_a,,VIDEX Garden Winterschutz Frost-Schutzhaus PALM-PROTECT classic 100cm NEU,VIDExGarden classic Winterschutz Frost-Schutzhaus,
SKU-2690684566,SKU-2690684566,script,update,80,51,priority_a_missing_in_title,,"MANN-FILTER Ölfilter HU 720/3 x für Motoren & Motorenteile, Neu, Made in Germany",Ölfilter für MANN+HUMMEL GMBH MANN-FILTER HU 720/3x,
SKU-3566484007,SKU-3566484007,script,update,44,29,priority_a_missing_in_title|priority_a_not_in_first_60,,Steambow Pfeile Erwachsene Stahl Schwarz NEU,Steambow Bogenschießen Pfeile,
SKU-3588671475,SKU-3588671475,script,update,72,44,title_starts_with_marketing,,Topeak Ratschen-Werkzeug Multi-Tool (Ratchet TT2628 Stahl Textil Schwarz,Ratschen-Werkzeug Multi-Tool (Ratchet TT2628,
SKU-4212491486,SKU-4212491486,script,update,71,52,priority_a_missing_in_title,,Unbekannt Handpan SKU-4212491486 58cm Lackierter Stahl Schwarz matt NEU,Unbekannt Handpan 58cm Lackierter Stahl Schwarz matt,
SKU-4434702791,SKU-4434702791,script,update,55,51,order_priority_a,,Lexar Arbeitsspeicher (RAM LD4AS008G-B3200ASST 1.2V NEU,Lexar LD4AS008G-B3200ASST Arbeitsspeicher (RAM 1.2V,
SKU-4996518676,SKU-4996518676,script,update,41,30,title_starts_with_marketing,,Topeak Radsport Satteltasche BAG29601 NEU,Radsport Satteltasche BAG29601,
SKU-5091393302,SKU-5091393302,script,update,57,53,priority_a_source_missing,priority_a_source_missing,Unbekannt B423K Laser-Tonerkartusche Standard Schwarz NEU,Unbekannt B423K Laser-Tonerkartusche Standard Schwarz,
SKU-5127373339,SKU-5127373339,script,update,72,49,order_priority_a,,UnionSine Externe Festplatte DataPocket HD2510 500GB USB 3.0 Schwarz Neu,UnionSine HD2510 Externe Festplatte 500GB Schwarz,
SKU-5462953053,SKU-5462953053,ui,update,76,34,priority_a_missing_in_title|priority_a_not_in_first_60,,"IPOZON Stunt-Scooter passgenau für FOOT NEU Lila, Schwarz maximale Kontrolle",IPOZON Funsport Stunt-Scooter FOOT,
SKU-5582443660,SKU-5582443660,script,update,80,74,priority_a_missing_in_title,,Roberto Barnai – Biologika Organ Atlas Gesundheit Sachbuch Gebundene Ausgabe NEU,Roberto Barnai Biologika Organ Atlas Gesundheit Sachbuch Gebundene Ausgabe,
SKU-5598085433,SKU-5598085433,script,update,78,43,order_priority_a,,"Samsung Interne SSD 870 QVO MZ-77Q1T0BW Schwarz NEU Stoßfest, Energieeffizient",Samsung MZ-77Q1T0BW Interne SSD 1TB Schwarz,
SKU-5869700759,SKU-5869700759,script,update,78,43,order_priority_a,,MSI Mainboard PRO B650M-P Schwarz NEU AMD AM5 DDR5 PCIe 4.0 Micro-ATX Computer,MSI PRO B650M-P Mainboard pcie ddr5 Schwarz,
SKU-7237772440,SKU-7237772440,script,update,30,19,title_starts_with_marketing,,Topeak Standpumpe TJB-UET1 NEU,Standpumpe TJB-UET1,
SKU-7499091535,SKU-7499091535,script,update,69,44,priority_a_not_in_first_60|order_priority_a,,Ninja Plancha-Grillplatte XL XSKOGXLFPLTEU nicht angegeben Metall NEU,Plancha-GrillplattexL Metall nicht angegeben,
SKU-7926913408,SKU-7926913408,script,update,38,26,title_starts_with_marketing,,TOPTREK Fahrradabdeckung 846236311 NEU,Fahrradabdeckung 846236311,
SKU-7961309823,SKU-7961309823,script,update,72,55,order_priority_a,,Engelbert Strauss Bundhose Gr. 44 Herren 65% Polyester 35% Baumwolle NEU,Engelbert Strauss Herren Bundhose Schwarz/Platin Gr. 44,
SKU-8919591829,SKU-8919591829,script,update,47,63,order_priority_a,,PLANAM Hose Gr. 170/176 Jungen oliv/schwarz NEU,PLANAM Jungen Hose oliv/schwarz Gr. 170/176 NORIT Kids Trousers,
SKU-9431798499,SKU-9431798499,script,update,58,43,order_priority_a,,HP Tintenpatrone 6ZD17AE Kunststoff Schwarz Dreifarbig NEU,HP 6ZD17AE Tintenpatrone Schwarz Dreifarbig,
SKU-2365442999,a18d09b8-ae6e-4114-9b82-f7cf388905d0,script,update,48,44,priority_a_source_missing,priority_a_source_missing,Unbekannt Gastronormbehälter 176mm 2.4 Liter NEU,Unbekannt Gastronormbehälter 176mm 2.4 Liter,
