ID,ProductKey,Name,Brand,Category,EAN,Price,Currency,Sync Status
100200,villa-grinario-spannbettuch-100x200-grau-kiesel,"Spannbettlaken","Villa Grinario",Bettlaken,,14.99,EUR,pending
28345191856311,28345191856311,"Gestreifter Damen Pullover Weiß Größe L - Modischer Strickpullover für Alltag & Freizeit","Unbekannte Marke",Pullover & Strickjacken,,19.9,EUR,pending
9696367995,6822dda8-e4ca-40a7-a7ce-03844d75145a,"Strickpullover","E-CrossStu GmbH",Pullover & Strick,9696367995,7.99,EUR,pending
0313030022097,1400a930-65f8-4363-8402-af31839e4d42,"Fahrradabdeckung","TOPTREK",Fahrrad,0313030022097,17.65,EUR,pending
1626175215014,1626175215014,"Hellblaue Damen Strickjacke Cardigan - XL","Unbekannte Marke",Bekleidung > Strickwaren,1626175215014,29.99,EUR,pending
9001778309747,9001778309747,"Hagelschutzplane Perma Protect Größe M","Walser",Autoabdeckung / Hagelschutzplane,9001778309747,96.95,EUR,pending
0622356278348,ninja-woodfire-flat-plate-unknown-ean,"Ninja Plancha-Grillplatte XL","Ninja",Grillplatte,0622356278348,29.99,EUR,pending
4067673005776,CALI13A,"CampFeuer Campingliege mit Sonnendach","CampFeuer",Campingliege,4067673005776,59.95,EUR,pending
8720637479520,8720637479520,"Tommy Hilfiger Essential Runner Metallics Sneaker","Tommy Hilfiger",Sneaker,8720637479520,75.33,EUR,pending
9783845118116,9783845118116,"Disney: Es war einmal ein Schneemann","Disney",Kinder,9783845118116,5.99,EUR,pending
4052138013946,4052138013946,"Trotec TVE 16 Standventilator","Trotec",Standventilator,4052138013946,35.69,EUR,pending
8445110446065,8445110446065,"Desigual SWEAT_AZRIEL","Desigual",Bekleidung > Sweatshirts & Kapuzenpullover,8445110446065,79.95,EUR,pending
2230243,22.30.243,"Engelbert Strauss e.s. T-Shirt cotton","Engelbert Strauss",Bekleidung > Shirts > T-Shirts,,10.59,EUR,pending
907533891263,TG-YG1092B-LiGreen,"Kariertes Herren Freizeithemd Hellgrün - Lässiges Baumwollhemd Größe L","Unbekannte Marke",Bekleidung > Shirts > Hemden,,59.99,EUR,pending
4251307280879,4251307280879,"Stahlia 065 Teleskopschienen","Stahlia",Beschläge,4251307280879,9.49,EUR,pending
4061418025265,4061418025265,"Birkenstock Arizona Split Pantoletten","Birkenstock",Sandalen,4061418025265,79.9,EUR,pending
4019336589644,4019336589644,"LICO Boulder V Kinder Hallenschuhe","LICO",Handschuhe & Fäustlinge,4019336589644,22.99,EUR,pending
3800235261590,7188eabc-0712-4bc6-9998-5967b1c08eb0,"Shelly 1PM Mini Gen3","Shelly",Schalter,3800235261590,11.38,EUR,pending
4062861006757,brandson-windmaschine-30cm-unknown-ean,"Brandson Tischventilator Windmaschine","Brandson",Stand- & Tischventilatoren,4062861006757,29.99,EUR,pending
4063425163489,4063425163489,"Woltu Standregal","Woltu",Regale & Aufbewahrung,4063425163489,36.99,EUR,pending
4250056064101,4250056064101,"Police WALDO Herren Leder-Geldbörse","Police",Geldbörsen & Etuis,4250056064101,34.95,EUR,pending
6973104880356,6973104880356,"Tesvor S7 Pro AES","Tesvor",Roboter,6973104880356,127,EUR,pending
8445866051810,8445866051810,"Pepe Jeans London W Albal Damen Sneaker","Pepe Jeans",Sneaker,8445866051810,94.99,EUR,pending
4270003118781,gusskoenig-gk-003,"GUSSKÖNIG Dutch Oven 9 L","GUSSKÖNIG",Dutch Oven / Feuertopf,4270003118781,92.99,EUR,pending
8718891015547,8718309101547,"Kompatibler Toner B423K Schwarz","Brother",Büro & Schreibwaren,8718891015547,24.9,EUR,pending
9783036957814,9783036957814,"Hundert - Was du im Leben lernen wirst","Kein & Aber",Bücher & Zeitschriften,9783036957814,19.95,EUR,pending
