Kategorie;Suchintention;USP-Zone (≤45 Zeichen);Max. Titellänge;Titel-Template;P1 (höchste Prio);P2;P3;P4;Pflichtfelder;Optional;Nicht verwenden;Zulässige Kürzel;Häufige Fehler;Beispiel
Elektronik & Computer;Modell + Kern-Spec;Marke + Modell;70–75;[Marke] [Modell] [Produkttyp] [Key-Spec1] [Key-Spec2] [Farbe];Marke, Modell;Produkttyp;Speicher, Display;Variante/Farbe;Marke, Modell, Produkttyp, 1 Spec;Zusatz-Specs;NEU, TOP, SKU;GB, TB, Wi-Fi, BT, LED, OLED, Ø;Produkttyp vor Modell;Samsung Galaxy Tab S8 Tablet Wi-Fi 128GB 11 Zoll Grau
Auto & Motorrad (Teile);Hersteller + Passgenauigkeit;Hersteller + Teil;70–75;[Hersteller] [Teil] [Position/Spec] für [Marke Modell] [OE/MPN];Hersteller;Teil;Fahrzeug;OE/MPN;Hersteller, Teil, Fahrzeug Marke/Modell;MPN;Original, Kennzeichen;VA, HA, li, re, OE, MPN, Ø;Fahrzeugmarke vorne;ATE Bremsscheiben vorne belüftet für VW Golf 7 5Q0615301
Mode & Bekleidung;Marke + Geschlecht + Größe;Marke + Geschlecht;65–70;[Marke] [Geschlecht] [Produktart] [Modell/Schnitt] [Farbe] Gr [Größe];Marke;Geschlecht;Produktart;Größe;Marke, Geschlecht, Produktart, Größe;Schnitt, Farbe;Trend, Stylisch;Gr;Größe fehlt;Nike Herren Hoodie Club Fleece Schwarz Gr L
Schuhe & Accessoires;Marke + Schuhart + Größe;Marke + Schuhart;65–70;[Marke] [Schuhart] [Modell] [Farbe] EU [Größe];Marke;Schuhart;Größe;Modell;Marke, Schuhart, Größe;Farbe;Marketingtexte;EU;Größe zu spät;Adidas Laufschuhe Ultraboost Schwarz EU 42
Haus, Garten & Baumarkt;Produkt + Maße + Anwendung;Produkt + Maß;70–75;[Produktart] [Material/Merkmal] [Maße/Menge] [Anwendung] [Marke];Produktart;Maße/Menge;Anwendung;Material;Produktart, Maß/Menge;Material, Marke;Profi, Premium;cm, mm, kg, , Ø;Marke vor Produkt;Schwerlastregal Metall 180x90x40cm 175kg
Küche & Haushalt;Produkt + Feature;Marke + Produkt;65–70;[Marke] [Produktart] [Feature] [Größe/Volumen] [Set];Marke;Produktart;Feature;Größe/Set;Produktart, Feature;Volumen, Set;Design-Werbung;Set;Feature fehlt;WMF Pfanne Induktion Edelstahl 28cm
Beauty & Personal Care;Marke + Wirkung;Marke + Wirkung;60–70;[Marke] [Produktart] [Wirkung/Ziel] [Hauttyp] [Menge];Marke;Wirkung;Produktart;Menge;Marke, Produktart, Menge;Hauttyp;Heilversprechen;ml;Wirkung fehlt;L’Oréal Men Gesichtscreme Anti-Müdigkeit 50ml
Sport & Freizeit;Sportart + Ausrüstung;Marke + Sportart;65–70;[Marke] [Sportart] [Produktart] [Modell] [Größe/Spec];Sportart;Produktart;Marke;Größe/Spec;Sportart, Produktart;Modell, Größe;Allg. Claims;Gr;Falsche Sportart;Wilson Tennis Schläger Pro Staff Team L3
Spielzeug & Baby;Marke/Lizenz + Set;Marke/Lizenz;70–75;[Marke/Lizenz] [Produktart] [Set-Nr] ab [Alter];Marke/Lizenz;Produktart;Set-Nr;Alter;Marke/Lizenz, Produktart, Alter;Set-Nr;Geschenkidee;ab;Set-Nr fehlt;LEGO City Feuerwehrstation 60320 ab 6J
Büro & Schreibwaren;Kompatibilität + Menge;Marke + Produkt;65–70;[Marke] [Produktart] [Modell/Kompatibilität] [Farbe] [Menge];Marke;Produktart;Kompatibilität;Menge;Marke, Produktart;Kompatibilität;Interne Codes;Set;Falsches Modell;HP 305 Druckerpatrone Schwarz
Beleuchtung & Elektromaterial;Fassung + Technik;Produkttyp + Fassung;70–75;[Produkttyp] [Fassung] [Technik] [Leistung] [Lichtfarbe/IP] [Marke];Fassung;Technik;Leistung;Lichtfarbe/IP;Produkttyp, Fassung, Technik;Set;Werbewörter;E27, E14, LED, IP;Fassung fehlt;LED Lampe E27 4.3W Warmweiß 2700K Philips
Bücher & Medien;Titel + Autor;Titel;70–75;[Titel] – [Autor] [Format] [Ausgabe/Jahr];Titel;Autor;Format;Jahr;Titel, Autor;Format/Jahr;Zustandsblabla;–;Autor fehlt;Der Hobbit – J.R.R. Tolkien Taschenbuch
